pillar_ref,canonical_node_id,x_ref_mm,y_ref_mm,coordinate_role,center_x_mm,center_y_mm,section_pt,orientation_deg,origin,shown_in_carpentry,in_original_calculation,evidence_status,source,note
PT-N001,N001,33084.7,12210.4,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv; column_fixed_lines.csv","Coordinate di riferimento geometrico; non promosse a baricentro finché non è verificato l'offset della sezione"
PT-N002,N002,36500.9,12233.9,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv; column_fixed_lines.csv","Come sopra"
PT-N003,N003,23776.6,25651.2,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv; column_fixed_lines.csv","Come sopra"
PT-N004,N004,31530.1,23679.0,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv; column_fixed_lines.csv","Come sopra"
PT-N005,N005,36510.7,7839.7,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv; column_fixed_lines.csv","Come sopra"
PT-N006,N006,33159.8,5536.1,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv; column_fixed_lines.csv","Come sopra"
PT-N007,N007,31775.0,5536.1,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv; column_fixed_lines.csv","Come sopra"
PT-N008,N008,31709.7,12151.3,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv; column_fixed_lines.csv","Come sopra"
PT-N009,N009,8485.1,10543.7,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv; column_fixed_lines.csv","Come sopra"
PT-N010,N010,42889.2,12616.6,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv; column_fixed_lines.csv","Come sopra"
PT-N011,N011,23789.6,20627.2,TOPOLOGICAL_FIXED_LINE,ND,ND,ND,ND,ORIGINAL,YES,UNKNOWN,PREDOC_GEOMETRICO,"nodes.csv; column_fixed_lines.csv","Come sopra"
