node_id,x_mm,y_mm,axis_x,axis_y,role
N001,33084.7,12210.4,X07,Y05,PT_REFERENCE
N002,36500.9,12233.9,X09,Y05,PT_REFERENCE
N005,36510.7,7839.7,X09,Y02,PT_REFERENCE
N006,33159.8,5536.1,X07,Y01,PT_REFERENCE
N007,31775.0,5536.1,X06,Y01,PT_REFERENCE
N003,23776.6,25651.2,X04,Y13,PT_REFERENCE
N008,31709.7,12151.3,X06,Y05,PT_REFERENCE
N004,31530.1,23679.0,X06,Y12,PT_REFERENCE
N009,8485.1,10543.7,X01,Y04,PT_REFERENCE
N010,42889.2,12616.6,X13,Y06,PT_REFERENCE
N011,23789.6,20627.2,X04,Y11,PT_REFERENCE
N012,23789.6,17276.3,X04,Y09,PT_REFERENCE
N013,23789.6,12151.3,X04,Y05,PT_REFERENCE
N014,23789.6,7839.7,X04,Y02,PT_REFERENCE
N015,23789.6,5536.1,X04,Y01,PT_REFERENCE
N016,28419.4,23679.0,X05,Y12,PT_REFERENCE
N017,28419.4,20627.2,X05,Y11,PT_REFERENCE
N018,28419.4,17276.3,X05,Y09,PT_REFERENCE
N019,28419.4,12151.3,X05,Y05,PT_REFERENCE
N020,28419.4,7839.7,X05,Y02,PT_REFERENCE
N021,28419.4,5536.1,X05,Y01,PT_REFERENCE
N022,31709.7,20627.2,X06,Y11,PT_REFERENCE
N023,31709.7,17276.3,X06,Y09,PT_REFERENCE
N024,31709.7,7839.7,X06,Y02,PT_REFERENCE
N025,33084.7,17276.3,X07,Y09,PT_REFERENCE
N026,36500.9,17276.3,X09,Y09,PT_REFERENCE
N027,42889.2,17276.3,X13,Y09,PT_REFERENCE
