chain_id,orientation,segment_order,from_ref,to_ref,length_m,cumulative_m,source,evidence_status,note
TOP_MAIN,H,1,H0,H1,3.45,3.45,TAV-02S_original_300dpi,DOC,"Catena superiore; quota letta direttamente"
TOP_MAIN,H,2,H1,H2,3.45,6.90,TAV-02S_original_300dpi,DOC,"Catena superiore; quota letta direttamente"
TOP_MAIN,H,3,H2,H3,5.50,12.40,TAV-02S_original_300dpi,DOC,"Catena superiore; quota letta direttamente"
TOP_MAIN,H,4,H3,H4,5.60,18.00,TAV-02S_original_300dpi,DOC,"Catena superiore; quota letta direttamente"
RIGHT_MAIN,V,1,V0,V1,4.70,4.70,TAV-02S_original_300dpi,DOC,"Catena verticale destra; dall'alto verso il basso"
RIGHT_MAIN,V,2,V1,V2,5.10,9.80,TAV-02S_original_300dpi,DOC,"Catena verticale destra; dall'alto verso il basso"
RIGHT_MAIN,V,3,V2,V3,4.15,13.95,TAV-02S_original_300dpi,DOC,"Catena verticale destra; dall'alto verso il basso"
RIGHT_MAIN,V,4,V3,V4,4.15,18.10,TAV-02S_original_300dpi,DOC,"Catena verticale destra; dall'alto verso il basso"
RIGHT_MAIN,V,5,V4,V5,5.33,23.43,TAV-02S_original_300dpi,DOC,"Catena verticale destra; dall'alto verso il basso"
RIGHT_MAIN,V,6,V5,V6,4.70,28.13,TAV-02S_original_300dpi,DOC,"Catena verticale destra; dall'alto verso il basso"
LEFT_WING,V,1,L0,L1,4.70,4.70,TAV-02S_original_300dpi,DOC,"Catena verticale ala sinistra"
LEFT_WING,V,2,L1,L2,4.05,8.75,TAV-02S_original_300dpi,DOC,"Catena verticale ala sinistra"
LEFT_WING,V,3,L2,L3,6.25,15.00,TAV-02S_original_300dpi,DOC,"Catena verticale ala sinistra"
LEFT_WING,V,4,L3,L4,4.95,19.95,TAV-02S_original_300dpi,DOC,"Catena verticale ala sinistra"
BOTTOM_LEFT,H,1,BL0,BL1,4.70,4.70,TAV-02S_original_300dpi,DOC,"Catena inferiore ala sinistra"
BOTTOM_LEFT,H,2,BL1,BL2,3.45,8.15,TAV-02S_original_300dpi,DOC,"Catena inferiore ala sinistra"
BOTTOM_LEFT,H,3,BL2,BL3,2.10,10.25,TAV-02S_original_300dpi,DOC,"Catena inferiore ala sinistra"
BOTTOM_RIGHT,H,1,BR0,BR1,6.45,6.45,TAV-02S_original_300dpi,DOC,"Catena inferiore ala destra"
BOTTOM_RIGHT,H,2,BR1,BR2,4.65,11.10,TAV-02S_original_300dpi,DOC,"Catena inferiore ala destra"
