entity_id,u_local_m,v_local_m,u_basis,v_basis,evidence,status,note
32,0.00,0.00,"origine locale filo F0","origine longitudinale locale","TAV-02S originale ad alta risoluzione",DOC_LOCAL_COORD,"origine locale settore sinistro"
33,0.00,4.95,"stesso filo trasversale di 32","quota diretta 32->33 = 4.95 m","TAV-02S quota 4.95",DOC_QUOTATO,"unica coppia longitudinale di questo settore con distanza 4.95 direttamente promossa"
29,4.70,,"32/33 -> 29/30 = 4.70 m","v non quotata specificamente","TAV-02S q3 alta risoluzione + catena 4.70-3.45-2.10",DOC_U_ONLY,"corretto precedente ID 28; nodo 29 appartiene alla coppia 29/30"
30,4.70,,"32/33 -> 29/30 = 4.70 m","v non quotata specificamente","TAV-02S q3 alta risoluzione",DOC_U_ONLY,"non propagare 4.95 da 32/33"
26,8.15,,"4.70+3.45 m","v non quotata specificamente","TAV-02S q3 alta risoluzione + catena 4.70-3.45-2.10",DOC_U_ONLY,"nodo della coppia 26/27"
27,8.15,,"4.70+3.45 m","v non quotata specificamente","TAV-02S q3 alta risoluzione",DOC_U_ONLY,"non propagare 4.95 da 32/33"
21,10.25,,"4.70+3.45+2.10 m","v da determinare con quota longitudinale specifica","TAV-02S q3 alta risoluzione",DOC_U_ONLY,"sul quarto filo trasversale"
22,10.25,,"4.70+3.45+2.10 m","v da determinare con quota longitudinale specifica","TAV-02S q3 alta risoluzione",DOC_U_ONLY,"sul quarto filo trasversale"
23,10.25,,"4.70+3.45+2.10 m","v da determinare con quota longitudinale specifica","TAV-02S q3 alta risoluzione",DOC_U_ONLY,"sul quarto filo trasversale"
24,10.25,,"4.70+3.45+2.10 m","v da determinare con quota longitudinale specifica","TAV-02S q3 alta risoluzione",DOC_U_ONLY,"sul quarto filo trasversale; estremità della catena 2.10 m sul riferimento sinistro"
