entity_id,entity_type,x_m,y_m,row_id,source,status,note
a,TERRACE_ADDED_PILLAR,0.00,0.00,Y0,TAV-02S_tavola2-2.pdf,DOC_DIRECT,"lettera a letta direttamente nel simbolo"
b,TERRACE_ADDED_PILLAR,3.45,0.00,Y0,TAV-02S_tavola2-2.pdf,DOC_DIRECT,"lettera b letta direttamente nel simbolo"
17,NUMBERED_PILLAR,6.90,0.00,Y0,TAV-02S_tavola2-2.pdf,DOC_DIRECT,"numero 17"
9,NUMBERED_PILLAR,12.40,0.00,Y0,TAV-02S_tavola2-2.pdf,DOC_DIRECT,"numero 9"
1,NUMBERED_PILLAR,18.00,0.00,Y0,TAV-02S_tavola2-2.pdf,DOC_DIRECT,"numero 1"
c,TERRACE_ADDED_PILLAR,0.00,4.70,Y1,TAV-02S_tavola2-2.pdf,DOC_DIRECT,"lettera c letta direttamente nel simbolo"
d,TERRACE_ADDED_PILLAR,3.45,4.70,Y1,TAV-02S_tavola2-2.pdf,DOC_DIRECT,"lettera d letta direttamente nel simbolo"
18,NUMBERED_PILLAR,6.90,4.70,Y1,TAV-02S_tavola2-2.pdf,DOC_DIRECT,"numero 18"
10,NUMBERED_PILLAR,12.40,4.70,Y1,TAV-02S_tavola2-2.pdf,DOC_DIRECT,"numero 10"
2,NUMBERED_PILLAR,18.00,4.70,Y1,TAV-02S_tavola2-2.pdf,DOC_DIRECT,"numero 2"
31,NUMBERED_PILLAR,0.00,9.80,Y2,TAV-02S_tavola2-2.pdf,DOC_DIRECT,"numero 31 letto su ritaglio alta risoluzione"
28,NUMBERED_PILLAR,3.45,9.80,Y2,TAV-02S_tavola2-2.pdf,DOC_DIRECT,"numero 28 letto su ritaglio alta risoluzione"
19,NUMBERED_PILLAR,6.90,9.80,Y2,TAV-02S_tavola2-2.pdf,DOC_VERIFIED,"numero 19"
11,NUMBERED_PILLAR,12.40,9.80,Y2,TAV-02S_tavola2-2.pdf,DOC_DIRECT,"numero 11"
3,NUMBERED_PILLAR,18.00,9.80,Y2,TAV-02S_tavola2-2.pdf,DOC_DIRECT,"numero 3"
32,NUMBERED_PILLAR,0.00,13.95,Y3,TAV-02S_tavola2-2.pdf,DOC_VERIFIED,"numero 32; allineato verticalmente con 31 e 33"
29,NUMBERED_PILLAR,3.45,13.95,Y3,TAV-02S_tavola2-2.pdf,DOC_VERIFIED,"numero 29; allineato verticalmente con 28 e 30"
20,NUMBERED_PILLAR,6.90,13.95,Y3,TAV-02S_tavola2-2.pdf,DOC_VERIFIED,"numero 20"
12,NUMBERED_PILLAR,12.40,13.95,Y3,TAV-02S_tavola2-2.pdf,DOC_VERIFIED,"numero 12"
5,NUMBERED_PILLAR,16.10,13.95,Y3,TAV-02S_tavola2-2.pdf,DOC_DIRECT_OFFSET,"1.90 m a sinistra del nodo 4"
4,NUMBERED_PILLAR,18.00,13.95,Y3,TAV-02S_tavola2-2.pdf,DOC_DIRECT,"numero 4"
