entity_id,entity_type,x_global_m,y_global_m,coordinate_status,evidence,status,note
1,NUMBERED_PILLAR,18.00,0.00,DOC_GLOBAL,"TAV-02S top/right quoted chains",DOC,"right main chain"
2,NUMBERED_PILLAR,18.00,4.70,DOC_GLOBAL,"TAV-02S right quoted chain",DOC,"right main chain"
3,NUMBERED_PILLAR,18.00,9.80,DOC_GLOBAL,"TAV-02S right quoted chain",DOC,"right main chain"
4,NUMBERED_PILLAR,18.00,13.95,DOC_GLOBAL,"TAV-02S right quoted chain",DOC,"right main chain"
5,NUMBERED_PILLAR,16.10,13.95,DOC_GLOBAL_OFFSET,"TAV-02S quota interna 1.90 m a sinistra del nodo 4",DOC,"offset interno"
6,NUMBERED_PILLAR,18.00,18.10,DOC_GLOBAL,"TAV-02S right quoted chain",DOC,"right main chain"
7,NUMBERED_PILLAR,18.00,23.43,DOC_GLOBAL,"TAV-02S right quoted chain",DOC,"right main chain"
8,NUMBERED_PILLAR,18.00,28.13,DOC_GLOBAL,"TAV-02S right quoted chain",DOC,"right main chain"
9,NUMBERED_PILLAR,12.40,0.00,DOC_GLOBAL,"TAV-02S top quoted chain",DOC,"upper central line"
10,NUMBERED_PILLAR,12.40,4.70,DOC_GLOBAL_ALIGN,"TAV-02S top chain + alignment with 9",DOC,"upper central line"
11,NUMBERED_PILLAR,12.40,9.80,DOC_GLOBAL_ALIGN,"TAV-02S documented alignment; independent of superseded left-block IDs",DOC,"upper central line"
12,NUMBERED_PILLAR,12.40,13.95,DOC_GLOBAL_ALIGN,"TAV-02S documented alignment; independent of superseded left-block IDs",DOC,"upper central line"
13,NUMBERED_PILLAR,,,ND_COORD,"identity visible in TAV-02S lower-right transition; exact global coordinates not yet closed",ND,"do not interpolate"
14,NUMBERED_PILLAR,13.35,18.10,DOC_GLOBAL,"TAV-02S lower-right chain; 4.65 m from node 6",DOC,"lower-right inner line"
15,NUMBERED_PILLAR,13.35,23.43,DOC_GLOBAL_ALIGN,"TAV-02S alignment with 14 and cross-tie to node 23",DOC,"lower-right inner line"
16,NUMBERED_PILLAR,13.35,28.13,DOC_GLOBAL_ALIGN,"TAV-02S alignment with 14-15; bottom chain",DOC,"lower-right inner line"
17,NUMBERED_PILLAR,6.90,0.00,DOC_GLOBAL,"TAV-02S top quoted chain",DOC,"upper central line"
18,NUMBERED_PILLAR,6.90,4.70,DOC_GLOBAL_ALIGN,"TAV-02S top chain + alignment with 17",DOC,"upper central line"
19,NUMBERED_PILLAR,,,CONFLICT_REOPENED,"previous Y=9.80 assignment superseded during left-sector reconciliation",ND,"identity retained; coordinates to re-read directly"
20,NUMBERED_PILLAR,,,CONFLICT_REOPENED,"previous Y=13.95 assignment superseded during left-sector reconciliation",ND,"identity retained; coordinates to re-read directly"
21,NUMBERED_PILLAR,6.90,12.23,DOC_GLOBAL,"left-sector row alignment + node23/node15 tie + quoted 6.25/4.95 chain",DOC,"left sector F3/R1"
22,NUMBERED_PILLAR,6.90,18.48,DOC_GLOBAL,"left-sector row alignment + quoted chain",DOC,"left sector F3/R2"
23,NUMBERED_PILLAR,6.90,23.43,DOC_GLOBAL,"direct horizontal reference to node 15",DOC,"left sector F3/R3; key tie"
24,NUMBERED_PILLAR,6.90,28.13,DOC_GLOBAL,"bottom chain 24-16=6.45; 16-8=4.65; common reference line",DOC,"left sector F3/R4"
25,NUMBERED_PILLAR,4.80,12.23,DOC_GLOBAL,"left-sector transverse chain 4.70-3.45-2.10 + row R1",DOC,"left sector F2/R1"
26,NUMBERED_PILLAR,4.80,18.48,DOC_GLOBAL,"left-sector transverse chain + row R2",DOC,"left sector F2/R2"
27,NUMBERED_PILLAR,4.80,23.43,DOC_GLOBAL,"left-sector transverse chain + row R3",DOC,"left sector F2/R3"
28,NUMBERED_PILLAR,1.35,12.23,DOC_GLOBAL,"left-sector transverse chain + row R1",DOC,"left sector F1/R1"
29,NUMBERED_PILLAR,1.35,18.48,DOC_GLOBAL,"left-sector transverse chain + row R2",DOC,"left sector F1/R2"
30,NUMBERED_PILLAR,1.35,23.43,DOC_GLOBAL,"left-sector transverse chain + row R3",DOC,"left sector F1/R3"
31,NUMBERED_PILLAR,-3.35,12.23,DOC_GLOBAL,"TAV-02S 31-32=6.25; 32-33=4.95; row tie through node23->15",DOC,"left sector F0/R1"
32,NUMBERED_PILLAR,-3.35,18.48,DOC_GLOBAL,"TAV-02S 32-33=4.95 + row tie",DOC,"left sector F0/R2"
33,NUMBERED_PILLAR,-3.35,23.43,DOC_GLOBAL,"row 33-30-27-23 tied to node 15",DOC,"left sector F0/R3"
a,TERRACE_ADDED_PILLAR,,,DOC_ID_ONLY,"TAV-02S lettered terrace-added pillar; exact coordinate intentionally not frozen after letter-reading conflict",DOC_ID,"physical element present; outside original calculation model"
b,TERRACE_ADDED_PILLAR,,,DOC_ID_ONLY,"TAV-02S lettered terrace-added pillar; exact coordinate intentionally not frozen after letter-reading conflict",DOC_ID,"physical element present; outside original calculation model"
c,TERRACE_ADDED_PILLAR,,,DOC_ID_ONLY,"TAV-02S lettered terrace-added pillar; exact coordinate intentionally not frozen after letter-reading conflict",DOC_ID,"physical element present; outside original calculation model"
d,TERRACE_ADDED_PILLAR,,,DOC_ID_ONLY,"TAV-02S lettered terrace-added pillar; exact coordinate intentionally not frozen after letter-reading conflict",DOC_ID,"physical element present; outside original calculation model"
