entity_id,entity_type,x_m,y_m,relation_or_chain,evidence,status,note
1,NUMBERED_PILLAR,18.00,0.00,RIGHT_MAIN_X,"TAV-02S high-resolution; top/right chain",DOC_QUOTATO,"coordinate mantenute: raccordo diretto alla catena superiore e destra"
2,NUMBERED_PILLAR,18.00,4.70,RIGHT_MAIN_X,"TAV-02S high-resolution; right chain",DOC_QUOTATO,"coordinate mantenute"
3,NUMBERED_PILLAR,18.00,9.80,RIGHT_MAIN_X,"TAV-02S high-resolution; right chain",DOC_QUOTATO,"coordinate mantenute"
4,NUMBERED_PILLAR,18.00,13.95,RIGHT_MAIN_X,"TAV-02S high-resolution; right chain",DOC_QUOTATO,"coordinate mantenute"
5,NUMBERED_PILLAR,16.10,13.95,"5->4 = 1.90 m","TAV-02S quota interna 1.90 m",DOC_DIRECT_OFFSET,"stessa ordinata del nodo 4"
6,NUMBERED_PILLAR,18.00,18.10,RIGHT_MAIN_X,"TAV-02S high-resolution; right chain",DOC_QUOTATO,"coordinate mantenute"
7,NUMBERED_PILLAR,18.00,23.43,RIGHT_MAIN_X,"TAV-02S high-resolution; right chain",DOC_QUOTATO,"coordinate mantenute"
8,NUMBERED_PILLAR,18.00,28.13,RIGHT_MAIN_X,"TAV-02S high-resolution; right chain",DOC_QUOTATO,"coordinate mantenute"
9,NUMBERED_PILLAR,12.40,0.00,TOP_CHAIN,"TAV-02S high-resolution; top dimension chain",DOC_QUOTATO,"coordinate mantenute"
10,NUMBERED_PILLAR,12.40,4.70,TOP_CHAIN+ROW_ALIGN,"TAV-02S high-resolution",DOC_QUOTATO,"allineamento diretto con 9"
11,NUMBERED_PILLAR,12.40,9.80,ROW_ALIGN,"TAV-02S high-resolution",DOC_VERIFIED,"quota Y da catena destra; X da allineamento con 9-10"
12,NUMBERED_PILLAR,12.40,13.95,ROW_ALIGN,"TAV-02S high-resolution",DOC_VERIFIED,"quota Y da catena destra; X da allineamento con 9-10-11"
14,NUMBERED_PILLAR,13.35,18.10,"14->6 = 4.65 m","TAV-02S quota inferiore destra",DOC_QUOTATO,"filo inferiore destro distinto dalla maglia superiore"
15,NUMBERED_PILLAR,13.35,23.43,LOWER_RIGHT_ALIGN,"TAV-02S high-resolution",DOC_VERIFIED,"allineato con 14"
16,NUMBERED_PILLAR,13.35,28.13,LOWER_RIGHT_ALIGN,"TAV-02S high-resolution",DOC_VERIFIED,"allineato con 14-15"
17,NUMBERED_PILLAR,6.90,0.00,TOP_CHAIN,"TAV-02S high-resolution; top dimension chain",DOC_QUOTATO,"coordinate mantenute"
18,NUMBERED_PILLAR,6.90,4.70,TOP_CHAIN+ROW_ALIGN,"TAV-02S high-resolution",DOC_QUOTATO,"allineamento diretto con 17"
19,NUMBERED_PILLAR,,,LEFT_CENTRAL_IDENTITY,"TAV-02S high-resolution",DOC_ID_ONLY,"identità leggibile; coordinate globali da ricalcolare senza prolungare automaticamente la catena superiore"
20,NUMBERED_PILLAR,,,LEFT_CENTRAL_IDENTITY,"TAV-02S high-resolution",DOC_ID_ONLY,"identità leggibile; coordinate globali da ricalcolare"
21,NUMBERED_PILLAR,,,LEFT_CENTRAL_IDENTITY,"TAV-02S q3 high-resolution crop",DOC_DIRECT_ID,"numero 21 leggibile nel simbolo"
22,NUMBERED_PILLAR,,,LEFT_CENTRAL_IDENTITY,"TAV-02S q3 high-resolution crop",DOC_DIRECT_ID,"numero 22 leggibile nel simbolo"
23,NUMBERED_PILLAR,,,LEFT_CENTRAL_IDENTITY,"TAV-02S q3 high-resolution crop",DOC_DIRECT_ID,"numero 23 leggibile nel simbolo"
24,NUMBERED_PILLAR,,,LEFT_CENTRAL_IDENTITY,"TAV-02S q3 high-resolution crop",DOC_DIRECT_ID,"numero 24 leggibile nel simbolo"
