entity_id,entity_type,x_m,y_m,evidence,status,note
a,TERRACE_ADDED_PILLAR,0.00,0.00,"TAV-02S high-res; top row",DOC_DIRECT,"pilastro aggiunto terrazzo"
b,TERRACE_ADDED_PILLAR,3.45,0.00,"TAV-02S high-res; top row",DOC_DIRECT,"pilastro aggiunto terrazzo"
17,NUMBERED_PILLAR,6.90,0.00,"TAV-02S high-res; top row",DOC_DIRECT,"nodo/pilastro numerato"
9,NUMBERED_PILLAR,12.40,0.00,"TAV-02S high-res; top row",DOC_DIRECT,"nodo/pilastro numerato"
1,NUMBERED_PILLAR,18.00,0.00,"TAV-02S high-res; top row",DOC_DIRECT,"nodo/pilastro numerato"
c,TERRACE_ADDED_PILLAR,0.00,4.70,"TAV-02S high-res; second row",DOC_DIRECT,"pilastro aggiunto terrazzo"
d,TERRACE_ADDED_PILLAR,3.45,4.70,"TAV-02S high-res; second row",DOC_DIRECT,"pilastro aggiunto terrazzo"
18,NUMBERED_PILLAR,6.90,4.70,"TAV-02S high-res; second row",DOC_DIRECT,"nodo/pilastro numerato"
10,NUMBERED_PILLAR,12.40,4.70,"TAV-02S high-res; second row",DOC_DIRECT,"nodo/pilastro numerato"
2,NUMBERED_PILLAR,18.00,4.70,"TAV-02S high-res; second row",DOC_DIRECT,"nodo/pilastro numerato"
31,NUMBERED_PILLAR,0.00,9.80,"TAV-02S high-res; third row",DOC_DIRECT,"corretta precedente lettura 35"
28,NUMBERED_PILLAR,3.45,9.80,"TAV-02S high-res; third row",DOC_DIRECT,"corretta precedente lettura 27"
19,NUMBERED_PILLAR,6.90,9.80,"TAV-02S high-res; third row",DOC_VERIFIED,"nodo/pilastro numerato"
11,NUMBERED_PILLAR,12.40,9.80,"TAV-02S high-res; third row",DOC_DIRECT,"nodo/pilastro numerato"
3,NUMBERED_PILLAR,18.00,9.80,"TAV-02S high-res; third row",DOC_DIRECT,"nodo/pilastro numerato"
32,NUMBERED_PILLAR,0.00,13.95,"TAV-02S high-res; fourth row",DOC_VERIFIED,"corretta precedente lettura 36"
29,NUMBERED_PILLAR,3.45,13.95,"TAV-02S high-res; fourth row",DOC_VERIFIED,"nodo/pilastro numerato"
20,NUMBERED_PILLAR,6.90,13.95,"TAV-02S high-res; fourth row",DOC_VERIFIED,"nodo/pilastro numerato"
12,NUMBERED_PILLAR,12.40,13.95,"TAV-02S high-res; fourth row",DOC_VERIFIED,"nodo/pilastro numerato"
5,NUMBERED_PILLAR,16.10,13.95,"TAV-02S internal dimension 1.90 m left of node 4",DOC_DIRECT_OFFSET,"nodo decentrato"
4,NUMBERED_PILLAR,18.00,13.95,"TAV-02S right dimension chain",DOC_DIRECT,"nodo/pilastro numerato"
14,NUMBERED_PILLAR,13.35,18.10,"TAV-02S lower-right horizontal dimension 4.65 m from node 6",DOC_QUOTATO,"filo sinistro fascia inferiore destra"
6,NUMBERED_PILLAR,18.00,18.10,"TAV-02S right dimension chain",DOC_DIRECT,"filo destro"
15,NUMBERED_PILLAR,13.35,23.43,"TAV-02S lower-right vertical alignment",DOC_VERIFIED,"filo sinistro fascia inferiore destra"
7,NUMBERED_PILLAR,18.00,23.43,"TAV-02S right dimension chain",DOC_DIRECT,"filo destro"
16,NUMBERED_PILLAR,13.35,28.13,"TAV-02S lower-right vertical alignment",DOC_VERIFIED,"filo sinistro fascia inferiore destra"
8,NUMBERED_PILLAR,18.00,28.13,"TAV-02S right dimension chain",DOC_DIRECT,"filo destro"
