pillar_id,section_cm,orientation_class,tav07_section_id,assignment_status,evidence,note
1,,,,PENDING_DIRECT_MATCH,"TAV-02S/TAV.7","da classificare sul simbolo quotato"
2,,,,PENDING_DIRECT_MATCH,"TAV-02S/TAV.7","da classificare sul simbolo quotato"
3,,,,PENDING_DIRECT_MATCH,"TAV-02S/TAV.7","da classificare sul simbolo quotato"
4,,,,PENDING_DIRECT_MATCH,"TAV-02S/TAV.7","da classificare sul simbolo quotato"
5,,,,PENDING_DIRECT_MATCH,"TAV-02S/TAV.7","da classificare sul simbolo quotato"
6,,,,PENDING_DIRECT_MATCH,"TAV-02S/TAV.7","da classificare sul simbolo quotato"
7,,,,PENDING_DIRECT_MATCH,"TAV-02S/TAV.7","da classificare sul simbolo quotato"
8,,,,PENDING_DIRECT_MATCH,"TAV-02S/TAV.7","da classificare sul simbolo quotato"
9,,,,PENDING_DIRECT_MATCH,"TAV-02S/TAV.7","da classificare sul simbolo quotato"
10,,,,PENDING_DIRECT_MATCH,"TAV-02S/TAV.7","da classificare sul simbolo quotato"
11,,,,PENDING_DIRECT_MATCH,"TAV-02S/TAV.7","da classificare sul simbolo quotato"
12,,,,PENDING_DIRECT_MATCH,"TAV-02S/TAV.7","da classificare sul simbolo quotato"
13,,,,PENDING_DIRECT_MATCH,"TAV-02S/TAV.7","coordinate nodo ancora ND; sezione leggibile indipendentemente dalla coordinata"
14,,,,PENDING_DIRECT_MATCH,"TAV-02S/TAV.7","da classificare sul simbolo quotato"
15,50x40,50x40,,CROSS_VALIDATED,"TAV-02S_L1_R03C02 + R03C03","identificativo e sezione riletti coerentemente su due tile persistenti sovrapposti"
16,50x40,50x40,,DOC_DIRECT,"TAV-02S_L1_R04C02","lettura diretta su tile persistente"
17,50x40,50x40,,DOC_DIRECT,"TAV-02S_L1_R03C01","lettura diretta su tile persistente"
18,110xND,,,SUPPORTED_PARTIAL,"UNBOUND_Q01; candidate TAV-02S_L1_R03C01","lato 110 leggibile; seconda dimensione ND; vietata sezione completa inferita"
19,40x50,40x50,,SUPPORTED,"UNBOUND_Q01","sezione leggibile direttamente nella vista di sessione; coordinate ancora riaperte"
20,50x40,50x40,,SUPPORTED,"UNBOUND_Q01","sezione leggibile direttamente nella vista di sessione; coordinate ancora riaperte"
21,40x50,40x50,,SUPPORTED,"DERIVED_RASTER_N21_22_WIDE; candidate TAV-02S_L1_R03C01","numero e sezione leggibili; non CURRENT finche il binding al tile persistente non e chiuso"
22,50x40,50x40,,DOC_DIRECT,"TAV-02S_L1_R03C01","lettura diretta su tile persistente"
22',50x40,50x40,,DOC_DIRECT,"TAV-02S_L1_R03C01","entita distinta da 22; apostrofo inequivocabile; lettura diretta su tile persistente"
23,30x110,110x30,I-03,DOC_DIRECT,"TAV-02S_L1_R04C01: 110 orizzontale e 30 verticale; TAV.7 I ordine: famiglia I-03 30x110","famiglia I-03 confermata; orientamento planimetrico ruotato di 90 gradi rispetto al catalogo"
24,40x50,40x50,,DOC_DIRECT,"TAV-02S_L1_R03C01","lettura diretta su tile persistente"
25,50x40,50x40,,DOC_DIRECT,"TAV-02S_L1_R02C01","lettura diretta su tile persistente"
26,50x40,50x40,,DOC_DIRECT,"TAV-02S_L1_R03C01","lettura diretta su tile persistente"
27,50x40,50x40,,DOC_DIRECT,"TAV-02S_L1_R03C01","lettura diretta su tile persistente"
28,50x40,50x40,I-02,DOC_DIRECT,"TAV-02S quote 50/40 + TAV.7 I ordine","famiglia 40x50 ruotata"
29,50x40,50x40,I-02,DOC_DIRECT,"TAV-02S quote 50/40 + TAV.7 I ordine","famiglia 40x50 ruotata"
30,30x110,30x110,I-03,DOC_DIRECT,"TAV-02S quota 30x110 + TAV.7 I ordine","sezione speciale"
31,50x40,50x40,I-02,DOC_DIRECT,"TAV-02S quote 50/40 + TAV.7 I ordine","famiglia 40x50 ruotata"
32,40x50,40x50,I-01,DOC_DIRECT,"TAV-02S quote 40/50 + TAV.7 I ordine","famiglia 40x50"
33,40x50,40x50,I-01,DOC_DIRECT,"TAV-02S quote 40/50 + TAV.7 I ordine","famiglia 40x50"
a,,,,OUTSIDE_ORIGINAL_I_ORDER_ASSIGNMENT,"TAV-02S terrace-added pillar","aggiunta successiva; armatura non documentata nelle tavole originarie"
b,,,,OUTSIDE_ORIGINAL_I_ORDER_ASSIGNMENT,"TAV-02S terrace-added pillar","aggiunta successiva; armatura non documentata nelle tavole originarie"
c,,,,OUTSIDE_ORIGINAL_I_ORDER_ASSIGNMENT,"TAV-02S terrace-added pillar","aggiunta successiva; armatura non documentata nelle tavole originarie"
d,,,,OUTSIDE_ORIGINAL_I_ORDER_ASSIGNMENT,"TAV-02S terrace-added pillar","aggiunta successiva; armatura non documentata nelle tavole originarie"
