analytic_node_id,support_id,tavola_id,section_doc,u_px,v_px,local_coord_status,m0g_x_mm,m0g_y_mm,m0g_status,analytic_policy,confidence,notes
AN-P01,P01,TAV-05S,40x40,4039,2722,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,"Physical faces retained separately; no inferred centroid shift"
AN-P02,P02,TAV-05S,40x40,4040,3466,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,""
AN-P03,P03,TAV-05S,40x40,4044,4268,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,""
AN-P04,P04,TAV-05S,40x40,4046,4922,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,""
AN-P05,P05,TAV-05S,40x40,3737,4923,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,"Topology corrected P04-P05-P06"
AN-P06,P06,TAV-05S,40x40,3733,5583,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,""
AN-P07,P07,TAV-05S,40x40,3740,6419,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,""
AN-P08,P08,TAV-05S,40x40,3742,7159,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,""
AN-P09,P09,TAV-05S,40x40,3152,2721,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,""
AN-P10,P10,TAV-05S,30x45,3154,3468,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,""
AN-P11,P11,TAV-05S,30x50,3156,4271,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,"Section corrected by TAV7 cross-check"
AN-P12,P12,TAV-05S,30x45,3160,4785,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,"Degree 1 on TAV-05S verified as real"
AN-P13,P13,TAV-05S,30x45,2993,5128,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,"No directly documented incident beam on TAV-05S; residual explicit"
AN-P14,P14,TAV-05S,30x50,2996,5583,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,"Degree 1 verified"
AN-P15,P15,TAV-05S,30x45,3001,6423,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,MEDIUM,"Recovered support; coordinate refinement optional"
AN-P16,P16,TAV-05S,40x40,3006,7164,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,MEDIUM,"Recovered support; coordinate refinement optional"
AN-P17,P17,TAV-05S,40x40,2282,2722,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,""
AN-P18,P18,TAV-05S,30x110,2329,3468,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,"Wide support modeled initially as one ETABS frame column joint"
AN-P19,P19,TAV-05S,40x40,2411,4109,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,""
AN-P20,P20,TAV-05S,40x40,2403,4273,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,""
AN-P21,P21,TAV-05S,30x45,2102,5130,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,""
AN-P22,P22,TAV-05S,30x45,2105,5588,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,"Distinct from P22P"
AN-P22P,P22P,TAV-05S,40x40,2107,5744,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,MEDIUM,"Canonical identifier for pillar 22 prime"
AN-P23,P23,TAV-05S,30x110,2035,6428,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,"Wide support modeled initially as one ETABS frame column joint"
AN-P24,P24,TAV-05S,40x40,1990,7170,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,""
AN-P25,P25,TAV-05S,40x40,1738,4112,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,""
AN-P26,P26,TAV-05S,30x45,1743,5104,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,MEDIUM,""
AN-P27,P27,TAV-05S,40x40,1748,5758,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,"Section closed by TAV7 cross-check"
AN-P28,P28,TAV-05S,40x40,1193,4117,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,""
AN-P29,P29,TAV-05S,30x45,1200,5107,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,""
AN-P30,P30,TAV-05S,30x110,1204,5834,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,HIGH,"Wide support modeled initially as one ETABS frame column joint"
AN-P31,P31,TAV-05S,40x40,449,4123,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,MEDIUM,"Recovered support"
AN-P32,P32,TAV-05S,40x40,453,5117,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,MEDIUM,""
AN-P33,P33,TAV-05S,40x40,461,5900,MIS,,,ND,ONE_FRAME_JOINT_AT_FIXED_LINE,MEDIUM,"Corrects previous misidentification P35"
