candidate_id,tavola_id,cx_px,cy_px,semantic_class,visible_dimension_pair,interpretation_status,confidence,notes
C01,TAV-05S,2719,2703,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"rettangolo di sezione; coppia quote leggibile"
C02,TAV-05S,3597,2706,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"rettangolo di sezione; coppia quote leggibile"
C03,TAV-05S,3636,2775,SECTION_SYMBOL,70|25,DOC_SYMBOL,MEDIUM,"simbolo piccolo; coppia compatibile 70|25"
C04,TAV-05S,2262,3090,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"rettangolo verticale; quota 25 leggibile"
C05,TAV-05S,4061,3095,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"rettangolo verticale; quota 25 leggibile"
C06,TAV-05S,2485,3123,DIMENSION_ONLY,70,EXCLUDE,HIGH,"linea di quota senza rettangolo di sezione autonomo"
C07,TAV-05S,2297,3358,SECTION_SYMBOL,70|25,DOC_SYMBOL,MEDIUM,"simbolo di sezione su tratto verticale"
C08,TAV-05S,3637,3461,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"rettangolo stretto con quota 70"
C09,TAV-05S,2757,3462,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"rettangolo stretto con quota 70"
C10,TAV-05S,4063,3787,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"rettangolo verticale"
C11,TAV-05S,2616,3790,DIMENSION_ONLY,70,EXCLUDE,HIGH,"quota senza simbolo autonomo"
C12,TAV-05S,2391,3791,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"rettangolo verticale; 25 leggibile"
C13,TAV-05S,3832,3807,DIMENSION_ONLY,70,EXCLUDE,HIGH,"quota senza simbolo autonomo"
C14,TAV-05S,2198,3918,GEOMETRY_ONLY,ND,EXCLUDE,HIGH,"cambio direzione/linea, non sezione"
C15,TAV-05S,1878,4100,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"sezione orizzontale; 25 leggibile"
C16,TAV-05S,1469,4105,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"sezione orizzontale; 25 leggibile"
C17,TAV-05S,443,4107,SUPPORT_SYMBOL,40|40,EXCLUDE,HIGH,"pilastro, non simbolo di trave"
C18,TAV-05S,826,4109,SECTION_SYMBOL,70|25,DOC_SYMBOL,HIGH,"sezione orizzontale"
C19,TAV-05S,2462,4217,SUPPORT_SYMBOL,40|40,EXCLUDE,HIGH,"simboli numerati di sostegno"
C20,TAV-05S,3640,4268,SECTION_SYMBOL,ND,DOC_SYMBOL,MEDIUM,"rettangolo verticale; quote locali non abbastanza chiare"
C21,TAV-05S,2760,4271,SECTION_SYMBOL,70|20,DOC_SYMBOL,HIGH,"coppia 70 e 20 leggibile nel contesto grande"
C22,TAV-05S,3290,4316,DIMENSION_ONLY,ND,EXCLUDE,HIGH,"tratto di quota"
C23,TAV-05S,1426,4345,DIMENSION_ONLY,70,EXCLUDE,HIGH,"quota planimetrica"
