segment_id,tavola_id,support_a,support_b,beam_type,section_b_cm,section_h_cm,section_status,confidence,source_basis,notes
T05-B-R01,TAV-05S,P09,P01,TRAVE_EMERGENTE,25,70,DOC,HIGH,"quote esterne 25 e 70 sul tratto",""
T05-B-R02,TAV-05S,P01,P02,TRAVE_EMERGENTE,25,70,DOC,HIGH,"quote esterne 25 e 70 sul tratto",""
T05-B-R03,TAV-05S,P10,P02,TRAVE_A_SPESSORE,50,20,DOC,HIGH,"quota 50 esterna; richiamo simbolico 20 dello spessore solaio",""
T05-B-R04,TAV-05S,P02,P03,TRAVE_EMERGENTE,,70,PARTIAL_DOC,HIGH,"quota 70 esterna leggibile; larghezza non riscritta sul tratto","Non inferire 25 per analogia"
T05-B-R05,TAV-05S,P11,P03,TRAVE_A_SPESSORE,30,20,DOC,HIGH,"quota 30 esterna; richiamo simbolico 20","Trave a spessore di larghezza 30 cm"
T05-B-R06,TAV-05S,P03,P04,TRAVE_EMERGENTE,,70,PARTIAL_DOC,HIGH,"quota 70 esterna leggibile","Non inferire larghezza"
T05-B-R07,TAV-05S,P12,P04,TRAVE_A_SPESSORE,50,20,DOC,HIGH,"quota 50 esterna; richiamo simbolico 20",""
T05-B-R08,TAV-05S,P04,P06,TRAVE_EMERGENTE,,70,PARTIAL_DOC,HIGH,"quota 70 esterna leggibile","Non inferire larghezza"
T05-B-R09,TAV-05S,P14,P06,TRAVE_A_SPESSORE,50,20,DOC,HIGH,"quota 50 esterna; richiamo simbolico 20",""
T05-B-R10,TAV-05S,P06,P07,TRAVE_EMERGENTE,25,70,DOC,HIGH,"quote esterne 25 e 70 sul tratto",""
T05-B-R11,TAV-05S,P15,P07,TRAVE_A_SPESSORE,50,20,DOC,HIGH,"quota 50 esterna; richiamo simbolico 20",""
T05-B-R12,TAV-05S,P07,P08,TRAVE_EMERGENTE,,70,PARTIAL_DOC,HIGH,"quota 70 esterna leggibile","Non inferire larghezza"
T05-B-R13,TAV-05S,P16,P08,TRAVE_EMERGENTE,25,70,DOC,HIGH,"quote esterne 25 e 70 sul tratto",""
T05-B-R14,TAV-05S,P17,P09,TRAVE_EMERGENTE,25,70,DOC,HIGH,"quote esterne 25 e 70 sul tratto",""
T05-B-R15,TAV-05S,P17,P18,TRAVE_EMERGENTE,25,70,DOC,HIGH,"quote esterne 25 e 70 sul tratto",""
T05-B-R16,TAV-05S,P18,P10,TRAVE_A_SPESSORE,120,20,DOC,HIGH,"quota 120 esterna al tratto; richiamo simbolico 20","Associazione ora verificata con nuova grammatica quote esterne"
