segment_id,tavola_id,support_ref,direction,support_to_if_verified,beam_type,section_b_cm,section_h_cm,section_status,confidence,source_basis,supersedes,notes
T05-P18-E,TAV-05S,P18,E,ND,TRAVE_A_SPESSORE,120,20,REVIEW_REQUIRED,MEDIUM,"precedente associazione da riesaminare con quote esterne del singolo tratto",v3:T05-P18-E,"non usare ancora per asse ETABS definitivo"
T05-P18-S,TAV-05S,P18,S,P19,TRAVE_EMERGENTE,25,70,DOC,HIGH,"quote esterne 25/70 sul tratto",v3:T05-P18-S,"confermato"
T05-P23-E,TAV-05S,P23,E,ND,TRAVE_A_SPESSORE,50,20,REVIEW_REQUIRED,MEDIUM,"associazione precedente da riesaminare",v3:T05-P23-E,""
T05-P31-E,TAV-05S,P31,E,P28,TRAVE_EMERGENTE,25,70,DOC,HIGH,"simbolo esterno 25/70 sul tratto",,"nuovo"
T05-P31-S,TAV-05S,P31,S,P32,TRAVE_EMERGENTE,25,70,DOC,HIGH,"quote esterne 25/70 sul tratto",,"nuovo"
T05-P32-S,TAV-05S,P32,S,P33,TRAVE_EMERGENTE,25,70,DOC,HIGH,"quote esterne 25/70 sul tratto",,"nuovo"
T05-P32-E,TAV-05S,P32,E,P29,TRAVE_A_SPESSORE,120,20,DOC,HIGH,"quota esterna 120 + richiamo simbolico spessore 20",,"nuovo; larghezza specifica documentata"
T05-P33-E,TAV-05S,P33,E,P30,TRAVE_EMERGENTE,25,70,DOC,HIGH,"quote esterne 25/70",,"nuovo"
T05-P28-E,TAV-05S,P28,E,P25,TRAVE_EMERGENTE,25,70,DOC,HIGH,"quote esterne 25/70",,"nuovo"
T05-P25-E,TAV-05S,P25,E,P19,TRAVE_EMERGENTE,25,70,DOC,HIGH,"quote esterne 25/70",,"nuovo"
T05-P28-S,TAV-05S,P28,S,P29,TRAVE_EMERGENTE,50,120,DOC,HIGH,"simbolo esterno 50/120 sul tratto",,"nuovo"
T05-P29-S,TAV-05S,P29,S,P30,TRAVE_EMERGENTE,50,120,DOC,HIGH,"simbolo esterno 50/120 sul tratto",,"nuovo"
T05-P29-E,TAV-05S,P29,E,P26,TRAVE_A_SPESSORE,120,20,DOC,HIGH,"quota esterna 120 + spessore simbolico 20",,"nuovo"
T05-P26-E,TAV-05S,P26,E,P21,TRAVE_A_SPESSORE,120,20,DOC,HIGH,"quota esterna 120 + spessore simbolico 20",,"nuovo"
T05-P27-W,TAV-05S,P27,W,P30,TRAVE_EMERGENTE,25,70,DOC,HIGH,"quote esterne 25/70",v3:T05-P27-W,"confermato"
T05-P27-E,TAV-05S,P27,E,P22P,TRAVE_EMERGENTE,25,70,DOC,HIGH,"quote esterne 25/70; endpoint 22 primo",v3:T05-P27-E,"confermato con endpoint corretto"
T05-P30-E,TAV-05S,P30,E,P27,TRAVE_EMERGENTE,25,70,DOC,HIGH,"quote esterne 25/70",v3:T05-P30-E,"confermato"
T05-P22P-W,TAV-05S,P22P,W,P27,TRAVE_EMERGENTE,25,70,DOC,HIGH,"quote esterne 25/70",v3:T05-P22P-W,"confermato"
T05-P22-N,TAV-05S,P22,N,ND,ND,ND,ND,REVIEW_REQUIRED,LOW,"tratti P22 separati da P22 primo",v3:T05-P22-N,""
