record_id,tavola_id,object_type,object_id_or_ref,dimension_1_cm,dimension_2_cm,attribution_status,evidence_status,confidence,source_basis,notes
DA-T05-P01,TAV-05S,PILASTRO,P01,40,40,ATTRIBUTED,DOC,HIGH,"numero 1 interno; quote esterne 40 e 40","Pilastro 40x40"
DA-T05-P02,TAV-05S,PILASTRO,P02,40,40,ATTRIBUTED,DOC,HIGH,"numero 2 interno; quote esterne 40 e 40","Pilastro 40x40"
DA-T05-P03,TAV-05S,PILASTRO,P03,40,40,ATTRIBUTED,DOC,HIGH,"numero 3 interno; quote esterne 40 e 40","Pilastro 40x40"
DA-T05-P04,TAV-05S,PILASTRO,P04,40,40,ATTRIBUTED,DOC,HIGH,"numero 4 interno; quote esterne 40 e 40","Pilastro 40x40"
DA-T05-P05,TAV-05S,PILASTRO,P05,40,40,ATTRIBUTED,DOC,HIGH,"numero 5 interno; quote esterne 40 e 40","Pilastro 40x40"
DA-T05-P06,TAV-05S,PILASTRO,P06,40,40,ATTRIBUTED,DOC,HIGH,"numero 6 interno; quote esterne 40 e 40","Pilastro 40x40"
DA-T05-P07,TAV-05S,PILASTRO,P07,40,40,ATTRIBUTED,DOC,HIGH,"numero 7 interno; quote esterne 40 e 40","Pilastro 40x40"
DA-T05-P08,TAV-05S,PILASTRO,P08,40,40,ATTRIBUTED,DOC,HIGH,"numero 8 interno; quote esterne 40 e 40","Pilastro 40x40"
DA-T05-P09,TAV-05S,PILASTRO,P09,40,40,ATTRIBUTED,DOC,HIGH,"numero 9 interno; quote esterne 40 e 40","Pilastro 40x40"
DA-T05-P10,TAV-05S,PILASTRO,P10,30,45,ATTRIBUTED,DOC,HIGH,"numero 10 interno; quote esterne 30 e 45","Pilastro 30x45"
DA-T05-P11,TAV-05S,PILASTRO,P11,30,45,ATTRIBUTED,DOC,HIGH,"numero 11 interno; quote esterne 30 e 45","Pilastro 30x45"
DA-T05-P12,TAV-05S,PILASTRO,P12,40,45,ATTRIBUTED,DOC,MEDIUM,"numero 12 interno; quota 45 chiaramente leggibile e seconda quota esterna letta 40","Da secondo controllo locale prima di promuovere HIGH"
DA-T05-P13,TAV-05S,PILASTRO,P13,30,45,ATTRIBUTED,DOC,HIGH,"numero 13 interno; quote esterne 30 e 45","Pilastro 30x45"
DA-T05-P14,TAV-05S,PILASTRO,P14,30,45,ATTRIBUTED,DOC,HIGH,"numero 14 interno; quote esterne 30 e 45","Pilastro 30x45"
DA-T05-P17,TAV-05S,PILASTRO,P17,40,40,ATTRIBUTED,DOC,HIGH,"numero 17 interno; quote esterne 40 e 40","Pilastro 40x40"
DA-T05-P18,TAV-05S,PILASTRO,P18,30,110,ATTRIBUTED,DOC,HIGH,"numero 18 interno; quote esterne 30 e 110","Pilastro 30x110"
DA-T05-P19,TAV-05S,PILASTRO,P19,40,40,ATTRIBUTED,DOC,HIGH,"numero 19 interno; quote esterne 40 e 40","Pilastro 40x40"
DA-T05-P20,TAV-05S,PILASTRO,P20,40,40,ATTRIBUTED,DOC,HIGH,"numero 20 interno; quote esterne 40 e 40","Pilastro 40x40"
DA-T05-P21,TAV-05S,PILASTRO,P21,30,45,ATTRIBUTED,DOC,HIGH,"numero 21 interno; quote esterne 30 e 45","Pilastro 30x45"
DA-T05-P22,TAV-05S,PILASTRO,P22,30,45,ATTRIBUTED,DOC,HIGH,"numero 22 interno; quote esterne 30 e 45","Pilastro 30x45"
DA-T05-P23,TAV-05S,PILASTRO,P23,30,110,ATTRIBUTED,DOC,HIGH,"numero 23 interno; quote esterne 30 e 110","Pilastro 30x110"
DA-T05-P24,TAV-05S,PILASTRO,P24,40,40,ATTRIBUTED,DOC,HIGH,"numero 24 interno; quote esterne 40 e 40","Pilastro 40x40"
DA-T05-P25,TAV-05S,PILASTRO,P25,40,40,ATTRIBUTED,DOC,HIGH,"numero 25 interno; quote esterne 40 e 40","Pilastro 40x40; quota 120 vicina appartiene alla trave e non al pilastro"
DA-T05-P26,TAV-05S,PILASTRO,P26,30,45,ATTRIBUTED,DOC,HIGH,"numero 26 interno; quote esterne 30 e 45","Pilastro 30x45"
DA-T05-P27-A,TAV-05S,PILASTRO,P27,40,,PARTIAL_ATTRIBUTION,DOC,HIGH,"numero 27 interno; quota esterna 40 chiaramente riferita al pilastro","La quota 25 a destra appartiene al tratto di trave; seconda dimensione del pilastro ancora ND"
DA-T05-P28,TAV-05S,PILASTRO,P28,40,40,ATTRIBUTED,DOC,HIGH,"numero 28 interno; quote esterne 40 e 40","Pilastro 40x40"
DA-T05-P29,TAV-05S,PILASTRO,P29,30,45,ATTRIBUTED,DOC,HIGH,"numero 29 interno; quote esterne 30 e 45","Pilastro 30x45"
DA-T05-P30,TAV-05S,PILASTRO,P30,30,110,ATTRIBUTED,DOC,HIGH,"numero 30 interno; quote esterne 30 e 110","Pilastro 30x110"
DA-T05-P32,TAV-05S,PILASTRO,P32,40,40,ATTRIBUTED,DOC,HIGH,"numero 32 interno; quote esterne 40 e 40","Pilastro 40x40"
