record_id,tavola_id,object_type,object_id_or_ref,dimension_1_cm,dimension_2_cm,attribution_status,evidence_status,confidence,source_basis,supersedes,notes
DA-T05-P11,TAV-05S,PILASTRO,P11,30,50,ATTRIBUTED,DOC,HIGH,"numero 11 + TAV7 IV ordine",v2:P11,"corregge 30x45"
DA-T05-P12,TAV-05S,PILASTRO,P12,30,45,ATTRIBUTED,DOC,HIGH,"numero 12 + quote/TAV7 IV ordine",v2:P12,"corregge 40x45"
DA-T05-P14,TAV-05S,PILASTRO,P14,30,50,ATTRIBUTED,DOC,HIGH,"numero 14 + TAV7 IV ordine",v2:P14,"corregge 30x45"
DA-T05-P15,TAV-05S,PILASTRO,P15,30,45,ATTRIBUTED,DOC,HIGH,"numero 15 interno; quote esterne 30/45; TAV7 IV ordine",,"nuovo sostegno"
DA-T05-P16,TAV-05S,PILASTRO,P16,40,40,ATTRIBUTED,DOC,HIGH,"numero 16 interno; quote esterne 40/40; TAV7 IV ordine",,"nuovo sostegno"
DA-T05-P22P,TAV-05S,PILASTRO,P22P,40,40,ATTRIBUTED,DOC,HIGH,"numero 22 primo interno; quote esterne 40/40; TAV7 IV ordine",,"distinto da P22"
DA-T05-P27,TAV-05S,PILASTRO,P27,40,40,ATTRIBUTED,DOC,HIGH,"numero 27; quota 40 + TAV7 IV ordine",v2:P27-A,"chiude seconda dimensione"
DA-T05-P31,TAV-05S,PILASTRO,P31,40,40,ATTRIBUTED,DOC,HIGH,"numero 31 interno; quote esterne 40/40; TAV7 IV ordine",,"nuovo sostegno"
DA-T05-P33,TAV-05S,PILASTRO,P33,40,40,ATTRIBUTED,DOC,HIGH,"numero 33 interno al controllo ingrandito; quote esterne 40/40; TAV7 IV ordine",v2:P35,"corregge identificativo P35 -> P33"
DA-T05-SLAB20,TAV-05S,SIMBOLO_SPESSORE_SOLAI0,GLOBAL_RULE,20,,SYMBOLIC,DOC,HIGH,"richiami 20 sulle travi a spessore","v2:SLAB20-A;v2:SLAB20-B","20 e' altezza simbolica del solaio/trave a spessore, non larghezza planimetrica"
DA-T05-B120-P32-P29,TAV-05S,TRAVE,P32-P29,120,20,ATTRIBUTED,DOC,HIGH,"quota esterna 120 sul tratto + simbolo spessore 20",,"trave a spessore 120x20"
DA-T05-B120-P29-P26,TAV-05S,TRAVE,P29-P26,120,20,ATTRIBUTED,DOC,HIGH,"quota esterna 120 sul tratto + simbolo spessore 20",,"trave a spessore 120x20"
DA-T05-B120-P26-P21,TAV-05S,TRAVE,P26-P21,120,20,ATTRIBUTED,DOC,HIGH,"quota esterna 120 sul tratto + simbolo spessore 20",,"trave a spessore 120x20"
DA-T05-B50120-P28-P29,TAV-05S,TRAVE,P28-P29,50,120,ATTRIBUTED,DOC,HIGH,"simbolo esterno 50/120 sul tratto",,"trave emergente 50x120"
DA-T05-B50120-P29-P30,TAV-05S,TRAVE,P29-P30,50,120,ATTRIBUTED,DOC,HIGH,"simbolo esterno 50/120 sul tratto",,"trave emergente 50x120"
DA-T05-B50120-P21-P22,TAV-05S,TRAVE,P21-P22,50,120,ATTRIBUTED,DOC,HIGH,"simbolo esterno 50/120 sul tratto",,"trave emergente 50x120"
