record_id,tavola_id,support_id,beam_id,beam_axis_ref,attachment_u_px,attachment_v_px,attachment_face,support_fixed_u_px,support_fixed_v_px,offset_du_px,offset_dv_px,analytical_joint_id,etabs_connection_policy,status,confidence,supersedes,notes
ATT-P18-E,TAV-05S,P18,T05-BEAM-P18-E-01,"filo orizzontale reale della trave",2413,3468,E,2329,3468,84,0,P18-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,HIGH,v3:ATT-P18-E,"Confermato; cornicione escluso"
ATT-P18-N,TAV-05S,P18,T05-BEAM-P18-N-01,"filo della trave proveniente da nord",2261,3443,N,2329,3468,-68,-25,P18-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,MEDIUM,v3:ATT-P18-N,"Filo distinto dalla trave sud"
ATT-P18-S,TAV-05S,P18,T05-BEAM-P18-S-01,"filo della trave uscente a sud",2391,3489,S,2329,3468,62,21,P18-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,MEDIUM,v3:ATT-P18-S,"Filo distinto dalla trave nord"
ATT-P23-E,TAV-05S,P23,T05-BEAM-P23-E-01,"filo orizzontale reale della trave",2118,6428,E,2035,6428,83,0,P23-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,HIGH,v3:ATT-P23-E,"Confermato; cornicione escluso"
ATT-P23-N,TAV-05S,P23,T05-BEAM-P23-N-01,"filo della trave proveniente da nord",2092,6405,N,2035,6428,57,-23,P23-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,MEDIUM,v3:ATT-P23-N,"Attacco distinto"
ATT-P23-S,TAV-05S,P23,T05-BEAM-P23-S-01,"filo della trave uscente a sud",1967,6450,S,2035,6428,-68,22,P23-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,MEDIUM,v3:ATT-P23-S,"Attacco distinto"
ATT-P30-E,TAV-05S,P30,T05-BEAM-P30-E-01,"filo della trave orizzontale a est",1228,5786,E,1204,5834,24,-48,P30-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,MEDIUM,v3:ATT-P30-E,"Cornicione escluso"
ATT-P30-W,TAV-05S,P30,T05-BEAM-P30-W-01,"filo della trave orizzontale a ovest",1177,5902,W,1204,5834,-27,68,P30-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,MEDIUM,v3:ATT-P30-W,"Cornicione escluso"
ATT-P25-W,TAV-05S,P25,T05-BEAM-P25-W-01,"filo orizzontale della trave coincidente con filo fisso Y del pilastro",1706,4112,W,1738,4112,-32,0,P25-F,"FRAME_COLUMN; BEAM_AXIS_COLLINEAR; PHYSICAL_END_AT_COLUMN_FACE",MIS,HIGH,,"Trave passante sul filo del pilastro; nessuna eccentricita' trasversale"
ATT-P25-E,TAV-05S,P25,T05-BEAM-P25-E-01,"filo orizzontale della trave coincidente con filo fisso Y del pilastro",1770,4112,E,1738,4112,32,0,P25-F,"FRAME_COLUMN; BEAM_AXIS_COLLINEAR; PHYSICAL_END_AT_COLUMN_FACE",MIS,HIGH,,"Faccia opposta dello stesso allineamento"
ATT-P27-W,TAV-05S,P27,T05-BEAM-P27-W-01,"filo orizzontale della trave coincidente con filo fisso Y del pilastro",1715,5758,W,1748,5758,-33,0,P27-F,"FRAME_COLUMN; BEAM_AXIS_COLLINEAR; PHYSICAL_END_AT_COLUMN_FACE",MIS,HIGH,,"Filo fisso P27 corretto in v5; nessuna eccentricita' trasversale"
ATT-P27-E,TAV-05S,P27,T05-BEAM-P27-E-01,"filo orizzontale della trave coincidente con filo fisso Y del pilastro",1780,5758,E,1748,5758,32,0,P27-F,"FRAME_COLUMN; BEAM_AXIS_COLLINEAR; PHYSICAL_END_AT_COLUMN_FACE",MIS,HIGH,,"Faccia opposta dello stesso allineamento; sezione P27 resta ND"
