element_id,connection_id,joint_i,joint_j,element_type,section_b_cm,section_h_cm,section_status,topology_status,m0g_geometry_status,etabs_readiness,notes
ETB-C001,T05-C001,AN-P31,AN-P28,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C002,T05-C002,AN-P31,AN-P32,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C003,T05-C003,AN-P32,AN-P33,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C004,T05-C004,AN-P32,AN-P29,BEAM_FLAT,120,20,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C005,T05-C005,AN-P33,AN-P30,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C006,T05-C006,AN-P28,AN-P25,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C007,T05-C007,AN-P25,AN-P19,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C008,T05-C008,AN-P28,AN-P29,BEAM,50,120,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C009,T05-C009,AN-P29,AN-P30,BEAM,50,120,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C010,T05-C010,AN-P29,AN-P26,BEAM_FLAT,120,20,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C011,T05-C011,AN-P26,AN-P21,BEAM_FLAT,120,20,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C012,T05-C012,AN-P30,AN-P27,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C013,T05-C013,AN-P27,AN-P22P,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,"Correct endpoint is P22P"
ETB-C014,T05-C014,AN-P21,AN-P22,BEAM,50,120,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C015,T05-C015,AN-P22,AN-P22P,BEAM,,,ND,VERIFIED,ND,WAIT_SECTION_AND_M0G,"Section residual"
ETB-C016,T05-C016,AN-P22P,AN-P23,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C017,T05-C017,AN-P23,AN-P24,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C018,T05-C018,AN-P09,AN-P01,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C019,T05-C019,AN-P01,AN-P02,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C020,T05-C020,AN-P10,AN-P02,BEAM_FLAT,50,20,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C021,T05-C021,AN-P02,AN-P03,BEAM,,70,PARTIAL,VERIFIED,ND,WAIT_WIDTH_AND_M0G,"b ND"
ETB-C022,T05-C022,AN-P11,AN-P03,BEAM_FLAT,30,20,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C023,T05-C023,AN-P03,AN-P04,BEAM,,70,PARTIAL,VERIFIED,ND,WAIT_WIDTH_AND_M0G,"b ND"
ETB-C024,T05-C024,AN-P12,AN-P04,BEAM_FLAT,50,20,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C025A,T05-C025A,AN-P04,AN-P05,BEAM,,,ND,VERIFIED,ND,WAIT_SECTION_AND_M0G,"Section residual"
ETB-C025B,T05-C025B,AN-P05,AN-P06,BEAM,,70,PARTIAL,VERIFIED,ND,WAIT_WIDTH_AND_M0G,"b ND"
ETB-C026,T05-C026,AN-P14,AN-P06,BEAM_FLAT,50,20,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C027,T05-C027,AN-P06,AN-P07,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C028,T05-C028,AN-P15,AN-P07,BEAM_FLAT,50,20,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C029,T05-C029,AN-P07,AN-P08,BEAM,,70,PARTIAL,VERIFIED,ND,WAIT_WIDTH_AND_M0G,"b ND"
ETB-C030,T05-C030,AN-P16,AN-P08,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C031,T05-C031,AN-P17,AN-P09,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C032,T05-C032,AN-P17,AN-P18,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C033,T05-C033,AN-P18,AN-P10,BEAM_FLAT,120,20,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C034,T05-C034,AN-P18,AN-P19,BEAM,25,70,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C035,T05-C035,AN-P19,AN-P20,BEAM,,,ND,VERIFIED,ND,WAIT_SECTION_AND_M0G,"Section residual"
ETB-C036,T05-C036,AN-P20,AN-P11,BEAM_FLAT,70,20,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C037,T05-C037,AN-P25,AN-P26,BEAM,50,120,DOC,VERIFIED,ND,WAIT_M0G,""
ETB-C038,T05-C038,AN-P26,AN-P27,BEAM,50,120,DOC,VERIFIED,ND,WAIT_M0G,""
