frame_id,connection_id,joint_i,joint_j,section_id,assignment_status,axis_policy,offset_ref,evidence_status,confidence,notes
F-T05-001,T05-C001,J-P31,J-P28,BM_25x70,READY,DIRECT_AXIS,,DOC,HIGH,""
F-T05-002,T05-C002,J-P31,J-P32,BM_25x70,READY,DIRECT_AXIS,,DOC,HIGH,""
F-T05-003,T05-C003,J-P32,J-P33,BM_25x70,READY,DIRECT_AXIS,,DOC,HIGH,""
F-T05-004,T05-C004,J-P32,J-P29,BM_120x20,READY,DIRECT_AXIS,,DOC,HIGH,"Trave a spessore"
F-T05-005,T05-C005,J-P33,J-P30,BM_25x70,READY_WITH_OFFSET,KEEP_BEAM_ORTHOGONAL,tav05_wide_support_beam_offsets_v1:P30/T05-C005,DOC,HIGH,""
F-T05-006,T05-C006,J-P28,J-P25,BM_25x70,READY,DIRECT_AXIS,,DOC,HIGH,""
F-T05-007,T05-C007,J-P25,J-P19,BM_25x70,READY,DIRECT_AXIS,,DOC,HIGH,""
F-T05-008,T05-C008,J-P28,J-P29,BM_50x120,READY,DIRECT_AXIS,,DOC,HIGH,""
F-T05-009,T05-C009,J-P29,J-P30,BM_50x120,READY_WITH_OFFSET,KEEP_BEAM_ORTHOGONAL,tav05_wide_support_beam_offsets_v1:P30/T05-C009,DOC,HIGH,""
F-T05-010,T05-C010,J-P29,J-P26,BM_120x20,READY,DIRECT_AXIS,,DOC,HIGH,"Trave a spessore"
F-T05-011,T05-C011,J-P26,J-P21,BM_120x20,READY,DIRECT_AXIS,,DOC,HIGH,"Trave a spessore"
F-T05-012,T05-C012,J-P30,J-P27,BM_25x70,READY_WITH_OFFSET,KEEP_BEAM_ORTHOGONAL,tav05_wide_support_beam_offsets_v1:P30/T05-C012,DOC,HIGH,""
F-T05-013,T05-C013,J-P27,J-P22P,BM_25x70,READY_WITH_OFFSET,KEEP_BEAM_ORTHOGONAL,tav05_attachment_geometry_v2:P22P/T05-C013,DOC,HIGH,"P22 primo: joint sul filo fisso, attacco sulla faccia W; non inclinare la trave"
F-T05-014,T05-C014,J-P21,J-P22,BM_50x120,READY,DIRECT_AXIS,,DOC,HIGH,""
F-T05-015,T05-C015,J-P22,J-P22P,BM_ND,BLOCKED_SECTION,DIRECT_AXIS,,DOC,HIGH,"Topologia certa; sezione ND"
F-T05-016,T05-C016,J-P22P,J-P23,BM_25x70,READY_WITH_OFFSET,KEEP_BEAM_ORTHOGONAL,tav05_wide_support_beam_offsets_v1:P23/T05-C016,DOC,HIGH,""
F-T05-017,T05-C017,J-P23,J-P24,BM_25x70,READY_WITH_OFFSET,KEEP_BEAM_ORTHOGONAL,tav05_wide_support_beam_offsets_v1:P23/T05-C017,DOC,HIGH,""
F-T05-018,T05-C018,J-P09,J-P01,BM_25x70,READY,DIRECT_AXIS,,DOC,HIGH,""
F-T05-019,T05-C019,J-P01,J-P02,BM_25x70,READY,DIRECT_AXIS,,DOC,HIGH,""
F-T05-020,T05-C020,J-P10,J-P02,BM_50x20,READY,DIRECT_AXIS,,DOC,HIGH,"Trave a spessore"
F-T05-021,T05-C021,J-P02,J-P03,BM_25x70,READY,DIRECT_AXIS,,DOC+RIF,HIGH,"b=25 consolidata per h=70"
F-T05-022,T05-C022,J-P11,J-P03,BM_30x20,READY,DIRECT_AXIS,,DOC,HIGH,"Trave a spessore"
F-T05-023,T05-C023,J-P03,J-P04,BM_25x70,READY,DIRECT_AXIS,,DOC+RIF,HIGH,"b=25 consolidata per h=70"
F-T05-024,T05-C024,J-P12,J-P04,BM_50x20,READY,DIRECT_AXIS,,DOC,HIGH,"Trave a spessore ripristinata dopo rilettura raster"
F-T05-025A,T05-C025A,J-P04,J-P05,BM_ND,BLOCKED_SECTION,DIRECT_AXIS,,DOC,HIGH,"Sezione ND"
F-T05-025B,T05-C025B,J-P05,J-P06,BM_25x70,READY,DIRECT_AXIS,,DOC+RIF,HIGH,"b=25 consolidata per h=70"
F-T05-026,T05-C026,J-P14,J-P06,BM_50x20,READY,DIRECT_AXIS,,DOC,HIGH,"Trave a spessore"
F-T05-027,T05-C027,J-P06,J-P07,BM_25x70,READY,DIRECT_AXIS,,DOC,HIGH,""
F-T05-028,T05-C028,J-P15,J-P07,BM_50x20,READY,DIRECT_AXIS,,DOC,HIGH,"Trave a spessore"
F-T05-029,T05-C029,J-P07,J-P08,BM_25x70,READY,DIRECT_AXIS,,DOC+RIF,HIGH,"b=25 consolidata per h=70"
F-T05-030,T05-C030,J-P16,J-P08,BM_25x70,READY,DIRECT_AXIS,,DOC,HIGH,""
F-T05-031,T05-C031,J-P17,J-P09,BM_25x70,READY,DIRECT_AXIS,,DOC,HIGH,""
F-T05-032,T05-C032,J-P17,J-P18,BM_25x70,READY_WITH_OFFSET,KEEP_BEAM_ORTHOGONAL,tav05_wide_support_beam_offsets_v1:P18/T05-C032,DOC,HIGH,""
F-T05-033,T05-C033,J-P18,J-P10,BM_120x20,READY_WITH_OFFSET,KEEP_BEAM_ORTHOGONAL,tav05_wide_support_beam_offsets_v1:P18/T05-C033,DOC,HIGH,"Trave a spessore"
F-T05-034,T05-C034,J-P18,J-P19,BM_25x70,READY_WITH_OFFSET,KEEP_BEAM_ORTHOGONAL,tav05_wide_support_beam_offsets_v1:P18/T05-C034,DOC,HIGH,""
F-T05-035,T05-C035,J-P19,J-P20,BM_ND,BLOCKED_SECTION,DIRECT_AXIS,,DOC,HIGH,"Sezione ND"
F-T05-036,T05-C036,J-P20,J-P11,BM_70x20,READY,DIRECT_AXIS,,DOC,HIGH,"Trave a spessore"
F-T05-037,T05-C037,J-P25,J-P26,BM_50x120,READY,DIRECT_AXIS,,DOC,HIGH,""
F-T05-038,T05-C038,J-P26,J-P27,BM_50x120,READY,DIRECT_AXIS,,DOC,HIGH,""
F-T05-039,T05-C039,J-P22,J-P14,BM_50x20,READY,DIRECT_AXIS,,DOC,HIGH,"Trave a spessore"
F-T05-040,T05-C040,J-P23,J-P15,BM_50x20,READY_WITH_OFFSET,KEEP_BEAM_ORTHOGONAL,tav05_wide_support_beam_offsets_v1:P23/T05-C040,DOC,HIGH,"Trave a spessore; offset P23"
F-T05-041,T05-C041,J-P24,J-P16,BM_25x70,READY,DIRECT_AXIS,,DOC,HIGH,""
F-T05-042,T05-C042,J-P21,J-P13,BM_50x20,READY,DIRECT_AXIS,,DOC,HIGH,"Nuova trave a spessore recuperata"
