frame_id,connection_id,joint_i,joint_j,section_id,assignment_status,evidence_status,confidence,offset_ref,axis_policy,notes
F-T05-001,T05-C001,J-P31,J-P28,BM_25x70,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,
F-T05-002,T05-C002,J-P31,J-P32,BM_25x70,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,
F-T05-003,T05-C003,J-P32,J-P33,BM_25x70,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,
F-T05-004,T05-C004,J-P32,J-P29,BM_120x20,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,Trave a spessore
F-T05-005,T05-C005,J-P33,J-P30,BM_25x70,READY,DOC,HIGH,OFF-P30-C005,PRESERVE_PHYSICAL_AXIS_WITH_TERMINAL_OFFSET,offset P30
F-T05-006,T05-C006,J-P28,J-P25,BM_25x70,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,
F-T05-007,T05-C007,J-P25,J-P19,BM_25x70,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,
F-T05-008,T05-C008,J-P28,J-P29,BM_50x120,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,
F-T05-009,T05-C009,J-P29,J-P30,BM_50x120,READY,DOC,HIGH,OFF-P30-C009,PRESERVE_PHYSICAL_AXIS_WITH_TERMINAL_OFFSET,offset P30 if required
F-T05-010,T05-C010,J-P29,J-P26,BM_120x20,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,Trave a spessore
F-T05-011,T05-C011,J-P26,J-P21,BM_120x20,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,Trave a spessore
F-T05-012,T05-C012,J-P30,J-P27,BM_25x70,READY,DOC,HIGH,OFF-P30-C012,PRESERVE_PHYSICAL_AXIS_WITH_TERMINAL_OFFSET,offset P30
F-T05-013,T05-C013,J-P27,J-P22P,BM_25x70,READY,DOC,HIGH,ATT-P22P-C013,PRESERVE_PHYSICAL_AXIS_WITH_TERMINAL_OFFSET,attachment faccia sinistra P22P
F-T05-014,T05-C014,J-P21,J-P22,BM_50x120,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,
F-T05-015,T05-C015,J-P22,J-P22P,BM_25x70,READY,RIF,HIGH,,DIRECT_JOINT_AXIS,Sezione 25x70 consolidata dall'utente; geometria invariata
F-T05-016,T05-C016,J-P22P,J-P23,BM_25x70,READY,DOC,HIGH,OFF-P23-C016,PRESERVE_PHYSICAL_AXIS_WITH_TERMINAL_OFFSET,offset P23
F-T05-017,T05-C017,J-P23,J-P24,BM_25x70,READY,DOC,HIGH,OFF-P23-C017,PRESERVE_PHYSICAL_AXIS_WITH_TERMINAL_OFFSET,offset P23
F-T05-018,T05-C018,J-P09,J-P01,BM_25x70,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,
F-T05-019,T05-C019,J-P01,J-P02,BM_25x70,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,
F-T05-020,T05-C020,J-P10,J-P02,BM_50x20,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,Trave a spessore
F-T05-021,T05-C021,J-P02,J-P03,BM_25x70,READY,DOC+RIF,HIGH,,DIRECT_JOINT_AXIS,
F-T05-022,T05-C022,J-P11,J-P03,BM_30x20,READY,DOC,HIGH,,DIRECT_JOINT_AXIS,Trave a spessore
F-T05-023,T05-C023,J-P03,J-P04,BM_25x70,READY,DOC+RIF,HIGH,,DIRECT_JOINT_AXIS,
F-T05-025A,T05-C025A,J-P04,J-P05,BM_25x70,READY,RIF,HIGH,,DIRECT_JOINT_AXIS,Sezione 25x70 consolidata dall'utente; geometria invariata
