joint_id,object_id,x_m,y_m,z_m,section_id,joint_policy,coord_status,confidence,notes
J-P01,P01,22.7330,8.8365,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,"Filo fisso; non asse baricentrico automaticamente"
J-P02,P02,22.7157,4.0963,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P03,P03,22.7154,-1.0136,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P04,P04,22.7072,-5.1804,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P05,P05,20.7543,-5.1791,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P06,P06,20.7080,-9.3840,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P07,P07,20.7256,-14.7106,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P08,P08,20.7147,-19.4253,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P09,P09,17.1273,8.8650,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P10,P10,17.1162,4.1056,0.000,COL_30x45,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P11,P11,17.1032,-1.0105,0.000,COL_30x50,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P12,P12,17.1121,-4.2854,0.000,COL_30x45,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P13,P13,16.0458,-6.4666,0.000,COL_30x45,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,"Nessuna trave incidente confermata su TAV-05S"
J-P14,P14,16.0503,-9.3656,0.000,COL_30x50,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P15,P15,16.0551,-14.7176,0.000,COL_30x45,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,MEDIUM,""
J-P16,P16,16.0631,-19.4388,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,MEDIUM,""
J-P17,P17,11.6290,8.8804,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P18,P18,11.9023,4.1262,0.000,COL_30x110,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,"Wide support as Frame Column"
J-P19,P19,12.4001,0.0402,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P20,P20,12.3443,-1.0045,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P21,P21,10.4147,-6.4571,0.000,COL_30x45,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P22,P22,10.4191,-9.3752,0.000,COL_30x45,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P22P,P22P,10.4267,-10.3692,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,MEDIUM,"22 primo"
J-P23,P23,9.9499,-14.7253,0.000,COL_30x110,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,"Wide support as Frame Column"
J-P24,P24,9.6419,-19.4517,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P25,P25,8.1467,0.0379,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P26,P26,8.1467,-6.2825,0.000,COL_30x45,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,MEDIUM,""
J-P27,P27,8.1575,-10.4494,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P28,P28,4.7022,0.0197,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P29,P29,4.7149,-6.2881,0.000,COL_30x45,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,""
J-P30,P30,4.7170,-10.9201,0.000,COL_30x110,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,HIGH,"Wide support as Frame Column"
J-P31,P31,0.0000,0.0000,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,MEDIUM,"Origine M0-G TAV-05S"
J-P32,P32,-0.0064,-6.3331,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,MEDIUM,""
J-P33,P33,0.0192,-11.3220,0.000,COL_40x40,ONE_FRAME_JOINT_AT_FIXED_LINE,MIS_CALIBRATED,MEDIUM,"Corregge vecchio P35"
