object_id,tavola_id,section_doc,fixed_u_px,fixed_v_px,coord_status,confidence,source_basis,geometry_policy,supersedes,notes
P01,TAV-05S,40x40,4039,2722,MIS,HIGH,"simbolo numerato 1; intersezione linee sottili di filo fisso",SUPPORT_WITH_FACES,v4:P01,"Confermato"
P02,TAV-05S,40x40,4040,3466,MIS,HIGH,"simbolo numerato 2; intersezione linee sottili di filo fisso",SUPPORT_WITH_FACES,v4:P02,"Confermato"
P03,TAV-05S,40x40,4044,4268,MIS,HIGH,"simbolo numerato 3; linee sottili interne distinte dai bordi trave",SUPPORT_WITH_FACES,v4:P03,"Confermato"
P04,TAV-05S,40x40,4046,4922,MIS,HIGH,"simbolo numerato 4; lettura ad alto ingrandimento",SUPPORT_WITH_FACES,v4:P04,"Confermato"
P05,TAV-05S,40x40,3737,4923,MIS,HIGH,"simbolo numerato 5; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P05,"Confermato"
P06,TAV-05S,40x40,3733,5583,MIS,HIGH,"simbolo numerato 6; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P06,"Confermato"
P07,TAV-05S,40x40,3740,6419,MIS,HIGH,"simbolo numerato 7; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P07,"Confermato"
P08,TAV-05S,40x40,3742,7159,MIS,HIGH,"simbolo numerato 8; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P08,"Confermato"
P09,TAV-05S,40x40,3152,2721,MIS,HIGH,"simbolo numerato 9; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P09,"Confermato"
P10,TAV-05S,30x45,3154,3468,MIS,HIGH,"simbolo numerato 10; quote 30x45 e fili fissi leggibili",SUPPORT_WITH_FACES,v4:P10,"Confermato"
P11,TAV-05S,30x45,3156,4271,MIS,HIGH,"simbolo numerato 11; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P11,"Confermato"
P12,TAV-05S,40x45,3160,4785,MIS,HIGH,"simbolo numerato 12; quote 40 e 45 leggibili",SUPPORT_WITH_FACES,v4:P12,"Confermato"
P13,TAV-05S,30x45,2993,5128,MIS,HIGH,"simbolo numerato 13; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P13,"Confermato"
P14,TAV-05S,30x45,2996,5583,MIS,HIGH,"simbolo numerato 14; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P14,"Confermato"
P17,TAV-05S,40x40,2282,2722,MIS,HIGH,"simbolo numerato 17; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P17,"Confermato"
P18,TAV-05S,30x110,2329,3468,MIS,HIGH,"simbolo numerato 18; sezione 30x110 DOC",SUPPORT_WITH_FACES,v4:P18,"Confermato; attachment ETABS separati"
P19,TAV-05S,40x40,2411,4109,MIS,HIGH,"simbolo numerato 19; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P19,"Confermato"
P20,TAV-05S,40x40,2403,4273,MIS,HIGH,"simbolo numerato 20; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P20,"Confermato da seconda misura locale"
P21,TAV-05S,30x45,2102,5130,MIS,HIGH,"simbolo numerato 21; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P21,"Confermato"
P22,TAV-05S,30x45,2105,5588,MIS,HIGH,"simbolo numerato 22; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P22,"Confermato da seconda misura locale"
P23,TAV-05S,30x110,2035,6428,MIS,HIGH,"simbolo numerato 23; sezione 30x110 DOC",SUPPORT_WITH_FACES,v4:P23,"Confermato; attachment ETABS separati"
P24,TAV-05S,40x40,1990,7170,MIS,HIGH,"simbolo numerato 24; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P24,"Confermato"
P25,TAV-05S,40x40,1738,4112,MIS,HIGH,"simbolo numerato 25; intersezione fili sottili misurata su crop locale",SUPPORT_WITH_FACES,v4:P25,"CORRETTO v=4120 -> 4112; il valore precedente non coincideva con il filo orizzontale"
P26,TAV-05S,30x45,1743,5104,MIS,MEDIUM,"simbolo numerato 26; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P26,"Da doppio controllo"
P27,TAV-05S,ND,1748,5758,MIS,HIGH,"simbolo numerato 27; intersezione fili sottili misurata su crop locale",SUPPORT_WITH_FACES,v4:P27,"CORRETTO (1756,5767) -> (1748,5758); sezione resta ND"
P28,TAV-05S,40x40,1193,4117,MIS,HIGH,"simbolo numerato 28; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P28,"Confermato"
P29,TAV-05S,30x45,1200,5107,MIS,HIGH,"simbolo numerato 29; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P29,"Confermato"
P30,TAV-05S,30x110,1204,5834,MIS,HIGH,"simbolo numerato 30; sezione 30x110 DOC",SUPPORT_WITH_FACES,v4:P30,"Confermato; attachment ETABS separati"
P32,TAV-05S,40x40,453,5117,MIS,MEDIUM,"simbolo numerato 32; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P32,"Da secondo controllo locale"
P35,TAV-05S,40x40,461,5900,MIS,MEDIUM,"simbolo numerato 35; intersezione fili fissi",SUPPORT_WITH_FACES,v4:P35,"Da secondo controllo locale"
