object_id,u_px,v_px,m0g_x_m,m0g_y_m,coord_status,confidence,transform_ref,notes
P01,4039,2722,22.7330,8.8365,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P02,4040,3466,22.7157,4.0963,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P03,4044,4268,22.7154,-1.0136,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P04,4046,4922,22.7072,-5.1804,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P05,3737,4923,20.7543,-5.1791,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P06,3733,5583,20.7080,-9.3840,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P07,3740,6419,20.7256,-14.7106,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P08,3742,7159,20.7147,-19.4253,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P09,3152,2721,17.1273,8.8650,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P10,3154,3468,17.1162,4.1056,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P11,3156,4271,17.1032,-1.0105,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P12,3160,4785,17.1121,-4.2854,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P13,2993,5128,16.0458,-6.4666,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P14,2996,5583,16.0503,-9.3656,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P15,3001,6423,16.0551,-14.7176,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P16,3006,7164,16.0631,-19.4388,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P17,2282,2722,11.6290,8.8804,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P18,2329,3468,11.9023,4.1262,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P19,2411,4109,12.4001,0.0402,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P20,2403,4273,12.3443,-1.0045,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P21,2102,5130,10.4147,-6.4571,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P22,2105,5588,10.4191,-9.3752,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P22P,2107,5744,10.4267,-10.3692,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
P23,2035,6428,9.9499,-14.7253,MIS_CALIBRATED,HIGH,M0G-T05-V1,Coordinate da fili fissi TAV-05S; non equivalgono automaticamente all'asse baricentrico della sezione.
