support_id,tavola_id,verified_adjacent_sections,coverage_status,next_action
P01,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P02,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P03,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P04,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P05,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P06,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P07,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P08,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P09,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P10,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P11,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P12,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P13,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P14,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P17,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P18,TAV-05S,"E:120x20 SPESSORE; S:25x70 EMERGENTE",PARTIAL,complete_remaining_adjacent_segments
P19,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P20,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P21,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P22,TAV-05S,"W/P27:25x70 EMERGENTE; N:50x20 SPESSORE",PARTIAL,complete_remaining_adjacent_segments
P23,TAV-05S,"E:50x20 SPESSORE",PARTIAL,complete_remaining_adjacent_segments
P24,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P25,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P26,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P27,TAV-05S,"W/P30:25x70 EMERGENTE; E/P22:25x70 EMERGENTE; N:50x20 SPESSORE",PARTIAL,complete_remaining_adjacent_segments
P28,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P29,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P30,TAV-05S,"E/P27:25x70 EMERGENTE",PARTIAL,complete_remaining_adjacent_segments
P32,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
P35,TAV-05S,,OPEN,inspect_all_adjacent_section_symbols_and_promote_only_DOC_readings
