connection_id,tavola_id,support_i,support_j,topology_status,evidence_status,confidence,beam_type,section_b_cm,section_h_cm,source_basis,notes
T05-C001,TAV-05S,P31,P28,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",""
T05-C002,TAV-05S,P31,P32,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",""
T05-C003,TAV-05S,P32,P33,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",""
T05-C004,TAV-05S,P32,P29,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,120,20,"quota 120 + richiamo simbolico 20",""
T05-C005,TAV-05S,P33,P30,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",""
T05-C006,TAV-05S,P28,P25,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",""
T05-C007,TAV-05S,P25,P19,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",""
T05-C008,TAV-05S,P28,P29,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"quote esterne 50/120",""
T05-C009,TAV-05S,P29,P30,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"quote esterne 50/120",""
T05-C010,TAV-05S,P29,P26,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,120,20,"quota 120 + richiamo simbolico 20",""
T05-C011,TAV-05S,P26,P21,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,120,20,"quota 120 + richiamo simbolico 20",""
T05-C012,TAV-05S,P30,P27,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",""
T05-C013,TAV-05S,P27,P22P,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70; endpoint 22 primo","corregge vecchio endpoint P22"
T05-C014,TAV-05S,P21,P22,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"tratto continuo; quote esterne 50/120",""
T05-C015,TAV-05S,P22,P22P,VERIFIED,DOC,HIGH,ND,,,"linea strutturale continua tra 22 e 22 primo","sezione ND"
T05-C016,TAV-05S,P22P,P23,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"tratto continuo; quote esterne 25/70",""
T05-C017,TAV-05S,P23,P24,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"tratto continuo; quote esterne 25/70",""
T05-C018,TAV-05S,P09,P01,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"tratto superiore; quote esterne 25/70",""
T05-C019,TAV-05S,P01,P02,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"tratto verticale destro; quote esterne 25/70",""
T05-C020,TAV-05S,P10,P02,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"quota 50 + richiamo simbolico 20",""
T05-C021,TAV-05S,P02,P03,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,,70,"altezza 70 leggibile; larghezza non attribuita","larghezza ND"
T05-C022,TAV-05S,P11,P03,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,30,20,"quota 30 + richiamo simbolico 20",""
T05-C023,TAV-05S,P03,P04,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,,70,"altezza 70 leggibile; larghezza non attribuita","larghezza ND"
T05-C024,TAV-05S,P12,P04,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"quota 50 + richiamo simbolico 20",""
T05-C025,TAV-05S,P04,P06,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,,70,"altezza 70 leggibile; larghezza non attribuita","larghezza ND"
T05-C026,TAV-05S,P14,P06,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"quota 50 + richiamo simbolico 20",""
T05-C027,TAV-05S,P06,P07,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",""
T05-C028,TAV-05S,P15,P07,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"quota 50 + richiamo simbolico 20",""
T05-C029,TAV-05S,P07,P08,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,,70,"altezza 70 leggibile; larghezza non attribuita","larghezza ND"
T05-C030,TAV-05S,P16,P08,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",""
T05-C031,TAV-05S,P17,P09,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",""
T05-C032,TAV-05S,P17,P18,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",""
T05-C033,TAV-05S,P18,P10,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,120,20,"quota 120 + richiamo simbolico 20",""
T05-C034,TAV-05S,P18,P19,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70 sul tratto",""
T05-C035,TAV-05S,P19,P20,VERIFIED,DOC,HIGH,ND,,,"linea strutturale continua tra i pilastri 19 e 20","sezione non attribuita"
T05-C036,TAV-05S,P20,P11,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,70,20,"quota esterna 70 + richiamo simbolico 20",""
T05-C037,TAV-05S,P25,P26,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"quote esterne 50/120 sul tratto verticale",""
T05-C038,TAV-05S,P26,P27,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"quote esterne 50/120 sul tratto verticale",""
