connection_id,tavola_id,support_i,support_j,topology_status,evidence_status,confidence,beam_type,section_b_cm,section_h_cm,source_basis,supersedes,notes
T05-C001,TAV-05S,P31,P28,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",v4:T05-C001,""
T05-C002,TAV-05S,P31,P32,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",v4:T05-C002,""
T05-C003,TAV-05S,P32,P33,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",v4:T05-C003,""
T05-C004,TAV-05S,P32,P29,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,120,20,"continuita strutturale P32-P29 + quota 120/richiamo 20",v4:T05-C004,""
T05-C005,TAV-05S,P33,P30,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",v4:T05-C005,"offset su P30"
T05-C006,TAV-05S,P28,P25,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",v4:T05-C006,""
T05-C007,TAV-05S,P25,P19,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",v4:T05-C007,""
T05-C008,TAV-05S,P28,P29,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"quote esterne 50/120",v4:T05-C008,""
T05-C009,TAV-05S,P29,P30,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"quote esterne 50/120",v4:T05-C009,"offset su P30 se necessario"
T05-C010,TAV-05S,P29,P26,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,120,20,"continuita strutturale P29-P26 + quota 120/richiamo 20",v4:T05-C010,""
T05-C011,TAV-05S,P26,P21,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,120,20,"continuita strutturale P26-P21 + quota 120/richiamo 20",v4:T05-C011,""
T05-C012,TAV-05S,P30,P27,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",v4:T05-C012,"asse ortogonale; offset su P30"
T05-C013,TAV-05S,P27,P22P,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"trave orizzontale continua P27-P22 primo; quote 25/70",v4:T05-C013,"joint P22P resta sul filo fisso; attacco occidentale su faccia sinistra alla quota reale della trave; non inclinare"
T05-C014,TAV-05S,P21,P22,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"tratto continuo; quote esterne 50/120",v4:T05-C014,""
T05-C015,TAV-05S,P22,P22P,VERIFIED,DOC,HIGH,ND,,,"linea strutturale continua tra 22 e 22 primo",v4:T05-C015,"sezione ND"
T05-C016,TAV-05S,P22P,P23,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"tratto continuo; quote esterne 25/70",v4:T05-C016,"offset su P23"
T05-C017,TAV-05S,P23,P24,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"tratto continuo; quote esterne 25/70",v4:T05-C017,"offset su P23"
