connection_id,tavola_id,node_i,node_j,node_i_type,node_j_type,topology_status,evidence_status,confidence,beam_type,section_b_cm,section_h_cm,source_basis,supersedes,notes
T05-C001,TAV-05S,P31,P28,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",v5:T05-C001,""
T05-C002,TAV-05S,P31,P32,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",v5:T05-C002,""
T05-C003,TAV-05S,P32,P33,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",v5:T05-C003,""
T05-C004,TAV-05S,P32,P29,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,120,20,"continuita strutturale + simbolo 120/20 trasversale",v5:T05-C004,""
T05-C005,TAV-05S,P33,P30,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",v5:T05-C005,"offset su P30"
T05-C006,TAV-05S,P28,P25,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",v5:T05-C006,""
T05-C007,TAV-05S,P25,P19,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua; quote esterne 25/70",v5:T05-C007,""
T05-C008,TAV-05S,P28,P29,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"quote esterne 50/120",v5:T05-C008,""
T05-C009,TAV-05S,P29,P30,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"quote esterne 50/120",v5:T05-C009,"offset su P30 se necessario"
T05-C010,TAV-05S,P29,P26,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,120,20,"continuita strutturale + simbolo 120/20 trasversale",v5:T05-C010,""
T05-C011,TAV-05S,P26,P21,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,120,20,"continuita strutturale + simbolo 120/20 trasversale",v5:T05-C011,""
T05-C012,TAV-05S,P30,P27,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",v5:T05-C012,"asse ortogonale; offset su P30"
T05-C013,TAV-05S,P27,P22P,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"trave orizzontale continua P27-P22 primo; quote 25/70",v5:T05-C013,"joint P22P sul filo fisso; attacco su faccia sinistra"
T05-C014,TAV-05S,P21,P22,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"tratto continuo; quote esterne 50/120",v5:T05-C014,""
T05-C015,TAV-05S,P22,P22P,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,ND,,,"linea strutturale continua tra 22 e 22 primo",v5:T05-C015,"sezione ND"
T05-C016,TAV-05S,P22P,P23,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"tratto continuo; quote esterne 25/70",v5:T05-C016,"offset su P23"
T05-C017,TAV-05S,P23,P24,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"tratto continuo; quote esterne 25/70",v5:T05-C017,"offset su P23"
T05-C018,TAV-05S,P09,P01,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"tratto superiore; quote esterne 25/70",v5:T05-C018,""
T05-C019,TAV-05S,P01,P02,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"tratto verticale destro; quote esterne 25/70",v5:T05-C019,""
T05-C020,TAV-05S,P10,P02,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"continuita strutturale + quota 50/richiamo 20",v5:T05-C020,""
T05-C021,TAV-05S,P02,P03,SUPPORT,SUPPORT,VERIFIED,DOC+RIF,HIGH,TRAVE_EMERGENTE,25,70,"h=70 documentata; b=25 consolidato",v5:T05-C021,""
T05-C022,TAV-05S,P11,P03,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,30,20,"continuita strutturale + quota 30/richiamo 20",v5:T05-C022,""
T05-C023,TAV-05S,P03,P04,SUPPORT,SUPPORT,VERIFIED,DOC+RIF,HIGH,TRAVE_EMERGENTE,25,70,"h=70 documentata; b=25 consolidato",v5:T05-C023,""
T05-C025A,TAV-05S,P04,P05,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,ND,,,"raster ad alta risoluzione mostra tratto distinto P04-P05",v5:T05-C025A,"sezione locale ND"
T05-C025B,TAV-05S,P05,P06,SUPPORT,SUPPORT,VERIFIED,DOC+RIF,HIGH,TRAVE_EMERGENTE,25,70,"h=70 documentata; b=25 consolidato",v5:T05-C025B,""
T05-C026,TAV-05S,P14,P06,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"continuita strutturale + quota 50/richiamo 20",v5:T05-C026,""
T05-C027,TAV-05S,P06,P07,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",v5:T05-C027,""
T05-C028,TAV-05S,P15,P07,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,50,20,"continuita strutturale + quota 50/richiamo 20",v5:T05-C028,""
T05-C029,TAV-05S,P07,P08,SUPPORT,SUPPORT,VERIFIED,DOC+RIF,HIGH,TRAVE_EMERGENTE,25,70,"h=70 documentata; b=25 consolidato",v5:T05-C029,""
T05-C030,TAV-05S,P16,P08,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",v5:T05-C030,""
T05-C031,TAV-05S,P17,P09,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",v5:T05-C031,""
T05-C032,TAV-05S,P17,P18,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",v5:T05-C032,"asse ortogonale; offset P18"
T05-C033,TAV-05S,P18,P10,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,120,20,"continuita strutturale + quota 120/richiamo 20",v5:T05-C033,"offset P18"
T05-C034,TAV-05S,P18,P19,SUPPORT,SUPPORT,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"quote esterne 25/70",v5:T05-C034,"asse ortogonale; offset P18"
