connection_id,tavola_id,support_a,support_b,topology_status,confidence,source_basis,notes
T05-C-R01,TAV-05S,P09,P01,DOC,HIGH,"tratto orizzontale superiore; estremi numerati 9 e 1","Sezione associata in tav05_beam_segment_sections_right_v1.csv"
T05-C-R02,TAV-05S,P01,P02,DOC,HIGH,"tratto verticale destro tra pilastri 1 e 2","Quote esterne 70 e 25 leggibili sul simbolo di trave"
T05-C-R03,TAV-05S,P10,P02,DOC,HIGH,"tratto orizzontale tra 10 e 2","Quota 50 esterna e richiamo simbolico 20"
T05-C-R04,TAV-05S,P02,P03,DOC,HIGH,"tratto verticale destro tra 2 e 3","Altezza 70 leggibile; larghezza non promossa per analogia"
T05-C-R05,TAV-05S,P11,P03,DOC,HIGH,"tratto orizzontale tra 11 e 3","Quota 30 esterna e richiamo simbolico 20"
T05-C-R06,TAV-05S,P03,P04,DOC,HIGH,"tratto verticale destro tra 3 e 4","Altezza 70 leggibile; larghezza non promossa per analogia"
T05-C-R07,TAV-05S,P12,P04,DOC,HIGH,"tratto orizzontale tra 12 e 4","Quota 50 esterna e richiamo simbolico 20"
T05-C-R08,TAV-05S,P04,P06,DOC,HIGH,"tratto verticale destro tra 4 e 6","Altezza 70 leggibile; larghezza non promossa per analogia"
T05-C-R09,TAV-05S,P14,P06,DOC,HIGH,"tratto orizzontale tra 14 e 6","Quota 50 esterna e richiamo simbolico 20"
T05-C-R10,TAV-05S,P06,P07,DOC,HIGH,"tratto verticale destro tra 6 e 7","Quote esterne 70 e 25 leggibili"
T05-C-R11,TAV-05S,P15,P07,DOC,HIGH,"tratto orizzontale tra 15 e 7","Quota 50 esterna e richiamo simbolico 20"
T05-C-R12,TAV-05S,P07,P08,DOC,HIGH,"tratto verticale destro tra 7 e 8","Altezza 70 leggibile; larghezza non promossa per analogia"
T05-C-R13,TAV-05S,P16,P08,DOC,HIGH,"tratto orizzontale inferiore tra 16 e 8","Quote esterne 70 e 25 leggibili"
T05-C-R14,TAV-05S,P17,P09,DOC,HIGH,"tratto orizzontale tra 17 e 9","Quote esterne 70 e 25 leggibili"
T05-C-R15,TAV-05S,P17,P18,DOC,HIGH,"tratto verticale tra 17 e 18","Quote esterne 70 e 25 leggibili"
T05-C-R16,TAV-05S,P18,P10,DOC,HIGH,"tratto orizzontale tra 18 e 10","Quota 120 esterna e richiamo simbolico 20"
