connection_id,tavola_id,support_i,support_j,topology_status,evidence_status,confidence,beam_type,section_b_cm,section_h_cm,source_basis,notes
T05-C001,TAV-05S,P31,P28,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua tra P31 e P28; simbolo esterno 25/70 sul tratto","maglia sinistra superiore"
T05-C002,TAV-05S,P31,P32,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua verticale P31-P32; quote esterne 25 e 70",""
T05-C003,TAV-05S,P32,P33,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua verticale P32-P33; quote esterne 25 e 70","P33 corregge precedente P35"
T05-C004,TAV-05S,P32,P29,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,120,20,"tratto continuo P32-P29 con quota esterna 120 e richiamo simbolico spessore 20","larghezza 120 documentata sul singolo tratto"
T05-C005,TAV-05S,P33,P30,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua P33-P30; quote esterne 25 e 70",""
T05-C006,TAV-05S,P28,P25,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua P28-P25; simbolo 25 con quota 70 sul tratto",""
T05-C007,TAV-05S,P25,P19,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"linea continua P25-P19; simbolo 25 con quota 70 sul tratto",""
T05-C008,TAV-05S,P28,P29,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"tratto verticale P28-P29; simbolo esterno 50/120",""
T05-C009,TAV-05S,P29,P30,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,50,120,"tratto verticale P29-P30; simbolo esterno 50/120",""
T05-C010,TAV-05S,P29,P26,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,120,20,"tratto continuo P29-P26; quota esterna 120 e richiamo simbolico spessore 20",""
T05-C011,TAV-05S,P26,P21,VERIFIED,DOC,HIGH,TRAVE_A_SPESSORE,120,20,"tratto continuo P26-P21; quota esterna 120 e richiamo simbolico spessore 20",""
T05-C012,TAV-05S,P30,P27,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"tratto P30-P27; quote esterne 25/70","già confermato in beam_segment_sections_v3"
T05-C013,TAV-05S,P27,P22P,VERIFIED,DOC,HIGH,TRAVE_EMERGENTE,25,70,"tratto P27-P22 primo; quote esterne 25/70; identificativo 22' verificato","sostituisce endpoint errato P22"
