id;nodo_1;nodo_2;lunghezza_grafica_mm;orientamento;stato
C001;N001;N008;1376.3;H;INF_DA_QUOTARE
C002;N001;N002;3416.3;H;INF_DA_QUOTARE
C003;N001;N093;873.8;V;INF_DA_QUOTARE
C004;N006;N083;1843.2;V;INF_DA_QUOTARE
C005;N016;N089;1167.6;V;INF_DA_QUOTARE
C006;N089;N093;509.7;V;INF_DA_QUOTARE
C007;N090;N110;3932.6;H;INF_DA_QUOTARE
C008;N001;N110;3678.7;H;INF_DA_QUOTARE
C009;N002;N077;905.1;V;INF_DA_QUOTARE
C010;N005;N042;1786.1;V;INF_DA_QUOTARE
C011;N002;N033;1148.4;V;INF_DA_QUOTARE
C012;N042;N087;1214.6;V;INF_DA_QUOTARE
C013;N042;N084;2200.8;V;INF_DA_QUOTARE
C014;N090;N116;4755.3;H;INF_DA_QUOTARE
C015;N003;N011;5024.0;V;INF_DA_QUOTARE
C016;N011;N015;1193.4;V;INF_DA_QUOTARE
C017;N003;N063;3579.6;H;INF_DA_QUOTARE
C018;N018;N063;1352.2;H;INF_DA_QUOTARE
C019;N004;N066;3703.7;H;INF_DA_QUOTARE
C020;N005;N056;845.2;H;INF_DA_QUOTARE
C021;N013;N045;840.9;H;INF_DA_QUOTARE
C022;N045;N056;580.2;H;INF_DA_QUOTARE
C023;N005;N091;2146.1;H;INF_DA_QUOTARE
C024;N006;N007;1384.8;H;INF_DA_QUOTARE
C025;N006;N044;4203.4;H;INF_DA_QUOTARE
C026;N007;N057;5812.5;H;INF_DA_QUOTARE
C027;N007;N113;5555.6;H;INF_DA_QUOTARE
C028;N007;N069;2662.7;V;INF_DA_QUOTARE
C029;N008;N071;840.8;V;INF_DA_QUOTARE
C030;N049;N072;1162.4;V;INF_DA_QUOTARE
C031;N071;N072;510.4;V;INF_DA_QUOTARE
C032;N009;N048;887.5;V;INF_DA_QUOTARE
C033;N030;N054;811.9;V;INF_DA_QUOTARE
C034;N037;N054;529.5;V;INF_DA_QUOTARE
C035;N037;N048;541.5;V;INF_DA_QUOTARE
C036;N010;N024;1884.5;H;INF_DA_QUOTARE
C037;N010;N025;2194.8;H;INF_DA_QUOTARE
C038;N010;N031;5838.1;V;INF_DA_QUOTARE
C039;N031;N039;1188.5;V;INF_DA_QUOTARE
C040;N010;N074;2815.3;H;INF_DA_QUOTARE
C041;N010;N075;2560.6;H;INF_DA_QUOTARE
C042;N011;N079;1554.6;H;INF_DA_QUOTARE
C043;N011;N035;4938.3;H;INF_DA_QUOTARE
C044;N036;N108;2090.2;H;INF_DA_QUOTARE
C045;N011;N062;5298.7;V;INF_DA_QUOTARE
C046;N015;N098;4127.5;V;INF_DA_QUOTARE
C047;N015;N099;4382.4;V;INF_DA_QUOTARE
C048;N012;N053;561.6;V;INF_DA_QUOTARE
C049;N012;N052;827.7;V;INF_DA_QUOTARE
C050;N012;N097;834.4;V;INF_DA_QUOTARE
C051;N014;N015;4413.1;H;INF_DA_QUOTARE
C052;N014;N036;1201.6;V;INF_DA_QUOTARE
C053;N036;N094;5290.4;V;INF_DA_QUOTARE
C054;N015;N017;4914.7;H;INF_DA_QUOTARE
C055;N016;N049;1374.5;H;INF_DA_QUOTARE
C056;N016;N042;3394.2;H;INF_DA_QUOTARE
C057;N016;N043;3665.4;H;INF_DA_QUOTARE
C058;N049;N111;5787.4;H;INF_DA_QUOTARE
C059;N049;N112;5539.2;H;INF_DA_QUOTARE
C060;N017;N035;1214.7;V;INF_DA_QUOTARE
C061;N018;N035;5015.3;V;INF_DA_QUOTARE
C062;N028;N040;3863.8;H;INF_DA_QUOTARE
C063;N035;N061;5277.3;V;INF_DA_QUOTARE
C064;N019;N028;4337.2;V;INF_DA_QUOTARE
C065;N028;N047;1201.8;V;INF_DA_QUOTARE
C066;N019;N064;2534.5;H;INF_DA_QUOTARE
C067;N019;N102;5026.5;H;INF_DA_QUOTARE
C068;N020;N059;610.6;V;INF_DA_QUOTARE
C069;N020;N073;5284.5;H;INF_DA_QUOTARE
C070;N020;N081;1231.0;V;INF_DA_QUOTARE
C071;N021;N069;5539.2;H;INF_DA_QUOTARE
C072;N021;N113;2654.6;V;INF_DA_QUOTARE
C073;N070;N112;1632.8;V;INF_DA_QUOTARE
C074;N096;N113;1812.2;V;INF_DA_QUOTARE
C075;N022;N057;2723.2;V;INF_DA_QUOTARE
C076;N022;N069;5800.5;H;INF_DA_QUOTARE
C077;N057;N111;4081.5;V;INF_DA_QUOTARE
C078;N024;N026;535.5;V;INF_DA_QUOTARE
C079;N026;N080;5302.7;V;INF_DA_QUOTARE
C080;N025;N027;535.5;V;INF_DA_QUOTARE
C081;N027;N078;6493.1;V;INF_DA_QUOTARE
C082;N026;N077;4503.8;H;INF_DA_QUOTARE
C083;N027;N077;4193.6;H;INF_DA_QUOTARE
C084;N027;N090;796.7;V;INF_DA_QUOTARE
C085;N028;N078;2674.9;H;INF_DA_QUOTARE
C086;N039;N078;2345.0;H;INF_DA_QUOTARE
C087;N047;N085;5044.7;V;INF_DA_QUOTARE
C088;N078;N106;2710.9;H;INF_DA_QUOTARE
C089;N029;N039;4088.0;V;INF_DA_QUOTARE
C090;N029;N105;2526.4;H;INF_DA_QUOTARE
C091;N032;N055;583.4;V;INF_DA_QUOTARE
C092;N031;N080;1848.6;H;INF_DA_QUOTARE
C093;N041;N109;1273.7;H;INF_DA_QUOTARE
C094;N047;N080;3196.4;H;INF_DA_QUOTARE
C095;N039;N102;4350.1;V;INF_DA_QUOTARE
C096;N033;N050;745.7;H;INF_DA_QUOTARE
C097;N033;N051;1228.7;H;INF_DA_QUOTARE
C098;N034;N085;1064.7;H;INF_DA_QUOTARE
C099;N034;N110;1079.2;V;INF_DA_QUOTARE
C100;N043;N088;1133.0;V;INF_DA_QUOTARE
C101;N043;N045;1916.7;V;INF_DA_QUOTARE
C102;N034;N050;993.7;H;INF_DA_QUOTARE
C103;N040;N041;1201.6;V;INF_DA_QUOTARE
C104;N044;N114;1916.8;V;INF_DA_QUOTARE
C105;N044;N056;2186.6;V;INF_DA_QUOTARE
C106;N046;N053;822.8;V;INF_DA_QUOTARE
C107;N052;N098;1795.2;H;INF_DA_QUOTARE
C108;N097;N098;1567.7;H;INF_DA_QUOTARE
C109;N098;N103;2119.7;H;INF_DA_QUOTARE
C110;N098;N104;2381.0;H;INF_DA_QUOTARE
C111;N053;N099;1689.6;H;INF_DA_QUOTARE
C112;N099;N100;2136.0;H;INF_DA_QUOTARE
C113;N099;N101;2397.3;H;INF_DA_QUOTARE
C114;N057;N065;2945.2;V;INF_DA_QUOTARE
C115;N058;N059;5284.4;H;INF_DA_QUOTARE
C116;N058;N073;581.2;V;INF_DA_QUOTARE
C117;N076;N095;2850.6;V;INF_DA_QUOTARE
C118;N058;N095;822.8;V;INF_DA_QUOTARE
C119;N061;N062;4912.1;H;INF_DA_QUOTARE
C120;N062;N094;4415.7;H;INF_DA_QUOTARE
C121;N066;N067;4095.6;H;INF_DA_QUOTARE
C122;N070;N071;5532.7;H;INF_DA_QUOTARE
C123;N071;N093;1385.0;H;INF_DA_QUOTARE
C124;N092;N093;1273.7;H;INF_DA_QUOTARE
C125;N070;N101;3774.6;V;INF_DA_QUOTARE
C126;N070;N104;4035.8;V;INF_DA_QUOTARE
C127;N072;N089;1372.0;H;INF_DA_QUOTARE
C128;N086;N089;1260.7;H;INF_DA_QUOTARE
C129;N086;N087;2136.0;H;INF_DA_QUOTARE
C130;N086;N088;2410.4;H;INF_DA_QUOTARE
C131;N079;N097;5315.8;V;INF_DA_QUOTARE
C132;N081;N107;1469.3;V;INF_DA_QUOTARE
C133;N082;N083;1205.2;H;INF_DA_QUOTARE
C134;N084;N114;817.8;H;INF_DA_QUOTARE
C135;N082;N086;3448.0;V;INF_DA_QUOTARE
C136;N086;N092;506.1;V;INF_DA_QUOTARE
C137;N083;N096;6953.6;H;INF_DA_QUOTARE
C138;N084;N115;1091.8;H;INF_DA_QUOTARE
C139;N086;N091;2951.7;V;INF_DA_QUOTARE
C140;N100;N111;5407.4;V;INF_DA_QUOTARE
C141;N103;N111;5668.6;V;INF_DA_QUOTARE
