nodo;x_mm;y_mm;supporto_intersezioni;grado_topologico;classe;stato
N001;33084.7;12210.4;10;2;LINE;PREDOC_TOPOLOGICO
N002;36500.9;12233.9;10;2;LINE;PREDOC_TOPOLOGICO
N003;23776.6;25651.2;8;1;TERM;PREDOC_TOPOLOGICO
N004;31530.1;23679.0;8;0;CROSS;PREDOC_TOPOLOGICO
N005;36510.7;7839.7;8;2;LINE;PREDOC_TOPOLOGICO
N006;33159.8;5536.1;8;2;LINE;PREDOC_TOPOLOGICO
N007;31775.0;5536.1;8;2;LINE;PREDOC_TOPOLOGICO
N008;31709.7;12151.3;8;1;TERM;PREDOC_TOPOLOGICO
N009;8485.1;10543.7;7;1;TERM;PREDOC_TOPOLOGICO
N010;42889.2;12616.6;6;3;JOINT;PREDOC_TOPOLOGICO
N011;23789.6;20627.2;6;3;JOINT;PREDOC_TOPOLOGICO
N012;22067.3;14484.3;6;1;TERM;PREDOC_TOPOLOGICO
N013;37611.4;7740.6;6;1;TERM;PREDOC_TOPOLOGICO
N014;19410.5;19408.2;5;2;LINE;PREDOC_TOPOLOGICO
N015;23823.6;19434.3;5;3;JOINT;PREDOC_TOPOLOGICO
N016;33106.9;9659.7;5;3;JOINT;PREDOC_TOPOLOGICO
N017;28738.3;19447.4;5;2;LINE;PREDOC_TOPOLOGICO
N018;28708.2;25677.3;4;1;TERM;PREDOC_TOPOLOGICO
N019;37768.1;23966.4;4;1;TERM;PREDOC_TOPOLOGICO
N020;7812.3;1328.9;4;0;CROSS;PREDOC_TOPOLOGICO
N021;26232.6;2847.2;4;0;CROSS;PREDOC_TOPOLOGICO
N022;25971.3;2847.2;4;1;TERM;PREDOC_TOPOLOGICO
N023;32464.1;24932.8;4;0;CROSS;PREDOC_TOPOLOGICO
N024;41004.8;12616.6;4;1;TERM;PREDOC_TOPOLOGICO
N025;40694.5;12616.6;4;1;TERM;PREDOC_TOPOLOGICO
N026;41004.8;13152.1;4;0;CROSS;PREDOC_TOPOLOGICO
N027;40694.5;13152.1;4;0;CROSS;PREDOC_TOPOLOGICO
N028;37862.9;19630.2;4;3;JOINT;PREDOC_TOPOLOGICO
N029;42871.3;23731.3;4;1;TERM;PREDOC_TOPOLOGICO
N030;8485.1;9397.2;4;1;TERM;PREDOC_TOPOLOGICO
N031;42882.7;18454.7;4;2;LINE;PREDOC_TOPOLOGICO
N032;8485.1;10265.7;4;0;CROSS;PREDOC_TOPOLOGICO
N033;36500.9;13382.3;4;2;LINE;PREDOC_TOPOLOGICO
N034;36749.1;13382.3;4;1;TERM;PREDOC_TOPOLOGICO
N035;28727.8;20662.0;4;3;JOINT;PREDOC_TOPOLOGICO
N036;19400.1;20609.8;4;1;TERM;PREDOC_TOPOLOGICO
N037;8485.1;9114.7;4;0;CROSS;PREDOC_TOPOLOGICO
N038;21803.9;14484.3;4;0;CROSS;PREDOC_TOPOLOGICO
N039;42882.7;19643.3;4;2;LINE;PREDOC_TOPOLOGICO
N040;33999.2;19604.1;4;2;LINE;PREDOC_TOPOLOGICO
N041;33999.2;18402.5;4;1;TERM;PREDOC_TOPOLOGICO
N042;36500.9;9625.7;4;2;LINE;PREDOC_TOPOLOGICO
N043;36772.0;9707.4;4;2;LINE;PREDOC_TOPOLOGICO
N044;37363.2;5554.1;4;2;LINE;PREDOC_TOPOLOGICO
N045;36772.0;7790.7;4;2;LINE;PREDOC_TOPOLOGICO
N046;22067.3;14223.1;3;1;TERM;PREDOC_TOPOLOGICO
N047;37837.8;18428.6;3;1;TERM;PREDOC_TOPOLOGICO
N048;8485.1;9656.2;3;1;TERM;PREDOC_TOPOLOGICO
N049;31732.6;9638.8;3;1;TERM;PREDOC_TOPOLOGICO
N050;35756.3;13422.0;3;1;TERM;PREDOC_TOPOLOGICO
N051;35272.9;13422.0;3;1;TERM;PREDOC_TOPOLOGICO
N052;21978.1;15307.1;3;1;TERM;PREDOC_TOPOLOGICO
N053;22067.3;15045.9;3;1;TERM;PREDOC_TOPOLOGICO
N054;8485.1;8585.2;3;1;TERM;PREDOC_TOPOLOGICO
N055;8485.1;10849.1;3;0;CROSS;PREDOC_TOPOLOGICO
N056;37350.1;7740.6;3;2;LINE;PREDOC_TOPOLOGICO
N057;25962.6;5570.4;3;2;LINE;PREDOC_TOPOLOGICO
