id,file,path,classe,stato,sha256,size_kb
TAV-01,tavola1.pdf,archive/documentazione_originaria/tavola1.pdf,architettonica,DOC,b10831de7f5977e2714215d56aec2ab4c377cc7ee7077670f2355c8c3d37c4a2,462
TAV-01S,tavola1-2.pdf,archive/documentazione_originaria/tavola1-2.pdf,carpenteria_strutturale,DOC,abd6061c305f2e7222f04659f519d7ee73ed0759b815ac994ff66215f060fec8,657
TAV-01A,tavola1-3.pdf,archive/documentazione_originaria/tavola1-3.pdf,armature_travi,DOC,bba85f508f31cb09b1278f317036debea2a22c0e9858bb8c4b1d4fcab855daeb,1093
TAV-02,tavola2.pdf,archive/documentazione_originaria/tavola2.pdf,architettonica,DOC,8cbc16fd096269ca0115f3654385286d4eb86fe8d27b2fd0b8dfd4eef701a88a,1251
TAV-02S,tavola2-2.pdf,archive/documentazione_originaria/tavola2-2.pdf,carpenteria_strutturale,DOC,cd03839589e60ee46b3fd398d6a9fabca1a446859e6693a47d0f83d0e930520f,645
TAV-02A,tavola 2-3.pdf,archive/documentazione_originaria/tavola 2-3.pdf,armature_travi,DOC,fbdb88b2d6906572591c67c8724248902a817a220129cff0c2723a6828627b8a,950
TAV-03,tavola 3.pdf,archive/documentazione_originaria/tavola 3.pdf,architettonica,DOC,85393502ba44d28b68bebcc7516619fec1e581bb75cd559ea2b01b91c404f1a1,1423
TAV-03S,tavola3-2.pdf,archive/documentazione_originaria/tavola3-2.pdf,carpenteria_strutturale,DOC,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,547
TAV-034A,tavola3a-4a.pdf,archive/documentazione_originaria/tavola3a-4a.pdf,armature_travi,DOC,8f2ee5acc5df6f152d7bbb750a27a6435e3533c9548453a52e2dd69d56abc1e7,1232
TAV-04,tavola 4.pdf,archive/documentazione_originaria/tavola 4.pdf,architettonica,DOC,87972049435ea9bac6df76b62da67de097a1299f55dadbcb0dcf65526a3f0948,1160
TAV-04S,tavola4-2.pdf,archive/documentazione_originaria/tavola4-2.pdf,carpenteria_strutturale,DOC,2b878bcefde54ff2b42bafa2a4fdc8a8420bd71514a7e6966a864f009ade685e,612
TAV-05S,tavola 5.pdf,archive/documentazione_originaria/tavola 5.pdf,carpenteria_strutturale,DOC,2143dbcfb101c7a83d0c5c7a59a11ceabdaf7d8b2568a7aeeae61fa60e66f580,727
TAV-05A,tavola 5-3.pdf,archive/documentazione_originaria/tavola 5-3.pdf,armature_travi,DOC,17dec414f0f0505e2cd2acb519029afba7672df1793a580badb8b59b6214f325,1159
TAV-05E,tavola5-2.pdf,archive/documentazione_originaria/tavola5-2.pdf,prospetto_elevazione,DOC,76e0b9fdd21c57fabcd83940fccd635cb2a0cdaf93aa8b8250d113d9a2a485d2,630
TAV-06A,tavola 6.pdf,archive/documentazione_originaria/tavola 6.pdf,armature_copertura,DOC,3f2d557fe6d3c65eb0891b1fd4f0f6f2a0a4b6cd0efe22a06604a5c341fc9c6d,615
TAV-06S,tavola 6-1.pdf,archive/documentazione_originaria/tavola 6-1.pdf,carpenteria_copertura,DOC,ca454c844049cab12af6eeaaf5167f934a9be0e2f72d34dd392d4db0bf3d341d,647
TAV-06E,tavola6-2.pdf,archive/documentazione_originaria/tavola6-2.pdf,sezione_elevazione,DOC,c0ad4eefb5c0e116ae28069a61234351913af80b99e12fe2023a0bde67b7fd81,581
TAV-07A,tavola7.pdf,archive/documentazione_originaria/tavola7.pdf,particolari_strutturali,DOC,38a0cce18dcda0b9a36d8473f0d428735c4b89934975d551d4bfffd24fe54a2b,780
