id,canonical_filename,archive_branch,remote_path,git_blob_sha,bytes,sha256,classe,livello_uso,ruolo,status
TAV-01,tavola1.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola1.pdf,e36d6411b5717ef750643a2624370834172e9bb5,473408,b10831de7f5977e2714215d56aec2ab4c377cc7ee7077670f2355c8c3d37c4a2,architettonica,controllo_geometrico,pianta_architettonica,DOC_PRIMARY_IMMUTABLE
TAV-01S,tavola1-2.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola1-2.pdf,64b842fa03b3aa7437e80d2bce90406a66f73827,672562,abd6061c305f2e7222f04659f519d7ee73ed0759b815ac994ff66215f060fec8,carpenteria_strutturale,fondazioni,carpenteria_fondazioni,DOC_PRIMARY_IMMUTABLE
TAV-01A,tavola1-3.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola1-3.pdf,9ad6bda28495fc08379bbe4bc82b23d27145534e,1118993,bba85f508f31cb09b1278f317036debea2a22c0e9858bb8c4b1d4fcab855daeb,armature_travi,fondazioni_primo_livello,armature,DOC_PRIMARY_IMMUTABLE
TAV-02,tavola2.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola2.pdf,08b81dceb78a851c2860aeb74e45605e235bb76f,1281496,8cbc16fd096269ca0115f3654385286d4eb86fe8d27b2fd0b8dfd4eef701a88a,architettonica,piano_terra,controllo_architettonico,DOC_PRIMARY_IMMUTABLE
TAV-02S,tavola2-2.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola2-2.pdf,f29554feb301886888e018c51b163f3ee72f4bac,660309,cd03839589e60ee46b3fd398d6a9fabca1a446859e6693a47d0f83d0e930520f,carpenteria_strutturale,G1_piano_terra,carpenteria_I_impalcato,DOC_PRIMARY_IMMUTABLE
TAV-02A,tavola 2-3.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola 2-3.pdf,99eb8e6a7a19655398d783cc650ca903667a7ec4,973222,fbdb88b2d6906572591c67c8724248902a817a220129cff0c2723a6828627b8a,armature_travi,G1_piano_terra,armature,DOC_PRIMARY_IMMUTABLE
TAV-03,tavola 3.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola 3.pdf,e9a821c698357b777d2ddc330e8aef319c1353d5,1457530,85393502ba44d28b68bebcc7516619fec1e581bb75cd559ea2b01b91c404f1a1,architettonica,piano_superiore,controllo_architettonico,DOC_PRIMARY_IMMUTABLE
TAV-03S,tavola3-2.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,559804,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,carpenteria_strutturale,G2,carpenteria_II_impalcato,DOC_PRIMARY_IMMUTABLE
TAV-034A,tavola3a-4a.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola3a-4a.pdf,f50a035f585b9d622f2571542569470ead01c989,1261781,8f2ee5acc5df6f152d7bbb750a27a6435e3533c9548453a52e2dd69d56abc1e7,armature_travi,G2_G3,armature,DOC_PRIMARY_IMMUTABLE
TAV-04,tavola 4.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola 4.pdf,19eb4bb4e1e9535b65f60e29170e289c63b8130d,1187948,87972049435ea9bac6df76b62da67de097a1299f55dadbcb0dcf65526a3f0948,architettonica,piano_superiore,controllo_architettonico,DOC_PRIMARY_IMMUTABLE
TAV-04S,tavola4-2.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola4-2.pdf,7807c32f52e8d6fcefad8abe7eac79ad9dd65efa,626660,2b878bcefde54ff2b42bafa2a4fdc8a8420bd71514a7e6966a864f009ade685e,carpenteria_strutturale,G3,carpenteria_III_impalcato,DOC_PRIMARY_IMMUTABLE
TAV-05S,tavola 5.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola 5.pdf,ec32cd621877e9037cb26ebc083164140a8e3e68,744562,2143dbcfb101c7a83d0c5c7a59a11ceabdaf7d8b2568a7aeeae61fa60e66f580,carpenteria_strutturale,G4,carpenteria_IV_impalcato,DOC_PRIMARY_IMMUTABLE
TAV-05A,tavola 5-3.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola 5-3.pdf,111542c26192dac0a3a801eb5f2e5d5cdbffe3d3,1186994,17dec414f0f0505e2cd2acb519029afba7672df1793a580badb8b59b6214f325,armature_travi,G4,armature,DOC_PRIMARY_IMMUTABLE
TAV-05E,tavola5-2.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola5-2.pdf,33b53f9fe15c4d88bd4ba4db90dc3e6ded19664f,645154,76e0b9fdd21c57fabcd83940fccd635cb2a0cdaf93aa8b8250d113d9a2a485d2,prospetto_elevazione,sviluppo_verticale,prospetto,DOC_PRIMARY_IMMUTABLE
TAV-06A,tavola 6.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola 6.pdf,c3048472adfdaa5b1e902f84c20ccfb20d679b1f,630101,3f2d557fe6d3c65eb0891b1fd4f0f6f2a0a4b6cd0efe22a06604a5c341fc9c6d,armature_copertura,G5_copertura,armature_copertura,DOC_PRIMARY_IMMUTABLE
TAV-06S,tavola 6-1.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola 6-1.pdf,7deb698aa368c07362c0ed18d72842c94e7263e7,662908,ca454c844049cab12af6eeaaf5167f934a9be0e2f72d34dd392d4db0bf3d341d,carpenteria_copertura,G5_copertura,carpenteria_copertura,DOC_PRIMARY_IMMUTABLE
TAV-06E,tavola6-2.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola6-2.pdf,6d9584f26fc438239279f872f8551ee6883bf78a,595002,c0ad4eefb5c0e116ae28069a61234351913af80b99e12fe2023a0bde67b7fd81,sezione_elevazione,sviluppo_verticale,sezione,DOC_PRIMARY_IMMUTABLE
TAV-07A,tavola7.pdf,archive/originali-alta-risoluzione,archive/documentazione_originaria/tavola7.pdf,bf92501e723843fd912976b1b711285a61c548d3,798816,38a0cce18dcda0b9a36d8473f0d428735c4b89934975d551d4bfffd24fe54a2b,particolari_strutturali,pilastri_particolari,abaco_dettagli_pilastri,DOC_PRIMARY_IMMUTABLE
