support_id,tavola_id,fixed_u_px,fixed_v_px,candidate_N,candidate_E,candidate_S,candidate_W,status,policy,notes
P01,TAV-05S,4039,2722,LOW,LOW,NONE,LOW,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico; richiede lettura visuale"
P02,TAV-05S,4040,3466,LOW,LOW,NONE,NONE,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico; richiede lettura visuale"
P03,TAV-05S,4044,4268,LOW,LOW,NONE,NONE,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P04,TAV-05S,4046,4922,NONE,LOW,NONE,NONE,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P05,TAV-05S,3737,4923,LOW,NONE,NONE,LOW,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P06,TAV-05S,3733,5583,MEDIUM,LOW,NONE,NONE,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P07,TAV-05S,3740,6419,NONE,LOW,NONE,NONE,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P08,TAV-05S,3742,7159,NONE,LOW,NONE,LOW,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P09,TAV-05S,3152,2721,LOW,LOW,NONE,NONE,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P10,TAV-05S,3154,3468,NONE,NONE,LOW,NONE,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P11,TAV-05S,3156,4271,NONE,NONE,LOW,NONE,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P12,TAV-05S,3160,4785,NONE,NONE,NONE,MEDIUM,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P13,TAV-05S,2993,5128,MEDIUM,NONE,NONE,NONE,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P14,TAV-05S,2996,5583,LOW,NONE,MEDIUM,NONE,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P17,TAV-05S,2282,2722,LOW,NONE,NONE,LOW,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P19,TAV-05S,2411,4109,NONE,LOW,HIGH,LOW,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico; alta densita' a sud da verificare"
P20,TAV-05S,2403,4273,HIGH,MEDIUM,LOW,NONE,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P21,TAV-05S,2102,5130,NONE,NONE,LOW,HIGH,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P22,TAV-05S,2105,5588,HIGH,NONE,HIGH,HIGH,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico; nodo complesso da leggere prioritariamente"
P24,TAV-05S,1990,7170,LOW,NONE,LOW,MEDIUM,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P25,TAV-05S,1738,4120,NONE,HIGH,NONE,LOW,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P26,TAV-05S,1743,5104,NONE,MEDIUM,NONE,LOW,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P27,TAV-05S,1756,5767,NONE,HIGH,NONE,MEDIUM,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P28,TAV-05S,1193,4117,LOW,NONE,NONE,LOW,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P29,TAV-05S,1200,5107,NONE,NONE,NONE,LOW,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P32,TAV-05S,453,5117,NONE,NONE,LOW,LOW,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
P35,TAV-05S,461,5900,NONE,NONE,LOW,LOW,INF_SCAN_ONLY,DO_NOT_PROMOTE,"Indice automatico"
