n1;n2;x1_mm;y1_mm;x2_mm;y2_mm;len_mm;match_quality;evidence_status;source
N001;N008;33084.7;12210.4;31709.7;12151.3;1376.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N001;;33084.7;12210.4;36500.9;12233.9;3416.0;UNMATCHED;INC;TAV5_CARPENTERIA.dxf
N001;N093;33084.7;12210.4;33084.7;11336.7;874.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N006;N083;33159.8;5536.1;33159.8;7379.3;1843.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N016;N089;33106.9;9659.7;33104.3;10827.3;1168.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N089;N093;33104.3;10827.3;33084.7;11336.7;510.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N090;N002;40694.5;12355.4;36762.2;12303.2;3933.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N001;N002;33084.7;12210.4;36762.2;12303.2;3679.0;HIGH;INF;TAV5_CARPENTERIA.dxf
;N077;36500.9;12233.9;36500.9;13139.1;905.0;UNMATCHED;INC;TAV5_CARPENTERIA.dxf
N005;;36510.7;7839.7;36500.9;9625.7;1786.0;UNMATCHED;INC;TAV5_CARPENTERIA.dxf
;N033;36500.9;12233.9;36500.9;13382.3;1148.0;UNMATCHED;INC;TAV5_CARPENTERIA.dxf
;N087;36500.9;9625.7;36500.9;10840.4;1215.0;UNMATCHED;INC;TAV5_CARPENTERIA.dxf
;N084;36500.9;9625.7;36520.5;7425.0;2201.0;UNMATCHED;INC;TAV5_CARPENTERIA.dxf
N090;N116;40694.5;12355.4;45449.8;12368.5;4755.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N003;N011;23776.6;25651.2;23789.6;20627.2;5024.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N011;N015;23789.6;20627.2;23823.6;19434.3;1193.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N003;N063;23776.6;25651.2;27356.1;25664.2;3580.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N018;N063;28708.2;25677.3;27356.1;25664.2;1352.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N004;N066;31530.1;23679.0;35233.7;23692.1;3704.0;HIGH;INF;TAV5_CARPENTERIA.dxf
