dxf_index;node_id;x_mm;y_mm;topo_class;pil_assoc;elem_id;evidence_status;source
9E4;N001;33084.7;12210.4;LINE;A01/N001/ES;P?001;DOC;TAV5_CARPENTERIA.dxf
9E6;;36500.9;12233.9;LINE;;P?002;INF;TAV5_CARPENTERIA.dxf
9E8;N003;23776.6;25651.2;TERM;A06/N003/ON;;DOC;TAV5_CARPENTERIA.dxf
9EA;N004;31530.1;23679.0;CROSS;A08/N004/EN;;DOC;TAV5_CARPENTERIA.dxf
9EC;N005;36510.7;7839.7;LINE;;P?005;INF;TAV5_CARPENTERIA.dxf
9EE;N006;33159.8;5536.1;LINE;A04/N006/ES;P?006;DOC;TAV5_CARPENTERIA.dxf
9F0;N007;31775.0;5536.1;LINE;A05/N007/ES;P?007;DOC;TAV5_CARPENTERIA.dxf
9F2;N008;31709.7;12151.3;TERM;A07/N008/ES;P?008;DOC;TAV5_CARPENTERIA.dxf
9F4;N009;8485.1;10543.7;TERM;A09/N009/OS;P?032;DOC;TAV5_CARPENTERIA.dxf
9F6;N010;42889.2;12616.6;JOINT;A10/N010/ES;P?010;DOC;TAV5_CARPENTERIA.dxf
9F8;N011;23789.6;20627.2;JOINT;A11/N011/ON;P?011;DOC;TAV5_CARPENTERIA.dxf
9FA;N012;22067.3;14484.3;TERM;A12/N012/OS;T?038;DOC;TAV5_CARPENTERIA.dxf
9FC;N013;37611.4;7740.6;TERM;A13/N013/ES;;DOC;TAV5_CARPENTERIA.dxf
9FE;N014;19410.5;19408.2;LINE;A16/N014/ON;P?014;DOC;TAV5_CARPENTERIA.dxf
A00;N015;23823.6;19434.3;JOINT;A14/N015/ON;P?015;DOC;TAV5_CARPENTERIA.dxf
A02;N016;33106.9;9659.7;JOINT;A15/N016/ES;P?016;DOC;TAV5_CARPENTERIA.dxf
A04;N017;28738.3;19447.4;LINE;A17/N017/EN;P?017;DOC;TAV5_CARPENTERIA.dxf
A06;N018;28708.2;25677.3;TERM;;;INF;TAV5_CARPENTERIA.dxf
A08;N019;37768.1;23966.4;TERM;;P?019;INF;TAV5_CARPENTERIA.dxf
A0A;;7812.3;1328.9;CROSS;;;INF;TAV5_CARPENTERIA.dxf
A0C;N021;26232.6;2847.2;CROSS;;;INF;TAV5_CARPENTERIA.dxf
A0E;N022;25971.3;2847.2;TERM;;P?021;INF;TAV5_CARPENTERIA.dxf
