comparison_id,region,element_kind,persistent_entity_id,correspondence_status,property,G3_document,G3_value,G3_evidence,G4_document,G4_value,G4_evidence,comparison_status,registration_status,evidence_locator,residual_id,notes
ETW2-DIFF-001,BEAM_02,BEAM,CANDIDATE,VER_PARZIALE,beam_width_cm,TAV-04S,140,DOC_RASTER,TAV-05S,120,DOC_RASTER,SECTION_CHANGE,INF_CONTROLLED_REGISTRATION,"bbox_norm G4 frame 0.50/0.35/0.70/0.45; raster registration run 32270566299",ETW2-R05,"Same homologous beam location/topology after SIFT+RANSAC registration; persistent structural ID not yet bound"
ETW2-DIFF-002,BEAM_03,BEAM,CANDIDATE,VER_PARZIALE,beam_width_cm,TAV-04S,140,DOC_RASTER,TAV-05S,120,DOC_RASTER,SECTION_CHANGE,INF_CONTROLLED_REGISTRATION,"bbox_norm G4 frame 0.40/0.50/0.60/0.60; raster registration run 32270566299",ETW2-R06,"Inclined homologous beam; width annotation differs 140→120; persistent structural ID not yet bound"
ETW2-DIFF-003,CAND_536,BEAM,CANDIDATE,VER_PARZIALE,beam_width_cm,TAV-04S,140,DOC_RASTER,TAV-05S,120,DOC_RASTER,SECTION_CHANGE,INF_CONTROLLED_REGISTRATION,"candidate ETW2-G34-CAND-536; bbox_norm_page_g4_frame 0.613618/0.356925/0.732340/0.368259; run 32271392783",ETW2-R07,"Third homologous wide beam visually confirmed 140 in G3 and 120 in G4; persistent structural ID not yet bound"
ETW2-DIFF-004,CAND_420,BEAM_AND_SLAB_PERIMETER,CANDIDATE,VER_PARZIALE,plan_geometry,TAV-04S,"orthogonal beam return plus projecting polygonal perimeter",DOC_RASTER,TAV-05S,"straight 25x70 perimeter beam; projection absent",DOC_RASTER,GEOMETRY_CHANGE,INF_CONTROLLED_REGISTRATION,"candidate ETW2-G34-CAND-420; bbox_norm_page_g4_frame 0.651386/0.295309/0.906647/0.340085; run 32271392783",ETW2-R08,"Registered high-resolution crop shows real upper-perimeter configuration change; identity of affected persistent beam/slab entities still unresolved"
ETW2-DIFF-005,CAND_556,BEAM_AND_SLAB_PERIMETER,CANDIDATE,VER_PARZIALE,plan_geometry,TAV-04S,"outward right-side beam/perimeter extension; dimension 150 visible",DOC_RASTER,TAV-05S,"homologous outward extension absent",DOC_RASTER,GEOMETRY_CHANGE,INF_CONTROLLED_REGISTRATION,"candidate ETW2-G34-CAND-556; bbox_norm_page_g4_frame 0.644688/0.368658/0.926600/0.464753; run 32271392783",ETW2-R09,"Right-side mid-level projection is documentally visible in G3 and absent in G4; candidate overlaps a separate 140→120 beam-width change"
ETW2-DIFF-006,CAND_781,BEAM_AND_SLAB_PERIMETER,CANDIDATE,VER_PARZIALE,plan_geometry,TAV-04S,"outward orthogonal beam extension plus polygonal perimeter",DOC_RASTER,TAV-05S,"homologous outward extension absent",DOC_RASTER,GEOMETRY_CHANGE,INF_CONTROLLED_REGISTRATION,"candidate ETW2-G34-CAND-781; bbox_norm_page_g4_frame 0.824838/0.509209/0.920757/0.572661; run 32271392783",ETW2-R10,"Distinct lower right-side projection; affected persistent entity IDs remain to be bound"
ETW2-DIFF-007,CAND_857,BEAM,CANDIDATE,VER_PARZIALE,beam_width_cm,TAV-04S,140,DOC_RASTER,TAV-05S,120,DOC_RASTER,SECTION_CHANGE,INF_CONTROLLED_REGISTRATION,"candidate ETW2-G34-CAND-857; bbox_norm_page_g4_frame 0.465250/0.538181/0.551477/0.552947; run 32271392783",ETW2-R11,"Additional inclined homologous beam; 140 cm annotation in G3 and 120 cm in G4. CAND-827 is a duplicate raster component of the same finding"
ETW2-DIFF-008,CAND_905,COLUMN_CANDIDATE,CANDIDATE,VER_PARZIALE,section_dimension_cm,TAV-04S,"50; orthogonal dimension 30",DOC_RASTER,TAV-05S,"45; orthogonal dimension 30",DOC_RASTER,SECTION_CHANGE,INF_CONTROLLED_REGISTRATION,"candidate ETW2-G34-CAND-905; bbox_norm_page_g4_frame 0.660508/0.562525/0.687160/0.578487; run 32271392783",ETW2-R12,"Same registered rectangular vertical-element symbol; one external dimension changes 50→45 while the other readable dimension remains 30. Persistent element identity not yet bound"
ETW2-DIFF-009,CAND_768,COLUMN_CANDIDATE,CANDIDATE,VER_PARZIALE,section_dimension_cm,TAV-04S,"50; orthogonal dimension 30",DOC_RASTER,TAV-05S,"45; orthogonal dimension 30",DOC_RASTER,SECTION_CHANGE,INF_CONTROLLED_REGISTRATION,"candidate ETW2-G34-CAND-768; bbox_norm_page_g4_frame 0.663643/0.502026/0.684452/0.518308; run 32271392783",ETW2-R13,"Second registered rectangular vertical-element symbol with repeated 50→45 change and orthogonal 30 unchanged"
ETW2-DIFF-010,CAND_618,COLUMN_CANDIDATE,CANDIDATE,VER_PARZIALE,section_dimension_cm,TAV-04S,"50; orthogonal dimension 30",DOC_RASTER,TAV-05S,"45; orthogonal dimension 30",DOC_RASTER,SECTION_CHANGE,INF_CONTROLLED_REGISTRATION,"candidate ETW2-G34-CAND-618; bbox_norm_page_g4_frame 0.661933/0.407926/0.685450/0.421654; run 32271392783",ETW2-R14,"Third registered rectangular vertical-element symbol with repeated 50→45 change and orthogonal 30 unchanged"
