source_column_id,preview_u_px,preview_v_px,native_u_px,native_v_px,section_cm,orientation,center_status,transform_status,evidence_state,source_basis,notes
1,156.0,138.0,2826.1,582.2,40x50,LONG_Y,MIS_RASTER_REVIEW,REGISTERED_HIGH,DOC_NATIVE+MIS,"TAV-02S native HiRes + preview-to-native homography","Center from numbered footprint; no P-ID assigned."
2,341.0,136.5,3565.9,576.2,50x40,LONG_X,MIS_RASTER_REVIEW,REGISTERED_HIGH,DOC_NATIVE+MIS,"TAV-02S native HiRes + preview-to-native homography","Center from numbered footprint; no P-ID assigned."
3,543.0,136.5,4373.8,576.3,50x40,LONG_X,MIS_RASTER_REVIEW,REGISTERED_HIGH,DOC_NATIVE+MIS,"TAV-02S native HiRes + preview-to-native homography","Center from numbered footprint; no P-ID assigned."
4,703.0,138.0,5013.9,582.3,40x50,LONG_Y,MIS_RASTER_REVIEW,REGISTERED_HIGH,DOC_NATIVE+MIS,"TAV-02S native HiRes + preview-to-native homography","Center from numbered footprint; no P-ID assigned."
5,703.0,213.0,5013.9,882.3,40x50,LONG_Y,MIS_RASTER_REVIEW,REGISTERED_HIGH,DOC_NATIVE+MIS,"TAV-02S native HiRes + preview-to-native homography","Center from numbered footprint; no P-ID assigned."
6,866.5,215.0,5668.0,890.4,50x40,LONG_X,MIS_RASTER_REVIEW,REGISTERED_HIGH,DOC_NATIVE+MIS,"TAV-02S native HiRes + preview-to-native homography","Center from numbered footprint; no P-ID assigned."
7,1074.0,214.0,6498.3,886.4,50x40,LONG_X,MIS_RASTER_REVIEW,REGISTERED_HIGH,DOC_NATIVE+MIS,"TAV-02S native HiRes + preview-to-native homography","Center from numbered footprint; no P-ID assigned."
8,1260.0,215.0,7242.4,890.7,40x50,LONG_Y,MIS_RASTER_REVIEW,REGISTERED_HIGH,DOC_NATIVE+MIS,"TAV-02S native HiRes + preview-to-native homography","Center from numbered footprint; no P-ID assigned."
9,156.0,357.5,2825.3,1460.1,40x50,LONG_Y,MIS_RASTER_REVIEW,REGISTERED_HIGH,DOC_NATIVE+MIS,"TAV-02S native HiRes + preview-to-native homography","Center from numbered footprint; no P-ID assigned."
10,340.5,358.0,3563.1,1462.0,50x40,LONG_X,MIS_RASTER_REVIEW,REGISTERED_HIGH,DOC_NATIVE+MIS,"TAV-02S native HiRes + preview-to-native homography","Center from numbered footprint; no P-ID assigned."
11,541.0,358.0,4365.1,1462.2,50x40,LONG_X,MIS_RASTER_REVIEW,REGISTERED_HIGH,DOC_NATIVE+MIS,"TAV-02S native HiRes + preview-to-native homography","Center from numbered footprint; no P-ID assigned."
12,669.0,358.0,4877.0,1462.3,40x50,LONG_Y,MIS_RASTER_REVIEW,REGISTERED_HIGH,DOC_NATIVE+MIS,"TAV-02S native HiRes + preview-to-native homography","Center from numbered footprint; no P-ID assigned."
13,753.0,400.0,5212.6,1630.4,50x40,LONG_X,MIS_RASTER_REVIEW,REGISTERED_HIGH,DOC_NATIVE+MIS,"TAV-02S native HiRes + preview-to-native homography","Center from numbered footprint; no P-ID assigned."
