source_column_id,source_band,source_presence,footprint_read_status,section_cm,orientation_status,canonical_p_id_status,evidence_state,source_basis,notes
1,ROW_A,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 40/50."
2,ROW_A,CONFIRMED,HIRES_READ,50x40,LONG_X,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 50/40."
3,ROW_A,CONFIRMED,HIRES_READ,50x40,LONG_X,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 50/40."
4,ROW_A,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 40/50."
5,ROW_A_LOCAL_OFFSET,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Local offset below upper line; direct labels 40/50; do not regularize onto row."
6,ROW_A,CONFIRMED,HIRES_READ,50x40,LONG_X,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 50/40."
7,ROW_A,CONFIRMED,HIRES_READ,50x40,LONG_X,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 50/40."
8,ROW_A,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 40/50."
9,ROW_B,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 40/50."
10,ROW_B,CONFIRMED,HIRES_READ,50x40,LONG_X,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 50/40."
11,ROW_B,CONFIRMED,HIRES_READ,50x40,LONG_X,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 50/40."
12,ROW_B_LOCAL_GEOMETRY,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Irregular local geometry; direct labels 40/50."
13,ROW_B_LOCAL_GEOMETRY,CONFIRMED,HIRES_READ,50x40,LONG_X,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Irregular local geometry; direct labels 50/40."
14,ROW_B,CONFIRMED,HIRES_READ,50x40,LONG_X,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 50/40."
15,ROW_B,CONFIRMED,HIRES_READ,50x40,LONG_X,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 50/40."
16,ROW_B,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 40/50."
17,ROW_C,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 40/50."
18,ROW_C,CONFIRMED,HIRES_READ,30x110,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Elongated numbered footprint; direct labels 30/110. Preserve as drawn."
19,ROW_C_LOCAL_GEOMETRY,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Central irregular cluster; direct labels 40/50."
20,ROW_C_LOCAL_GEOMETRY,CONFIRMED,HIRES_READ,50x40,LONG_X,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Central irregular cluster; direct labels 50/40."
21,ROW_C_LOCAL_GEOMETRY,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Central irregular cluster; direct labels 40/50."
22,ROW_C_LOCAL_GEOMETRY,CONFIRMED,HIRES_READ,50x40,LONG_X,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Central irregular cluster; direct labels 50/40."
23,ROW_C_LOCAL_GEOMETRY,CONFIRMED,HIRES_READ,30x110,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Elongated numbered footprint; direct labels 30/110. Preserve as drawn."
24,ROW_C,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 40/50."
25,ROW_D,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 40/50."
26,ROW_D,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 40/50."
27,ROW_D,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 40/50."
28,ROW_D,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 40/50."
29,ROW_D,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Direct dimension labels 40/50."
30,ROW_D,CONFIRMED,HIRES_READ,110x30,LONG_X,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Elongated horizontal numbered footprint; direct labels 110/30. Preserve native orientation."
31,ROW_E_TERMINAL,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Terminal lower row; direct labels 40/50."
32,ROW_E_TERMINAL,CONFIRMED,HIRES_READ,50x40,LONG_X,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Terminal lower row; direct labels 50/40."
33,ROW_E_TERMINAL,CONFIRMED,HIRES_READ,40x50,LONG_Y,DO_NOT_ASSIGN,DOC_NATIVE,TAV-02S native HiRes,"Terminal lower row; direct labels 40/50."
GATE,ALL,33_OF_33_CONFIRMED,33_OF_33_DIMENSIONED,NA,NA,NO_P_MAPPING_YET,RULE_CLOSED,"TAV-02S native HiRes + ETW_TAV02S_COLUMN_SYMBOL_LEGEND_v1.csv","Source-number completeness, section dimensions and orientation are now closed for 33/33 source columns. Exact plan coordinates/footprint corners and P-ID mapping remain separate next gates."
