support_id,m0g_x_m,m0g_y_m,roof_state,analytical_axis_id,legacy_chain_id,crosswalk_status,model_use,notes
P01,22.7330,8.8365,TERMINATES_BELOW_ROOF,AX-P01,ND,PENDING,G4_ONLY,"WING-B termination"
P09,17.1273,8.8650,TERMINATES_BELOW_ROOF,AX-P09,ND,PENDING,G4_ONLY,"WING-B termination"
P17,11.6290,8.8804,TERMINATES_BELOW_ROOF,AX-P17,ND,FRAME_S_BOUND_CHAIN_PENDING,G4_ONLY,"Telaio5 S; WING-B termination"
P08,20.7147,-19.4253,TERMINATES_BELOW_ROOF,AX-P08,ND,PENDING,G4_ONLY,"WING-C termination"
P16,16.0631,-19.4388,TERMINATES_BELOW_ROOF,AX-P16,ND,PENDING,G4_ONLY,"WING-C termination"
P21,10.4147,-6.4571,TERMINATES_BELOW_ROOF,AX-P21,ND,FRAME_V_BOUND_CHAIN_PENDING,G4_ONLY,"Telaio5 V; WING-C termination"
P31,0.0000,0.0000,TERMINATES_BELOW_ROOF,AX-P31,ND,PENDING,G4_ONLY,"WING-A termination; origin M0G-T05-V1"
P32,-0.0064,-6.3331,TERMINATES_BELOW_ROOF,AX-P32,ND,PENDING,G4_ONLY,"WING-A termination"
P33,0.0192,-11.3220,TERMINATES_BELOW_ROOF,AX-P33,ND,PENDING,G4_ONLY,"WING-A termination"
P02,22.7157,4.0963,CONTINUES_TO_ROOF,AX-P02,ND,PENDING,G4_G5,"WING-B inward support line"
P10,17.1162,4.1056,CONTINUES_TO_ROOF,AX-P10,ND,PENDING,G4_G5,"WING-B inward support line"
P18,11.9023,4.1262,CONTINUES_TO_ROOF,AX-P18,ND,FRAME_SPRIME_BOUND_CHAIN_PENDING,G4_G5,"Telaio5 S'; wide support"
P28,4.7022,0.0197,CONTINUES_TO_ROOF,AX-P28,ND,PENDING,G4_G5,"WING-A inward support line"
P29,4.7149,-6.2881,CONTINUES_TO_ROOF,AX-P29,ND,PENDING,G4_G5,"WING-A inward support line"
P30,4.7170,-10.9201,CONTINUES_TO_ROOF,AX-P30,ND,PENDING,G4_G5,"WING-A inward support line; wide support"
