record_id,support_id,v_order_section_cm,tav06s_roof_presence,analytical_axis,evidence_state,release_status,notes
G5-CS-001,P02,40x40,PRESENT,AX-P02,DOC,SECTION_READY,"TAV-07A V-order 40x40 group; support present on TAV-06S."
G5-CS-002,P03,40x40,PRESENT,AX-P03,DOC,SECTION_READY,"TAV-07A V-order 40x40 group; support present on TAV-06S."
G5-CS-003,P04,40x40,PRESENT,AX-P04,DOC,SECTION_READY,"TAV-07A V-order 40x40 group; support present on TAV-06S."
G5-CS-004,P05,40x40,PRESENT,AX-P05,DOC,SECTION_READY,"TAV-07A V-order 40x40 group; support present on TAV-06S."
G5-CS-005,P06,40x40,PRESENT,AX-P06,DOC,SECTION_READY,"TAV-07A V-order 40x40 group; support present on TAV-06S."
G5-CS-006,P07,40x40,PRESENT,AX-P07,DOC,SECTION_READY,"TAV-07A V-order 40x40 group; support present on TAV-06S."
G5-CS-007,P10,30x40,PRESENT,AX-P10,DOC,SECTION_READY,"TAV-07A V-order 30x40 group; support present on TAV-06S."
G5-CS-008,P11,30x40,PRESENT,AX-P11,DOC,SECTION_READY,"TAV-07A V-order 30x40 group; support present on TAV-06S."
G5-CS-009,P12,30x40,PRESENT,AX-P12,DOC,SECTION_READY,"TAV-07A V-order 30x40 group; support present on TAV-06S."
G5-CS-010,P13,30x40,PRESENT,AX-P13,DOC,SECTION_READY,"TAV-07A V-order 30x40 group; support present on TAV-06S."
G5-CS-011,P14,30x40,PRESENT,AX-P14,DOC,SECTION_READY,"TAV-07A V-order 30x40 group; support present on TAV-06S."
G5-CS-012,P15,30x40,PRESENT,AX-P15,DOC,SECTION_READY,"TAV-07A V-order 30x40 group; support present on TAV-06S."
G5-CS-013,P18,30x40,PRESENT,AX-P18,DOC,SECTION_READY,"TAV-07A V-order 30x40 group; support present on TAV-06S."
G5-CS-014,P19,40x40,PRESENT,AX-P19,DOC,SECTION_READY,"TAV-07A V-order 40x40 group; support present on TAV-06S."
G5-CS-015,P20,40x40,PRESENT,AX-P20,DOC,SECTION_READY,"TAV-07A V-order 40x40 group; support present on TAV-06S."
G5-CS-016,P22,40x40,PRESENT,AX-P22,DOC,SECTION_READY,"TAV-07A V-order 40x40 group; P22 distinct from P22P."
G5-CS-017,P22P,40x40,PRESENT,AX-P22P,DOC,SECTION_READY,"TAV-07A V-order 40x40 group; distinct support 22'."
G5-CS-018,P23,30x40,PRESENT,AX-P23,DOC,SECTION_READY,"TAV-07A V-order 30x40 group; support present on TAV-06S."
G5-CS-019,P24,40x40,PRESENT,AX-P24,DOC,SECTION_READY,"TAV-07A V-order 40x40 group; support present on TAV-06S."
G5-CS-020,P25,40x40,PRESENT,AX-P25,DOC,SECTION_READY,"TAV-07A V-order 40x40 group; support present on TAV-06S."
G5-CS-021,P26,30x40,PRESENT,AX-P26,DOC,SECTION_READY,"TAV-07A V-order 30x40 group; support present on TAV-06S."
G5-CS-022,P27,40x40,PRESENT,AX-P27,DOC,SECTION_READY,"TAV-07A V-order 40x40 group; support present on TAV-06S."
G5-CS-023,P28,40x40,PRESENT,AX-P28,DOC,SECTION_READY,"TAV-07A V-order 40x40 group; support present on TAV-06S."
G5-CS-024,P29,30x40,PRESENT,AX-P29,DOC,SECTION_READY,"TAV-07A V-order 30x40 group; support present on TAV-06S."
G5-CS-025,P30,30x40,PRESENT,AX-P30,DOC,SECTION_READY,"TAV-07A V-order 30x40 group; support present on TAV-06S."
G5-CS-X01,P21,30x40,ABSENT,AX-P21,DOC,TERMINATION_ONLY,"TAV-07A V-order includes P21 but TAV-06S excludes it. Keep section on V-order column only; do not create a roof-support continuation."
G5-CS-GATE,ALL,"14x40x40 + 12x30x40 at V order","25 PRESENT + P21 ABSENT",NA,DOC,PASS,"All 25 numbered TAV-06S roof-support axes now have source-bound V-order column sections. P21 remains the unique high-level termination."
