support_id,roof_presence,classification,evidence_state,confidence,source_basis,notes
P02,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 2 visible","Main-frame support present in roof carpenteria"
P03,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 3 visible",""
P04,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 4 visible",""
P05,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 5 visible",""
P06,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 6 visible",""
P07,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 7 visible",""
P10,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 10 visible",""
P11,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 11 visible","Read at quadrant boundary; sequence 10-11-12 confirmed by neighboring support labels"
P12,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 12 visible",""
P13,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 13 visible",""
P14,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 14 visible",""
P15,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 15 visible",""
P18,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 18 visible",""
P19,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 19 visible",""
P20,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 20 visible",""
P22,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 22 visible",""
P22P,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 22' visible","Prime support retained as distinct persistent ID"
P23,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 23 visible",""
P24,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 24 visible",""
P25,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 25 visible",""
P26,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 26 visible",""
P27,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 27 visible",""
P28,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 28 visible",""
P29,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 29 visible",""
P30,PRESENT,CONTINUES_TO_ROOF,DOC_RASTER,HIGH,"TAV-06S direct HiRes reading; support number 30 visible",""
P01,ABSENT,TERMINATES_BELOW_ROOF,DOC_RASTER+RIF,HIGH,"not listed among TAV-06S roof supports; IV-order presence documented in TAV-07A","Absence interpreted as true vertical termination by user-confirmed TAV-06S convention"
P08,ABSENT,TERMINATES_BELOW_ROOF,DOC_RASTER+RIF,HIGH,"not listed among TAV-06S roof supports; IV-order presence documented in TAV-07A",""
P09,ABSENT,TERMINATES_BELOW_ROOF,DOC_RASTER+RIF,HIGH,"not listed among TAV-06S roof supports; IV-order presence documented in TAV-07A",""
P16,ABSENT,TERMINATES_BELOW_ROOF,DOC_RASTER+RIF,HIGH,"not listed among TAV-06S roof supports; IV-order presence documented in TAV-07A",""
P17,ABSENT,TERMINATES_BELOW_ROOF,DOC_RASTER+RIF,HIGH,"not listed among TAV-06S roof supports; IV-order presence documented in TAV-07A",""
P21,ABSENT,TERMINATES_BELOW_ROOF,DOC_RASTER+RIF,HIGH,"not listed among TAV-06S roof supports; IV-order presence documented in TAV-07A",""
P31,ABSENT,TERMINATES_BELOW_ROOF,DOC_RASTER+RIF,HIGH,"not listed among TAV-06S roof supports; IV-order presence documented in TAV-07A",""
P32,ABSENT,TERMINATES_BELOW_ROOF,DOC_RASTER+RIF,HIGH,"not listed among TAV-06S roof supports; IV-order presence documented in TAV-07A",""
P33,ABSENT,TERMINATES_BELOW_ROOF,DOC_RASTER+RIF,HIGH,"not listed among TAV-06S roof supports; IV-order presence documented in TAV-07A",""
