memberId;node3d_1;node3d_2;levelId;physicalPos1;physicalPos2;length_mm;quality;evidenceRefs;epistemicStatus
HM-0001;N3D-0001;N3D-0031;G1;N001;N008;1376.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0002;N3D-0001;N3D-0126;G1;N001;N002;3679.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0003;N3D-0006;N3D-0046;G1;N003;N011;5024.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0004;N3D-0046;N3D-0066;G1;N011;N015;1193.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0005;N3D-0056;N3D-0121;G1;N013;N045;841.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0006;N3D-0021;N3D-0026;G1;N006;N007;1385.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0007;N3D-0021;N3D-0116;G1;N006;N044;4203.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0008;N3D-0041;N3D-0086;G1;N010;N031;5838.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0009;N3D-0086;N3D-0101;G1;N031;N039;1189.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0010;N3D-0046;N3D-0096;G1;N011;N035;4938.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0011;N3D-0061;N3D-0066;G1;N014;N015;4413.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0012;N3D-0066;N3D-0076;G1;N015;N017;4915.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0013;N3D-0071;N3D-0111;G1;N016;N042;3665.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0014;N3D-0076;N3D-0096;G1;N017;N035;1215.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0015;N3D-0081;N3D-0106;G1;N028;N040;3864.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0016;N3D-0111;N3D-0121;G1;N042;N045;1917.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0017;N3D-0002;N3D-0032;G2;N001;N008;1376.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0019;N3D-0007;N3D-0047;G2;N003;N011;5024.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0020;N3D-0047;N3D-0067;G2;N011;N015;1193.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0021;N3D-0057;N3D-0122;G2;N013;N045;841.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0022;N3D-0022;N3D-0027;G2;N006;N007;1385.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0023;N3D-0022;N3D-0117;G2;N006;N044;4203.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0024;N3D-0042;N3D-0087;G2;N010;N031;5838.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0026;N3D-0047;N3D-0097;G2;N011;N035;4938.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0027;N3D-0062;N3D-0067;G2;N014;N015;4413.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0028;N3D-0067;N3D-0077;G2;N015;N017;4915.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0029;N3D-0072;N3D-0112;G2;N016;N042;3665.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0030;N3D-0077;N3D-0097;G2;N017;N035;1215.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0031;N3D-0082;N3D-0107;G2;N028;N040;3864.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0032;N3D-0112;N3D-0122;G2;N042;N045;1917.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0033;N3D-0003;N3D-0033;G3;N001;N008;1376.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0035;N3D-0008;N3D-0048;G3;N003;N011;5024.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0036;N3D-0048;N3D-0068;G3;N011;N015;1193.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0037;N3D-0058;N3D-0123;G3;N013;N045;841.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0038;N3D-0023;N3D-0028;G3;N006;N007;1385.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0039;N3D-0023;N3D-0118;G3;N006;N044;4203.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0040;N3D-0043;N3D-0088;G3;N010;N031;5838.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0042;N3D-0048;N3D-0098;G3;N011;N035;4938.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0043;N3D-0063;N3D-0068;G3;N014;N015;4413.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0044;N3D-0068;N3D-0078;G3;N015;N017;4915.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0045;N3D-0073;N3D-0113;G3;N016;N042;3665.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0046;N3D-0078;N3D-0098;G3;N017;N035;1215.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0047;N3D-0083;N3D-0108;G3;N028;N040;3864.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0048;N3D-0113;N3D-0123;G3;N042;N045;1917.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0049;N3D-0004;N3D-0034;G4;N001;N008;1376.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0051;N3D-0009;N3D-0049;G4;N003;N011;5024.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
