canonicalNodeId;aliases;x_mm;y_mm;dxf_handle;topologicalRole;pilAssociation;elementIds;incidentConnections;evidenceRefs;epistemicStatus;resolutionRule;blockingResiduals
N001;N001;33084.7;12210.4;9E4;LINE;A01/N001/ES;P?001;N002|N008|N093;TAV5_CARPENTERIA.dxf;DOC;SINGLE_ID;
N003;N003;23776.6;25651.2;9E8;TERM;A06/N003/ON;;N011|N063;TAV5_CARPENTERIA.dxf;DOC;SINGLE_ID;
N004;N004;31530.1;23679.0;9EA;CROSS;A08/N004/EN;;N066;TAV5_CARPENTERIA.dxf;DOC;SINGLE_ID;
N005;N005;36510.7;7839.7;9EC;LINE;;P?005|P?045;N056|N091;TAV5_CARPENTERIA.dxf;INF;SINGLE_ID;
N006;N006;33159.8;5536.1;9EE;LINE;A04/N006/ES;P?006;N007|N044|N083;TAV5_CARPENTERIA.dxf;DOC;SINGLE_ID;
N007;N007;31775.0;5536.1;9F0;LINE;A05/N007/ES;P?007;N006|N057|N069|N113;TAV5_CARPENTERIA.dxf;DOC;SINGLE_ID;
N008;N008;31709.7;12151.3;9F2;TERM;A07/N008/ES;P?008;N001|N071;TAV5_CARPENTERIA.dxf;DOC;SINGLE_ID;
N009;N009;8485.1;10543.7;9F4;TERM;A09/N009/OS;P?032;N048;TAV5_CARPENTERIA.dxf;DOC;SINGLE_ID;
N010;N010;42889.2;12616.6;9F6;JOINT;A10/N010/ES;P?010;N024|N025|N031|N074|N075;TAV5_CARPENTERIA.dxf;DOC;SINGLE_ID;
N011;N011;23789.6;20627.2;9F8;JOINT;A11/N011/ON;P?011;N003|N015|N035|N062|N079;TAV5_CARPENTERIA.dxf;DOC;SINGLE_ID;
N012;N012;22067.3;14484.3;9FA;TERM;A12/N012/OS;T?038;N052;TAV5_CARPENTERIA.dxf;DOC;SINGLE_ID;
N013;N013;37611.4;7740.6;9FC;TERM;A13/N013/ES;;N045;TAV5_CARPENTERIA.dxf;DOC;SINGLE_ID;
N014;N014;19410.5;19408.2;9FE;LINE;A16/N014/ON;P?014;N015|N036;TAV5_CARPENTERIA.dxf;DOC;SINGLE_ID;
N015;N015;23823.6;19434.3;A00;JOINT;A14/N015/ON;P?015;N011|N014|N017|N098|N099;TAV5_CARPENTERIA.dxf;DOC;SINGLE_ID;
N016;N016;33106.9;9659.7;A02;JOINT;A15/N016/ES;P?016;N042|N049|N089;TAV5_CARPENTERIA.dxf;DOC;SINGLE_ID;
N017;N017;28738.3;19447.4;A04;LINE;A17/N017/EN;P?017;N015|N035;TAV5_CARPENTERIA.dxf;DOC;SINGLE_ID;
N018;N018;28708.2;25677.3;A06;TERM;;;N035|N063;TAV5_CARPENTERIA.dxf;INF;SINGLE_ID;
