nodeId,nodes_x,nodes_y,tav5_x,tav5_y,dx,dy,distance,classification,reasoning
N012,23789.6,17276.3,22067.3,14484.3,1722.3,2792.0,3280,VERSION_DIFFERENCE,"Moderate distance (3280mm) suggests version difference or measurement update"
N013,23789.6,12151.3,37611.4,7740.6,-13821.8,4410.7,14508,DIFFERENT_ENTITY,"Large distance (14508mm) suggests different physical locations"
N014,23789.6,7839.7,19410.5,19408.2,4379.1,-11568.5,12370,DIFFERENT_ENTITY,"Large distance (12370mm) suggests different physical locations"
N015,23789.6,5536.1,23823.6,19434.3,-34.0,-13898.2,13898,DIFFERENT_ENTITY,"Large distance (13898mm) suggests different physical locations"
N016,28419.4,23679.0,33106.9,9659.7,-4687.5,14019.3,14782,DIFFERENT_ENTITY,"Large distance (14782mm) suggests different physical locations"
N017,28419.4,20627.2,28738.3,19447.4,-318.9,1179.8,1222,VERSION_DIFFERENCE,"Moderate distance (1222mm) suggests version difference or measurement update"
N018,28419.4,17276.3,28708.2,25677.3,-288.8,-8401.0,8406,VERSION_DIFFERENCE,"Moderate distance (8406mm) suggests version difference or measurement update"
N019,28419.4,12151.3,37768.1,23966.4,-9348.7,-11815.1,15066,DIFFERENT_ENTITY,"Large distance (15066mm) suggests different physical locations"
N020,28419.4,7839.7,7812.3,1328.9,20607.1,6510.8,21611,DIFFERENT_ENTITY,"Large distance (21611mm) suggests different physical locations"
N021,28419.4,5536.1,26232.6,2847.2,2186.8,2688.9,3466,VERSION_DIFFERENCE,"Moderate distance (3466mm) suggests version difference or measurement update"
N022,31709.7,20627.2,25971.3,2847.2,5738.4,17780.0,18683,DIFFERENT_ENTITY,"Large distance (18683mm) suggests different physical locations"
N023,31709.7,17276.3,32464.1,24932.8,-754.4,-7656.5,7694,VERSION_DIFFERENCE,"Moderate distance (7694mm) suggests version difference or measurement update"
N024,31709.7,7839.7,41004.8,12616.6,-9295.1,-4776.9,10451,DIFFERENT_ENTITY,"Large distance (10451mm) suggests different physical locations"
N025,33084.7,17276.3,40694.5,12616.6,-7609.8,4659.7,8923,VERSION_DIFFERENCE,"Moderate distance (8923mm) suggests version difference or measurement update"
N026,36500.9,17276.3,41004.8,13152.1,-4503.9,4124.2,6107,VERSION_DIFFERENCE,"Moderate distance (6107mm) suggests version difference or measurement update"
N027,42889.2,17276.3,40694.5,13152.1,2194.7,4124.2,4672,VERSION_DIFFERENCE,"Moderate distance (4672mm) suggests version difference or measurement update"
