entity,property,value,sources,evStatus,resolution,conflict,decisionNeeded,rule,group
N001,x_mm,"33084.7","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N001,y_mm,"12210.4","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N001,classe_topologica,"LINE","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N001,grado_topologico,"2","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N002,x_mm,"36500.9","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N002,y_mm,"12233.9","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N002,classe_topologica,"LINE","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N002,grado_topologico,"2","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N003,x_mm,"23776.6","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N003,y_mm,"25651.2","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N003,classe_topologica,"TERM","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N003,grado_topologico,"1","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N004,x_mm,"31530.1","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N004,y_mm,"23679.0","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N004,classe_topologica,"CROSS","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N004,grado_topologico,"0","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N005,x_mm,"36510.7","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N005,y_mm,"7839.7","nodes.csv + tav5_topology_nodes_57.csv",VER_GEOMETRIC,RESOLVED_BY_RULE,"","","Identity: same coordinates in two independent sources",57_nodi_XY
N005,classe_topologica,"LINE","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
N005,grado_topologico,"2","tav5_topology_nodes_57.csv",PREDOC_TOPOLOGICO,RESOLVED_BY_RULE,"","","Direct from topology file",57_nodi_topologia
