node_id;chain;level_id;level_label;section_status;arm_status;stf_status;source;evidence_status
N001;X07-Y05;G1;I ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N001;X07-Y05;G2;II ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N001;X07-Y05;G3;III ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N001;X07-Y05;G4;IV ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N001;X07-Y05;G5;V ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N002;X09-Y05;G1;I ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N002;X09-Y05;G2;II ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N002;X09-Y05;G3;III ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N002;X09-Y05;G4;IV ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N002;X09-Y05;G5;V ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N005;X09-Y02;G1;I ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N005;X09-Y02;G2;II ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N005;X09-Y02;G3;III ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N005;X09-Y02;G4;IV ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N005;X09-Y02;G5;V ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N006;X07-Y01;G1;I ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N006;X07-Y01;G2;II ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N006;X07-Y01;G3;III ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N006;X07-Y01;G4;IV ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N006;X07-Y01;G5;V ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N007;X06-Y01;G1;I ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N007;X06-Y01;G2;II ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N007;X06-Y01;G3;III ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N007;X06-Y01;G4;IV ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N007;X06-Y01;G5;V ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N003;X04-Y13;G1;I ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N003;X04-Y13;G2;II ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N003;X04-Y13;G3;III ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N003;X04-Y13;G4;IV ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N003;X04-Y13;G5;V ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N008;X06-Y05;G1;I ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N008;X06-Y05;G2;II ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N008;X06-Y05;G3;III ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N008;X06-Y05;G4;IV ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N008;X06-Y05;G5;V ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N004;X06-Y12;G1;I ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N004;X06-Y12;G2;II ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N004;X06-Y12;G3;III ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N004;X06-Y12;G4;IV ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N004;X06-Y12;G5;V ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N009;X01-Y04;G1;I ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N009;X01-Y04;G2;II ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N009;X01-Y04;G3;III ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N009;X01-Y04;G4;IV ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N009;X01-Y04;G5;V ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N010;X13-Y06;G1;I ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N010;X13-Y06;G2;II ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N010;X13-Y06;G3;III ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N010;X13-Y06;G4;IV ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N010;X13-Y06;G5;V ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N011;X04-Y11;G1;I ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N011;X04-Y11;G2;II ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N011;X04-Y11;G3;III ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N011;X04-Y11;G4;IV ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
N011;X04-Y11;G5;V ORD.;ND;VER;VER;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
