handle;layer;type;text;x;y
A0;S-TEXT-E;TEXT;TAV5_CARPENTERIA - BASE DI DIGITALIZZAZIONE;450.0;29298.949483235672
A1;S-TEXT-E;TEXT;Unita mm | modelspace 1:1 | carpenteria impalcati - scala dichiarata 1:50;450.0;29118.949483235672
A2;S-TEXT-E;TEXT;Quote scritte originali prevalgono sulla misura grafica del raster.;450.0;28938.949483235672
A3;S-TEXT-E;TEXT;"S-SURV-DOC-E: dato documentato; S-RECON-INF-E: deduzione; S-VERIFY-E: da verificare.";450.0;28758.949483235672
A4;S-TEXT-E;TEXT;S-INTERVENTION-N: interventi futuri, separati dallo stato di fatto.;450.0;28578.949483235672
B7;S-TEXT-E;TEXT;CODICE AFFIDABILITA';1900.0;2600.0
B8;S-TEXT-E;TEXT;DOC = direttamente documentato dalla tavola/foto;1900.0;2450.0
B9;S-TEXT-E;TEXT;RIF = informazione riferita e da confrontare con tavola;1900.0;2300.0
BA;S-TEXT-E;TEXT;INF = ricostruzione geometrica/inferenza;1900.0;2150.0
BB;S-TEXT-E;TEXT;VER = misura o dettaglio da verificare in situ;1900.0;2000.0
BC;S-TEXT-E;TEXT;N = ipotesi di intervento, sempre separata dallo stato di fatto;1900.0;1850.0
BD;S-NOTE-VER;TEXT;GRIGLIA AUSILIARIA DI DIGITALIZZAZIONE - NON E' UNA RICOSTRUZIONE DEGLI ASSI STRUTTURALI;11500.0;1200.0
421;S-NOTE-VER;TEXT;TRACCIAMENTO AUTOMATICO PRELIMINARE: layer S-TRACE-INF. NON USARE COME GEOMETRIA STRUTTURALE FINCHE' NON VALIDATO CONTRO QUOTE E TAVOLA.;1591.2;891.0
789;S-CHECK-VER;TEXT;CONTROLLO PER PROMOZIONE INF -> DOC;1590.4161576354677;28486.9234828496
78A;S-CHECK-VER;TEXT;1 quota numerica leggibile e coerente;1590.4161576354677;28393.9234828496
78B;S-CHECK-VER;TEXT;2 elemento riconosciuto sulla carpenteria;1590.4161576354677;28300.9234828496
78C;S-CHECK-VER;TEXT;3 continuita' verificata con campata/impalcato;1590.4161576354677;28207.9234828496
78D;S-CHECK-VER;TEXT;4 sezione/armatura associata dalla tavola pertinente;1590.4161576354677;28114.9234828496
78E;S-CHECK-VER;TEXT;5 fotografia: riscontro se disponibile;1590.4161576354677;28021.9234828496
78F;S-CHECK-VER;TEXT;6 nessuna promozione automatica;1590.4161576354677;27928.9234828496
9DF;S-CHECK-VER;TEXT;"CLASSIFICAZIONE GEOMETRICA v0.6: H=271 V=206 O=0; mediana L=1960 mm. NON E' CLASSIFICAZIONE STRUTTURALE.";500.0;500.0
9E5;S-ID-CAND-INF;TEXT;N001;33204.67980295567;12330.435356200527
9E7;S-ID-CAND-INF;TEXT;N002;36620.926108374384;12353.944591029023
9E9;S-ID-CAND-INF;TEXT;N003;23896.55172413793;25771.18733509235
9EB;S-ID-CAND-INF;TEXT;N004;31650.059113300493;23799.023746701845
9ED;S-ID-CAND-INF;TEXT;N005;36630.72413793103;7959.676781002638
9EF;S-ID-CAND-INF;TEXT;N006;33279.79802955665;5656.0982849604225
9F1;S-ID-CAND-INF;TEXT;N007;31895.009852216746;5656.0982849604225
9F3;S-ID-CAND-INF;TEXT;N008;31829.689655172413;12271.335751978891
9F5;S-ID-CAND-INF;TEXT;N009;8605.093596059112;10663.705239351677
9F7;S-ID-CAND-INF;TEXT;N010;43009.24137931035;12736.622691292876
9F9;S-ID-CAND-INF;TEXT;N011;23909.615763546797;20747.17678100264
9FB;S-ID-CAND-INF;TEXT;N012;22187.33990147783;14604.300791556729
9FD;S-ID-CAND-INF;TEXT;N013;37731.36945812808;7860.633245382585
9FF;S-ID-CAND-INF;TEXT;N014;19530.54975369458;19528.179419525066
A01;S-ID-CAND-INF;TEXT;N015;23943.582266009853;19554.30079155673
A03;S-ID-CAND-INF;TEXT;N016;33226.888669950735;9779.683377308707
A05;S-ID-CAND-INF;TEXT;N017;28858.273891625617;19567.36147757256
A07;S-ID-CAND-INF;TEXT;N018;28828.22660098522;25797.308707124008
A09;S-ID-CAND-INF;TEXT;N019;37888.13793103448;24086.35883905013
A0B;S-ID-CAND-INF;TEXT;N020;7932.295566502463;1448.9248021108178
A0D;S-ID-CAND-INF;TEXT;N021;26352.591133004928;2967.229551451187
A0F;S-ID-CAND-INF;TEXT;N022;26091.310344827587;2967.229551451187
A11;S-ID-CAND-INF;TEXT;N023;32584.137931034482;25052.849604221636
A13;S-ID-CAND-INF;TEXT;N024;41124.753694581275;12736.622691292876
A15;S-ID-CAND-INF;TEXT;N025;40814.482758620696;12736.622691292876
A17;S-ID-CAND-INF;TEXT;N026;41124.753694581275;13272.110817941952
A19;S-ID-CAND-INF;TEXT;N027;40814.482758620696;13272.110817941952
A1B;S-ID-CAND-INF;TEXT;N028;37982.85221674877;19750.211081794194
A1D;S-ID-CAND-INF;TEXT;N029;42991.27832512315;23851.26649076517
A1F;S-ID-CAND-INF;TEXT;N030;8605.093596059112;9517.163588390502
A21;S-ID-CAND-INF;TEXT;N031;43002.70935960591;18574.74934036939
A23;S-ID-CAND-INF;TEXT;N032;8605.093596059112;10385.699208443271
A25;S-ID-CAND-INF;TEXT;N033;36620.92610837438;13502.305408970977
A27;S-ID-CAND-INF;TEXT;N034;36869.142857142855;13502.305408970977
A29;S-ID-CAND-INF;TEXT;N035;28847.82266009852;20782.005277044853
A2B;S-ID-CAND-INF;TEXT;N036;19520.098522167485;20729.76253298153
A2D;S-ID-CAND-INF;TEXT;N037;8605.093596059112;9234.726253298153
A2F;S-ID-CAND-INF;TEXT;N038;21923.881773399014;14604.300791556729
A31;S-ID-CAND-INF;TEXT;N039;43002.70935960591;19763.271767810023
A33;S-ID-CAND-INF;TEXT;N040;34119.162561576355;19724.08970976253
A35;S-ID-CAND-INF;TEXT;N041;34119.162561576355;18522.50659630607
A37;S-ID-CAND-INF;TEXT;N042;36620.92610837438;9745.725593667546
A39;S-ID-CAND-INF;TEXT;N043;36892.00492610838;9827.35488126649
A3B;S-ID-CAND-INF;TEXT;N044;37483.15270935961;5674.05672823219
A3D;S-ID-CAND-INF;TEXT;N045;36892.00492610838;7910.699208443271
A3F;S-ID-CAND-INF;TEXT;N046;22187.33990147783;14343.087071240103
A41;S-ID-CAND-INF;TEXT;N047;37957.812807881775;18548.62796833773
A43;S-ID-CAND-INF;TEXT;N048;8605.093596059112;9776.200527704486
A45;S-ID-CAND-INF;TEXT;N049;31852.55172413793;9758.786279683378
A47;S-ID-CAND-INF;TEXT;N050;35876.275862068964;13542.03166226913
A49;S-ID-CAND-INF;TEXT;N051;35392.906403940884;13542.03166226913
A4B;S-ID-CAND-INF;TEXT;N052;22098.068965517243;15427.124010554087
A4D;S-ID-CAND-INF;TEXT;N053;22187.33990147783;15165.910290237467
A4F;S-ID-CAND-INF;TEXT;N054;8605.093596059112;8705.224274406333
A51;S-ID-CAND-INF;TEXT;N055;8605.093596059112;10969.076517150395
A53;S-ID-CAND-INF;TEXT;N056;37470.08866995074;7860.633245382585
A55;S-ID-CAND-INF;TEXT;N057;26082.60098522167;5690.38258575198
A57;S-ID-CAND-INF;TEXT;N058;13216.699507389163;2059.5118733509235
A59;S-ID-CAND-INF;TEXT;N059;7932.295566502463;2059.5118733509235
A5B;S-ID-CAND-INF;TEXT;N060;16162.64039408867;13363.53562005277
A5D;S-ID-CAND-INF;TEXT;N061;28756.374384236453;26058.522427440636
A5F;S-ID-CAND-INF;TEXT;N062;23844.295566502464;26045.461741424802
A61;S-ID-CAND-INF;TEXT;N063;27476.098522167485;25784.24802110818
A63;S-ID-CAND-INF;TEXT;N064;35353.71428571429;24073.2981530343
A65;S-ID-CAND-INF;TEXT;N065;26091.310344827587;2745.197889182058
A67;S-ID-CAND-INF;TEXT;N066;35353.71428571429;23812.08443271768
A69;S-ID-CAND-INF;TEXT;N067;31258.137931034482;23812.08443271768
A6B;S-ID-CAND-INF;TEXT;N068;45177.87192118226;25131.21372031662
A6D;S-ID-CAND-INF;TEXT;N069;31891.74384236453;2993.35092348285
A6F;S-ID-CAND-INF;TEXT;N070;26287.27093596059;11404.4327176781
A71;S-ID-CAND-INF;TEXT;N071;31819.89162561576;11430.554089709762
A73;S-ID-CAND-INF;TEXT;N072;31852.55172413793;10921.187335092349
A75;S-ID-CAND-INF;TEXT;N073;13216.699507389163;1478.311345646438
A77;S-ID-CAND-INF;TEXT;N074;45824.541871921174;12749.683377308707
A79;S-ID-CAND-INF;TEXT;N075;45569.793103448275;12749.683377308707
