support_id,m0g_x_m,m0g_y_m,coord_status,vertical_identity_status,evidence_state,source_ref,analytical_policy,notes
P02,22.7157,4.0963,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,"Fixed-line-derived analytical axis; not automatic centroid axis."
P03,22.7154,-1.0136,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P04,22.7072,-5.1804,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P05,20.7543,-5.1791,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P06,20.7080,-9.3840,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P07,20.7256,-14.7106,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P10,17.1162,4.1056,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P11,17.1032,-1.0105,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P12,17.1121,-4.2854,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P13,16.0458,-6.4666,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P14,16.0503,-9.3656,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P15,16.0551,-14.7176,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P18,11.9023,4.1262,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P19,12.4001,0.0402,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P20,12.3443,-1.0045,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P22,10.4191,-9.3752,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,"P22 remains distinct from P22P."
P22P,10.4267,-10.3692,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,"Distinct intermediate support."
P23,9.9499,-14.7253,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P24,9.6419,-19.4517,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P25,8.1467,0.0379,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P26,8.1467,-6.2825,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P27,8.1575,-10.4494,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P28,4.7022,0.0197,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
P29,4.7149,-6.2881,MIS_CALIBRATED,CONTINUES_TO_ROOF,MIS+DOC_RASTER+RIF_RULE,"PR10 tav05_nodes_m0g_v1.csv + TAV06S support inventory",AXIS_XY_READY,""
