record_id,wing,entity_kind,entity_ref,x_m,y_m,z_rel_m,section_cm,section_state,source_ref,evidence_state,role,notes
RA-N-P02,A,NODE,P02,22.7157,4.0963,2.40,40x40,DOC,"PR10 tav05_nodes_m0g_v1.csv + TAV-07A",MIS+DOC,EAVE_SUPPORT,"Local Z scenario only."
RA-N-P03,A,NODE,P03,22.7154,-1.0136,2.40,40x40,DOC,"PR10 tav05_nodes_m0g_v1.csv + TAV-07A",MIS+DOC,EAVE_SUPPORT,"Local Z scenario only."
RA-N-P04,A,NODE,P04,22.7072,-5.1804,2.40,40x40,DOC,"PR10 tav05_nodes_m0g_v1.csv + TAV-07A",MIS+DOC,EAVE_SUPPORT,"Local Z scenario only."
RA-N-P10,A,NODE,P10,17.1162,4.1056,3.40,30x40,DOC,"PR10 tav05_nodes_m0g_v1.csv + TAV-07A",MIS+DOC,RIDGE_SUPPORT,"Local Z scenario only."
RA-N-P11,A,NODE,P11,17.1032,-1.0105,3.40,30x40,DOC,"PR10 tav05_nodes_m0g_v1.csv + TAV-07A",MIS+DOC,RIDGE_SUPPORT,"Response node for WING-A sensitivity."
RA-N-P12,A,NODE,P12,17.1121,-4.2854,3.40,30x40,DOC,"PR10 tav05_nodes_m0g_v1.csv + TAV-07A",MIS+DOC,RIDGE_SUPPORT,"Local Z scenario only."
RA-N-P18,A,NODE,P18,11.9023,4.1262,2.40,30x40,DOC,"PR10 tav05_nodes_m0g_v1.csv + TAV-07A",MIS+DOC,EAVE_SUPPORT,"Local Z scenario only."
RA-N-P19,A,NODE,P19,12.4001,0.0402,2.40,40x40,DOC,"PR10 tav05_nodes_m0g_v1.csv + TAV-07A",MIS+DOC,EAVE_SUPPORT,"Local Z scenario only."
RA-N-P20,A,NODE,P20,12.3443,-1.0045,2.40,40x40,DOC,"PR10 tav05_nodes_m0g_v1.csv + TAV-07A",MIS+DOC,EAVE_SUPPORT,"Local Z scenario only."
RA-E-001,A,BEAM,AG5-001,NA,NA,NA,30x50,DOC,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC,KNOWN_SECTION,"P02-P03."
RA-E-002,A,BEAM,AG5-002,NA,NA,NA,30x50,DOC,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC,KNOWN_SECTION,"P03-P04."
RA-E-003,A,BEAM,AG5-003,NA,NA,NA,30x50,DOC,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC,KNOWN_SECTION,"P02-P10."
RA-E-004,A,BEAM,AG5-004,NA,NA,NA,ND,PARAMETRIC_ND,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC_TOPOLOGY,RIDGE_UNKNOWN,"P10-P11."
RA-E-005,A,BEAM,AG5-005,NA,NA,NA,ND,PARAMETRIC_ND,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC_TOPOLOGY,RIDGE_UNKNOWN,"P11-P12."
RA-E-006,A,BEAM,AG5-006,NA,NA,NA,30x50,DOC,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC,KNOWN_SECTION,"P10-P18."
RA-E-007,A,BEAM,AG5-007,NA,NA,NA,ND,PARAMETRIC_ND,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC_TOPOLOGY,FRAME_UNKNOWN,"P12-P19."
