record_id,entity_kind,entity_ref,x_m,y_m,z_rel_m,section_cm,source_ref,evidence_state,smoke_role,notes
RB-N-P05,NODE,P05,20.7543,-5.1791,2.40,40x40,"PR10 tav05_nodes_m0g_v1.csv blob f2cfef0 + TAV-07A + UZ-005",MIS+DOC+SCENARIO,EAVE_SUPPORT,"Relative Z only; global datum unresolved."
RB-N-P06,NODE,P06,20.7080,-9.3840,2.40,40x40,"PR10 tav05_nodes_m0g_v1.csv blob f2cfef0 + TAV-07A + UZ-005",MIS+DOC+SCENARIO,EAVE_SUPPORT,"Relative Z only."
RB-N-P07,NODE,P07,20.7256,-14.7106,2.40,40x40,"PR10 tav05_nodes_m0g_v1.csv blob f2cfef0 + TAV-07A + UZ-005",MIS+DOC+SCENARIO,EAVE_SUPPORT,"Relative Z only."
RB-N-P13,NODE,P13,16.0458,-6.4666,3.40,30x40,"PR10 tav05_nodes_m0g_v1.csv blob f2cfef0 + TAV-07A + UZ-006",MIS+DOC+SCENARIO,RIDGE_SUPPORT,"Relative ridge Z only."
RB-N-P14,NODE,P14,16.0503,-9.3656,3.40,30x40,"PR10 tav05_nodes_m0g_v1.csv blob f2cfef0 + TAV-07A + UZ-006",MIS+DOC+SCENARIO,RIDGE_SUPPORT,"Relative ridge Z only."
RB-N-P15,NODE,P15,16.0551,-14.7176,3.40,30x40,"PR10 tav05_nodes_m0g_v1.csv blob f2cfef0 + TAV-07A + UZ-006",MIS+DOC+SCENARIO,RIDGE_SUPPORT,"Relative ridge Z only."
RB-N-P22,NODE,P22,10.4191,-9.3752,2.40,40x40,"PR10 tav05_nodes_m0g_v1.csv blob f2cfef0 + TAV-07A + UZ-005",MIS+DOC+SCENARIO,EAVE_SUPPORT,"Opposite eave endpoint."
RB-N-P23,NODE,P23,9.9499,-14.7253,2.40,30x40,"PR10 tav05_nodes_m0g_v1.csv blob f2cfef0 + TAV-07A + UZ-005",MIS+DOC+SCENARIO,EAVE_SUPPORT,"Opposite eave endpoint."
RB-E-009,BEAM,AG5-009,NA,NA,NA,30x50,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC,SMOKE_MEMBER,"P05-P06 outer eave."
RB-E-010,BEAM,AG5-010,NA,NA,NA,30x50,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC,SMOKE_MEMBER,"P06-P07 outer eave."
RB-E-012,BEAM,AG5-012,NA,NA,NA,30x50,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC,SMOKE_MEMBER,"P06-P14 roof frame."
RB-E-013,BEAM,AG5-013,NA,NA,NA,30x50,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC,SMOKE_MEMBER,"P07-P15 roof frame."
RB-E-014,BEAM,AG5-014,NA,NA,NA,30x50,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC,SMOKE_MEMBER,"P13-P14 ridge."
RB-E-015,BEAM,AG5-015,NA,NA,NA,30x50,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC,SMOKE_MEMBER,"P14-P15 ridge."
RB-E-017,BEAM,AG5-017,NA,NA,NA,30x50,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC,SMOKE_MEMBER,"P14-P22 roof frame."
RB-E-018,BEAM,AG5-018,NA,NA,NA,30x50,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv",DOC,SMOKE_MEMBER,"P15-P23 roof frame."
RB-SCEN-CONC,MATERIAL_SCENARIO,SMOKE-CONCRETE,NA,NA,NA,NA,"analysis scenario",ANALYSIS_SCENARIO,SMOKE_ONLY,"Elastic E=30 GPa, nu=0.20 used only to exercise solver path; not canonical material characterization."
RB-SCEN-BC,BOUNDARY_SCENARIO,SMOKE-FIXED-BASE,NA,NA,0.00,NA,"analysis scenario",ANALYSIS_SCENARIO,SMOKE_ONLY,"All local V_ORDER bases fixed at z=0 solely for solver smoke; not foundation model."
RB-GATE,GATE,WING-B-SMOKE,NA,NA,NA,NA,"M0_UPPER_Z_DOCUMENT_RECONCILIATION_v1.csv + G5 source-bound artifacts",MIXED,AUTHORIZED_SMOKE_ONLY,"May validate geometry/adaptor/software behavior. Results are NOT assessment-grade and must not be used for building verification."
