node3dId;physicalPositionId;levelId;x_mm;y_mm;z_relative_m;absoluteZ_m;aliases;structuralRole;chainMembership;levelPresence;evidenceRefs;derivationRule;epistemicStatus
N3D-0001;N001;G1;33084.7;12210.4;0.0;ND;N001;LINE;N001;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0002;N001;G2;33084.7;12210.4;3.2;ND;N001;LINE;N001;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0003;N001;G3;33084.7;12210.4;6.4;ND;N001;LINE;N001;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0004;N001;G4;33084.7;12210.4;9.6;ND;N001;LINE;N001;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0005;N001;G5;33084.7;12210.4;12.8;ND;N001;LINE;N001;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0006;N003;G1;23776.6;25651.2;0.0;ND;N003;TERM;N003;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0007;N003;G2;23776.6;25651.2;3.2;ND;N003;TERM;N003;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0008;N003;G3;23776.6;25651.2;6.4;ND;N003;TERM;N003;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0009;N003;G4;23776.6;25651.2;9.6;ND;N003;TERM;N003;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0010;N003;G5;23776.6;25651.2;12.8;ND;N003;TERM;N003;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
