memberId;node3d_bottom;node3d_top;physicalPositionId;level_bottom;level_top;length_m;section;evidenceRefs;epistemicStatus
VM-0001;N3D-0001;N3D-0002;N001;G1;G2;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0002;N3D-0002;N3D-0003;N001;G2;G3;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0003;N3D-0003;N3D-0004;N001;G3;G4;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0004;N3D-0004;N3D-0005;N001;G4;G5;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0005;N3D-0006;N3D-0007;N003;G1;G2;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0006;N3D-0007;N3D-0008;N003;G2;G3;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0007;N3D-0008;N3D-0009;N003;G3;G4;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0008;N3D-0009;N3D-0010;N003;G4;G5;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0009;N3D-0011;N3D-0012;N004;G1;G2;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0010;N3D-0012;N3D-0013;N004;G2;G3;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0011;N3D-0013;N3D-0014;N004;G3;G4;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0012;N3D-0014;N3D-0015;N004;G4;G5;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0013;N3D-0016;N3D-0017;N005;G1;G2;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0014;N3D-0017;N3D-0018;N005;G2;G3;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0015;N3D-0018;N3D-0019;N005;G3;G4;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0016;N3D-0019;N3D-0020;N005;G4;G5;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0017;N3D-0021;N3D-0022;N006;G1;G2;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0018;N3D-0022;N3D-0023;N006;G2;G3;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0019;N3D-0023;N3D-0024;N006;G3;G4;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0020;N3D-0024;N3D-0025;N006;G4;G5;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0021;N3D-0026;N3D-0027;N007;G1;G2;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0022;N3D-0027;N3D-0028;N007;G2;G3;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0023;N3D-0028;N3D-0029;N007;G3;G4;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
