source_id,kind,title,repo_path,immutable_commit,blob_sha,evidence_status,availability,status,notes
SRC-TAV01S,PDF,Carpenteria fondazioni,archive/documentazione_originaria/tavola1-2.pdf,d521f11a6989664a54409ab0df064903d8986564,64b842fa03b3aa7437e80d2bce90406a66f73827,DOC,GIT_IMMUTABLE,ACTIVE,"Fondazioni"
SRC-TAV02S,PDF,Carpenteria I impalcato,archive/documentazione_originaria/tavola2-2.pdf,d521f11a6989664a54409ab0df064903d8986564,f29554feb301886888e018c51b163f3ee72f4bac,DOC,GIT_IMMUTABLE,ACTIVE,"G1"
SRC-TAV03S,PDF,Carpenteria II impalcato,archive/documentazione_originaria/tavola3-2.pdf,d521f11a6989664a54409ab0df064903d8986564,efd0dcb191088ee5939371c219c2c11072cd3bff,DOC,GIT_IMMUTABLE,ACTIVE,"G2"
SRC-TAV04S,PDF,Carpenteria III impalcato,archive/documentazione_originaria/tavola4-2.pdf,d521f11a6989664a54409ab0df064903d8986564,7807c32f52e8d6fcefad8abe7eac79ad9dd65efa,DOC,GIT_IMMUTABLE,ACTIVE,"G3; source known; runtime binary render may need recovery"
SRC-TAV05S,PDF,Carpenteria IV impalcato,archive/documentazione_originaria/tavola 5.pdf,d521f11a6989664a54409ab0df064903d8986564,ec32cd621877e9037cb26ebc083164140a8e3e68,DOC,GIT_IMMUTABLE,ACTIVE,"G4 planar baseline source"
SRC-TAV06S,PDF,Carpenteria copertura,archive/documentazione_originaria/tavola 6-1.pdf,d521f11a6989664a54409ab0df064903d8986564,7deb698aa368c07362c0ed18d72842c94e7263e7,DOC,GIT_IMMUTABLE,ACTIVE,"G5 roof"
SRC-TAV04,PDF,Pianta architettonica candidata G4,archive/documentazione_originaria/tavola 4.pdf,d521f11a6989664a54409ab0df064903d8986564,19eb4bb4e1e9535b65f60e29170e289c63b8130,DOC,GIT_IMMUTABLE,ACTIVE,"Pairing con G4 ancora INF/HIGH finche non verificato visivamente"
SRC-TAV05A,PDF,Armature travi TAV-05A,archive/documentazione_originaria/tavola 5-3.pdf,d521f11a6989664a54409ab0df064903d8986564,111542c26192dac0a3a801eb5f2e5d5cdbffe3d3,DOC,GIT_IMMUTABLE,ACTIVE,"Armature G4 correlate"
SRC-TAV05E,PDF,Prospetto elevazione,archive/documentazione_originaria/tavola5-2.pdf,d521f11a6989664a54409ab0df064903d8986564,33b53f9fe15c4d88bd4ba4db90dc3e6ded19664f,DOC,GIT_IMMUTABLE,ACTIVE,"Controllo sviluppo verticale"
SRC-TAV07A,PDF,Particolari strutturali pilastri,archive/documentazione_originaria/tavola7.pdf,d521f11a6989664a54409ab0df064903d8986564,bf92501e723843fd912976b1b711285a61c548d3,DOC,GIT_IMMUTABLE,ACTIVE,"Tipi e armature; associazioni puntuali da non inferire"
SRC-T5-PLAN-USER,IMAGE,Planimetria manoscritta con Telaio 5 e lettere nodi,CHAT_ATTACHMENT_CURRENT,,file_00000000116481f49d5ce25af6aff36d,RIF,CHAT_CURRENT,AT_RISK,"Da mettere in sicurezza nel repo come evidenza binaria o copia derivata; usata per verificare mapping S..C'"
