group_id,members,member_count,document_identity,document_title,confidence,technical_topics,independent_documentary_evidence_count,dedup_rule,promotion_authorized
DG-RCP13,1788939776336.jpg;1788939776361.jpg;1788939776381.jpg;1788939776582.jpg;1788939776617.jpg,5,RC-P13,Telaio 5 — calcolo carichi/sezioni,HIGH,Telaio 5; sezioni 25x70 e 140x20; carichi lineari; tratti numerati,1,All member photographs are alternate captures/crops of one documentary unit unless later evidence proves otherwise.,NO
DG-RCP10,1788939776403.jpg;1788939776430.jpg;1788939776457.jpg;1788939776676.jpg;1788939776899.jpg,5,RC-P10,Telaio 5 — schema geometrico,HIGH,Telaio 5; nodi 1-43; campate; livelli; G5 truncation,1,All member photographs are alternate captures/crops of one documentary unit unless later evidence proves otherwise.,NO
DG-RCP02,1788939776853.jpg;1788939777138.jpg,2,RC-P02,Calcoli di stabilità delle strutture,HIGH,sistema strutturale; telai; Kani; fondazioni; terreno; materiali,1,All member photographs are alternate captures/crops of one documentary unit unless later evidence proves otherwise.,NO
DG-RCP04,1788939776774.jpg;1788939777060.jpg,2,RC-P04,"Analisi carichi — sottotetto, tamponatura, scale, travi",HIGH,solaio sottotetto; tamponatura; scale; balconi; pesi propri travi,1,All member photographs are alternate captures/crops of one documentary unit unless later evidence proves otherwise.,NO
DG-RCP12,1788939776639.jpg,1,RC-P12,Calcolo carichi telai,HIGH,traversi; balconi; tamponatura; carichi lineari,1,All member photographs are alternate captures/crops of one documentary unit unless later evidence proves otherwise.,NO
DG-RCP14,1788939776599.jpg,1,RC-P14,Calcolo carichi telai H-R-C e altri,HIGH,traversi; carichi lineari; telai multipli,1,All member photographs are alternate captures/crops of one documentary unit unless later evidence proves otherwise.,NO
DG-RCP15,1788939776564.jpg,1,RC-P15,Peso solaio/tetto e considerazioni di calcolo,HIGH,solaio tetto; copertura; pesi; coefficiente Kani,1,All member photographs are alternate captures/crops of one documentary unit unless later evidence proves otherwise.,NO
DG-CALCLOAD,1788939776823.jpg;1788939777109.jpg,2,RC-P03_CANDIDATE,Analisi dei carichi,MEDIUM,solaio copertura; solaio sottotetto; sovraccarichi; carichi permanenti,1,All member photographs are alternate captures/crops of one documentary unit unless later evidence proves otherwise.,NO
DG-NOTES,1788939776798.jpg;1788939777081.jpg,2,PAGE_TO_VERIFY,Annotazioni costruttive,HIGH,tamponatura; travi portanti 25x70; camera d'aria; pilastri,1,All member photographs are alternate captures/crops of one documentary unit unless later evidence proves otherwise.,NO
DG-COVER,1788939776879.jpg,1,FRONTESPIZIO,Progetto civile abitazione,HIGH,frontespizio progetto,1,All member photographs are alternate captures/crops of one documentary unit unless later evidence proves otherwise.,NO
DG-FRAME-A,1788939776496.jpg;1788939776705.jpg;1788939776969.jpg,3,PAGE_TO_VERIFY,Telai A-B-C-D e Telaio 3,HIGH,geometria telai; campate; livelli,1,All member photographs are alternate captures/crops of one documentary unit unless later evidence proves otherwise.,NO
DG-FRAME-B,1788939776477.jpg;1788939776690.jpg;1788939776944.jpg,3,PAGE_TO_VERIFY,Telaio V-G-H-Z / famiglie correlate,MEDIUM,geometria telai; livelli; nodi,1,All member photographs are alternate captures/crops of one documentary unit unless later evidence proves otherwise.,NO
DG-FRAME-C,1788939776512.jpg;1788939776721.jpg;1788939776994.jpg,3,PAGE_TO_VERIFY,Telaio I-L-M-N-O-P-Q-R,HIGH,geometria telaio; livelli; nodi,1,All member photographs are alternate captures/crops of one documentary unit unless later evidence proves otherwise.,NO
DG-PLAN-1,1788939776529.jpg;1788939776737.jpg;1788939777016.jpg,3,PAGE_TO_VERIFY,Pianta piano copertura / schema,MEDIUM,pianta; griglia; copertura,1,All member photographs are alternate captures/crops of one documentary unit unless later evidence proves otherwise.,NO
DG-PLAN-2,1788939776548.jpg;1788939776754.jpg;1788939777040.jpg,3,PAGE_TO_VERIFY,Pianta piano tipo — telai,HIGH,pianta piano tipo; allineamenti telai; ancoraggio planimetrico,1,All member photographs are alternate captures/crops of one documentary unit unless later evidence proves otherwise.,NO
DG-PLAN-3,1788939776258.jpg;1788939776277.jpg;1788939776294.jpg;1788939776314.jpg,4,PAGE_TO_VERIFY,Pianta/Schema evidenziato,MEDIUM,pianta; appunti; telai; quote,1,All member photographs are alternate captures/crops of one documentary unit unless later evidence proves otherwise.,NO
DG-RCP11,1788939776658.jpg,1,RC-P11,Analisi dei carichi — Telaio I-L-M-N-P-Q-R e Telaio A-B-C-D,HIGH,carichi telai; traversi; sezioni; tamponature; solai,1,Single recovered photograph currently represents this documentary unit.,NO
DG-PLAN-TIPO-SKETCH,1788939776920.jpg,1,PAGE_TO_VERIFY,Pianta piano tipo compreso il terrazzo,HIGH,pianta piano tipo; terrazzo; campate; assi X-Y,1,Single recovered photograph currently represents this documentary unit.,NO
