inventory_id,filename,sha256,visual_family,document_role,classification_state,promotion_authorized
N12-ORIG-001,1788939776258.jpg,abac9105790d675435c0d0a8629c712cc43d79d3ea7a0a153a5c4b2f0c6517a2,STRUCTURAL_SKETCH_OR_ANNOTATED_FRAME,,VISUAL_FAMILY_CLASSIFIED_PAGE_TO_VERIFY,NO
N12-ORIG-002,1788939776277.jpg,369cf287945da494c2259c0455f8d07466ecda9f8499e4055381d1c0292b7f29,STRUCTURAL_SKETCH_OR_ANNOTATED_FRAME,,VISUAL_FAMILY_CLASSIFIED_PAGE_TO_VERIFY,NO
N12-ORIG-003,1788939776294.jpg,d89db84946ccd60bc62bf6da81f18b5491dbc36bd82874d51d708ab7db4d77fb,STRUCTURAL_SKETCH_OR_ANNOTATED_FRAME,,VISUAL_FAMILY_CLASSIFIED_PAGE_TO_VERIFY,NO
N12-ORIG-004,1788939776314.jpg,464c3a6deb83207d1fb7adac79d778a438e106df08661baac5b82147d626e339,STRUCTURAL_SKETCH_OR_ANNOTATED_FRAME,,VISUAL_FAMILY_CLASSIFIED_PAGE_TO_VERIFY,NO
N12-ORIG-005,1788939776336.jpg,65501054c19a1f5e8c5fa5cd62bd3ff4de825db7c2a53709a98b3a21f10aea50,CALCULATION_SHEET,,VISUAL_FAMILY_CLASSIFIED_PAGE_TO_VERIFY,NO
N12-ORIG-006,1788939776361.jpg,899f5236111e8c9689fafdf1e45c2be6660ce6675056e4293fde7187411b3753,CALCULATION_SHEET,,VISUAL_FAMILY_CLASSIFIED_PAGE_TO_VERIFY,NO
N12-ORIG-007,1788939776381.jpg,5ca7a2683b9a47c9da110c57b1f074d66b7c76d4dc0c6e48f8090ca32ff3c970,CALCULATION_SHEET,,VISUAL_FAMILY_CLASSIFIED_PAGE_TO_VERIFY,NO
N12-ORIG-008,1788939776403.jpg,34b80e6106d0714b9d95d6d410997a8c4241e1cd8df85474a0ba24cae234e267,FRAME_DIAGRAM,,VISUAL_FAMILY_CLASSIFIED_PAGE_TO_VERIFY,NO
N12-ORIG-009,1788939776430.jpg,68dfd5ea3689a464f7ef6dfaa9aac55d1432c7a5111223084a54060e6e5e27d6,FRAME_DIAGRAM,,VISUAL_FAMILY_CLASSIFIED_PAGE_TO_VERIFY,NO
N12-ORIG-010,1788939776457.jpg,1b038dba7d985039a190e8a89fbfff3044928092b7c0d55de36894aa958717f8,FRAME_DIAGRAM,,VISUAL_FAMILY_CLASSIFIED_PAGE_TO_VERIFY,NO
