level,segments,nodes,sussultorie_kg_m,ondulatorie_kg_m,basis
G4,C1-C3,8-9-10-11,4120,3760,coppia sussultorie/ondulatorie
G4,C4,11-12,2075,1743,ricetta centrale 140x20
G4,C5-C8,12-13-14-15-16,4120,3760,coppia sussultorie/ondulatorie
G3,C1-C2,17-18-19,4642,3945,coppia di casi
G3,C3-C5,19-20-21-22,2075,1743,ricetta centrale riusata
G3,C7-C8,23-24-25,4642,3945,coppia di casi
G2,C1-C2,26-27-28,4642,3945,coppia di casi
G2,C3-C5,28-29-30-31,2075,1743,ricetta centrale riusata
G2,C7-C8,32-33-34,4642,3945,coppia di casi
G1,C1-C2,35-36-37,4537,3952,stessa larghezza 4.40 m; 550 vs 417
G1,C3-C5,37-38-39-40,2075,1743,ricetta centrale riusata
G1,C7-C8,41-42-43,3767,3368,stessa larghezza 3.00 m; 550 vs 417
