level,node_group_visible,campata,load_total_kg_m,binding_state,confidence,source_identity,note,model_use_authorized
G4,8-9-10-11,C1,3760,RIF,HIGH,RC-P13,TRATTO 8-9-10-11,NO
G4,8-9-10-11,C2,3760,RIF,HIGH,RC-P13,TRATTO 8-9-10-11,NO
G4,8-9-10-11,C3,3760,RIF,HIGH,RC-P13,TRATTO 8-9-10-11,NO
G4,11-12,C4,1743,RIF,HIGH,RC-P13,TRATTO 11-12,NO
G4,12-13-14-15-16,C5,3760,RIF,HIGH,RC-P13,TRATTO 12-13-14-15-16,NO
G4,12-13-14-15-16,C6,3760,RIF,HIGH,RC-P13,TRATTO 12-13-14-15-16,NO
G4,12-13-14-15-16,C7,3760,RIF,HIGH,RC-P13,TRATTO 12-13-14-15-16,NO
G4,12-13-14-15-16,C8,3760,RIF,HIGH,RC-P13,TRATTO 12-13-14-15-16,NO
G3,17-18-19,C1,3945,RIF,HIGH,RC-P13,TRATTO 17-18-19,NO
G3,17-18-19,C2,3945,RIF,HIGH,RC-P13,TRATTO 17-18-19,NO
G3,19-20-21-22,C3,1743,RIF,HIGH,RC-P13,TRATTO 19-20-21-22,NO
G3,19-20-21-22,C4,1743,RIF,HIGH,RC-P13,TRATTO 19-20-21-22,NO
G3,19-20-21-22,C5,1743,RIF,HIGH,RC-P13,TRATTO 19-20-21-22,NO
G3,22-23,C6,,ND,OPEN,RC-P13,"No explicit segment total bound; do not inherit generic 4642 traverse value",NO
G3,23-24-25,C7,3945,RIF,HIGH,RC-P13,TRATTO 23-24-25,NO
G3,23-24-25,C8,3945,RIF,HIGH,RC-P13,TRATTO 23-24-25,NO
G2,26-27-28,C1,3945,RIF,HIGH,RC-P13,TRATTO 26-27-28,NO
G2,26-27-28,C2,3945,RIF,HIGH,RC-P13,TRATTO 26-27-28,NO
G2,28-29-30-31,C3,1743,RIF,HIGH,RC-P13,TRATTO 28-29-30-31,NO
G2,28-29-30-31,C4,1743,RIF,HIGH,RC-P13,TRATTO 28-29-30-31,NO
G2,28-29-30-31,C5,1743,RIF,HIGH,RC-P13,TRATTO 28-29-30-31,NO
G2,31-32,C6,,ND,OPEN,RC-P13,No explicit segment total bound in inspected photographs,NO
G2,32-33-34,C7,3945,RIF,HIGH,RC-P13,TRATTO 32-33-34,NO
G2,32-33-34,C8,3945,RIF,HIGH,RC-P13,TRATTO 32-33-34,NO
G1,35-36-37,C1,3952,RIF,HIGH,RC-P13,TRATTO 35-36-37,NO
G1,35-36-37,C2,3952,RIF,HIGH,RC-P13,TRATTO 35-36-37,NO
G1,37-38,C3,,ND,OPEN,RC-P13,"Nearby unbound total 4537 kg/m visible; segment label not proven",NO
G1,38-39-40,C4,1743,RIF,HIGH,RC-P13,TRATTO 38-39-40 in shared 1743 row,NO
G1,38-39-40,C5,1743,RIF,HIGH,RC-P13,TRATTO 38-39-40 in shared 1743 row,NO
G1,40-41,C6,,ND,OPEN,RC-P13,"Nearby unbound total 3767 kg/m visible; segment label not proven",NO
G1,41-42-43,C7,3368,RIF,HIGH,RC-P13,TRATTO 41-42-43,NO
G1,41-42-43,C8,3368,RIF,HIGH,RC-P13,TRATTO 41-42-43,NO
